,seq_num,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
1,0,5,2,2,1,0,2,0,2,0,0,0,0,0,0
2,0,6,4,0,2,0,1,0,0,0,0,0,0,0,0
3,0,3,1,2,0,0,0,0,1,0,0,0,0,0,0
4,0,2,1,0,2,0,0,0,0,0,1,1,0,0,0
5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
6,0,2,1,1,0,1,0,1,1,1,0,0,0,0,0
7,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,0,1,3,1,2,0,0,1,0,0,0,0,0,0,0
10,0,2,2,4,0,1,0,1,1,0,0,0,0,0,0
11,0,3,0,0,1,0,0,1,2,0,0,0,0,0,0
12,0,3,4,3,1,2,0,0,0,0,0,1,0,0,0
13,0,4,1,1,2,2,0,2,0,0,0,0,0,0,0
14,0,3,3,3,2,0,1,0,0,0,0,0,0,0,0
15,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
16,0,2,0,1,3,0,1,0,0,0,0,0,0,0,0
1,1,0,2,0,2,0,2,0,0,0,0,1,0,0,0
2,1,3,1,0,1,0,1,0,0,0,0,0,0,0,0
3,1,2,0,0,2,1,0,2,1,0,0,0,0,0,0
4,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0
5,1,2,3,1,1,1,0,0,1,0,0,0,0,0,0
6,1,4,1,0,1,1,1,0,2,1,0,0,0,0,0
7,1,2,2,0,0,2,0,0,0,0,0,0,0,0,0
8,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0
9,1,1,0,2,1,1,3,1,1,0,1,0,0,0,0
10,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0
11,1,1,2,5,1,1,1,0,1,0,0,0,0,0,0
12,1,1,3,3,3,2,2,1,1,0,0,0,0,0,0
13,1,4,2,1,2,1,0,0,0,0,0,0,0,0,0
14,1,2,4,0,0,0,4,0,0,0,0,0,0,0,0
15,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0
16,1,3,6,0,2,0,1,0,1,0,0,0,0,0,0
1,2,3,1,4,0,4,0,0,0,0,0,0,0,0,0
2,2,1,2,5,1,2,0,0,0,0,0,0,0,0,0
3,2,3,1,1,2,0,0,0,0,0,0,0,0,0,0
4,2,1,1,3,1,1,0,0,0,0,0,0,0,0,0
5,2,4,2,2,0,2,0,0,0,0,0,0,0,0,0
6,2,3,0,0,2,0,1,0,0,0,0,0,0,0,0
7,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0
8,2,2,2,3,0,0,0,0,1,0,0,0,0,0,0
9,2,0,3,0,0,1,3,1,0,0,0,0,0,0,0
