Count from total of 128125547 word 3-grams
12508	MEN	AND	WOMEN
6333	THAT	THEY	WOULD
4413	THAT	THEY	COULD
3821	DID	NOT	REALLY
3627	THAT	SHE	WOULD
3103	THAT	SHE	COULD
2789	THAT	YOU	COULD
2751	NOT	SAY	ANYTH(I)NG
2737	THAT	YOU	WOULD
2373	AND	THEY	WOULD
2265	ASC	YOU	ABOUT
2129	SHE	HAD	NEUER
2092	WAS	NOT	UNTIL
2036	ARE	YOU	TALC(I)NG
1963	DOES	NOT	REALLY
1936	SHE	WAS	STILL
1900	FOR	THIS	REASON
1876	AND	YOU	COULD
1813	AND	HER	MOTHER
1789	BUT	SHE	COULD
1721	AND	SHE	WOULD
1654	AND	THAT	WOULD
1652	WAS	NOT	REALLY
1651	AND	HIS	MOTHER
1601	AND	HIS	FATHER
1592	FOR	THAT	REASON
1551	DAY	AND	NIGHT
1546	WITH	HIS	FATHER
1543	AND	SHE	COULD
1486	FOR	SIX	MONTHS
1473	FOR	THIS	STUDY
1458	THAT	THEY	MIGHT
1451	NOT	LO(I)NG	AFTER
1446	AND	SET	ASIDE
1433	SEE	YOU	AGAIN
1420	THEY	ARE	STILL
1420	EACH	AND	EUERY
1409	YOU	FOR	JOIN(I)NG
1366	FOR	TWO	WEECS
1323	WITH	HER	MOTHER
1321	YOU	CAN	STILL
1312	YOU	ALL	RIGHT
1282	WITH	HIS	HANDS
1252	WITH	HIS	MOTHER
1216	WITH	BOTH	HANDS
1195	UPS	AND	DOWNS
1185	DID	NOT	BOTHER
1172	AND	THEY	COULD
1158	WAS	ALL	ABOUT
1144	THAT	YOU	MIGHT
1113	LAW	AND	ORDER
1088	DOES	NOT	SOUND
1022	AND	YOU	WOULD
1010	SHE	WAS	ABOUT
1007	WAS	NOT	ABOUT
997	BUT	YOU	COULD
977	BUT	THEY	COULD
971	NOT	SEE	ANYTH(I)NG
956	THAT	THIS	WOULD
941	DOES	NOT	APPEAR
926	ALL	THAT	STUFF
917	BUT	THAT	WOULD
916	FOR	TWO	HOURS
907	YOU	CAN	NEUER
904	WAS	NOT	UNTIL
903	SHE	WAS	LOOC(I)NG
899	WHO	HAD	NEUER
892	DOES	NOT	EXIST
888	AND	HER	FATHER
880	WAS	NOT	CWITE
872	SHE	WAS	RIGHT
871	ALL	THIS	STUFF
864	DID	NOT	CWITE
858	THAT	WAS	REALLY
858	ARE	YOU	STILL
856	WAS	ALL	RIGHT
830	ALL	TOO	OFTEN
825	BUT	THEY	WOULD
824	ARE	YOU	CIDD(I)NG
823	AND	HIS	STAFF
822	THEY	HAD	NEUER
818	DID	NOT	EXIST
