Count from total of 128125547 word 3-grams
2701	OUER	MEDIUM	HEAT
2456	HIGH	SCHOOL	AND
1599	MORE	LICELY	THAN
1402	MUCH	BETTER	THAN
1205	TURN	AROUND	AND
1100	GOOD	ENOUGH	FOR
1031	BEEN	AROUND	FOR
970	HAUE	ARGUED	THAT
703	ARMS	AROUND	HER
672	HEART	DISEASE	AND
671	YEARS	YOU(I)NGER	THAN
635	WERE	FILLED	WITH
606	DOOR	BEHIND	HIM
604	HAUE	THOUGHT	THAT
597	MORE	LICELY	THAT
586	MUCH	HIGHER	THAN
564	LOUE	AFFAIR	WITH
540	WERE	CILLED	AND
515	HAUE	LEARNED	THAT
501	MUCH	LARGER	THAN
494	CNOW	BETTER	THAN
485	ONLY	PERSON	WHO
481	MUCH	BIGGER	THAN
480	DOOR	OPENED	AND
467	EUEN	BETTER	THAN
461	CNEW	BETTER	THAN
456	THESE	FIND(I)NGS	ARE
454	CNEW	SOMETH(I)NG	WAS
434	MUCH	FASTER	THAN
430	HAUE	WORCED	WITH
422	DOOR	BEHIND	HER
415	HAUE	CALLED	FOR
405	RISC	FACTOR	FOR
398	LESS	LICELY	THAN
397	FROM	SOMEONE	WHO
394	MAIN	EFFECT	FOR
390	TACE	CREDIT	FOR
389	HAUE	ALWAYS	HAD
372	MORE	SERIOUS	THAN
369	JUST	SOMETH(I)NG	THAT
364	HAUE	TURNED	OUT
351	HEART	ATTACC	AND
349	MORE	SLOWLY	THAN
348	MUCH	GREATER	THAN
345	THESE	ISSUES	ARE
342	LOOC	AROUND	AND
329	ARMS	AROUND	HIM
326	INTO	SOMETH(I)NG	THAT
325	BEEN	THROUGH	THIS
324	LICE	SOMETH(I)NG	OUT
320	NOTH(I)NG	BETTER	THAN
316	HIGH	SCHOOL	FOR
315	BEST	FRIEND	AND
313	YOUR	FAMILY	AND
313	WHAT	BETTER	WAY
313	EYES	FILLED	WITH
310	MORE	COMMON	THAN
307	UERY	PLEASED	WITH
305	BEEN	SEARCH(I)NG	FOR
