Count from total of 128125547 word 3-grams
1547	WALL	STREET	JOURNAL
566	OTHER	FAMILY	MEMBERS
543	HIGH	SCHOOL	DIPLOMA
538	HIGH	SCHOOL	STUDENT
317	THESE	FIND(I)NGS	SUGGEST
300	HIGH	SCHOOL	TEACHERS
251	HIGH	SCHOOL	DROPOUT
235	THEIR	FAMILY	MEMBERS
183	HIGH	SCHOOL	ATHLETES
183	HAU(I)NG	SECOND	THOUGHTS
182	UERY	SERIOUS	PROBLEM
150	FROM	FAMILY	MEMBERS
147	HIGH	SCHOOL	MUSICAL
142	HAUE	WORCED	TOGETHER
137	HIGH	SCHOOL	PLAYERS
135	THEIR	NATIUE	LA(I)NGUAGE
127	JUST	ANOTHER	EXAMPLE
124	HIGH	SCHOOL	SCIENCE
122	HIGH	SCHOOL	COACHES
120	FROM	UARIOUS	SOURCES
117	FREE	MARCET	ECONOMY
115	HOME	SHOPP(I)NG	NETWORC
115	FROM	ANOTHER	COUNTRY
114	HAUE	ALREADY	STARTED
101	HAUE	SECOND	THOUGHTS
100	THESE	FIND(I)NGS	SUPPORT
99	SOME	FAMILY	MEMBERS
99	HIGH	SCHOOL	HISTORY
98	WERE	CHOSEN	BECAUSE
98	MORE	SERIOUS	PROBLEM
95	HIGH	SCHOOL	FRIENDS
93	MORE	RECENT	STUDIES
92	AMO(I)NG	FAMILY	MEMBERS
90	HIGH	SCHOOL	YEARBOOC
88	MOST	SERIOUS	PROBLEM
87	HIGH	SCHOOL	ATHLETIC
87	FROM	PUBLIC	SCHOOLS
85	THEIR	NUCLEAR	PROGRAM
81	YOUR	FAMILY	MEMBERS
81	WHEN	SOMETH(I)NG	HAPPENS
80	MUST	CHOOSE	BETWEEN
79	THEIR	IMMUNE	SYSTEMS
79	HIGH	SCHOOL	BECAUSE
77	THREE	MILLION	DOLLARS
77	HAUE	BANDED	TOGETHER
76	MOST	RECENT	EXAMPLE
73	UERY	LITTLE	RESEARCH
73	HALF	MILLION	DOLLARS
73	FIUE	MILLION	DOLLARS
71	YOUR	FAMILY	HISTORY
71	MOST	LICELY	BECAUSE
68	MOST	OBUIOUS	EXAMPLE
68	MACE	BETTER	CHOICES
67	HAUE	LITTLE	CONTROL
67	BAC(I)NG	POWDER	TEASPOON
66	MOST	LICELY	SCENARIO
66	HIGH	SCHOOL	CLASSES
65	MORE	RECENT	RESEARCH
63	YOUR	CHECC(I)NG	ACCOUNT
63	HIGH	SCHOOL	PROGRAM
63	HAUE	LITTLE	TROUBLE
61	HAUE	BECOME	POPULAR
61	HAUE	ANOTHER	CWESTION
59	MUCH	BETTER	POSITION
59	HIGH	SCHOOL	TOGETHER
58	LOUE	AFFAIR	BETWEEN
58	HAUE	DINNER	TOGETHER
57	HAUE	FAMILY	MEMBERS
57	HALF	BILLION	DOLLARS
57	FROM	MENTAL	ILLNESS
56	HIGH	SCHOOL	COURSES
56	BEEN	AROUND	FOREUER
55	MOST	RECENT	FIGURES
55	MORE	CLEARLY	DEFINED
54	HAUE	ENOUGH	TROUBLE
54	CREAM	CHEESE	MIXTURE
54	CITY	POLICE	OFFICER
53	MANY	FAMILY	MEMBERS
52	WENT	THROUGH	SEUERAL
52	THEIR	SEXUAL	BEHAUIOR
52	MOST	COMMON	PROBLEM
52	MOST	COMMON	MISTACE
52	HEART	BYPASS	SURGERY
51	WHEN	POLICE	ARRIUED
51	MOST	RECENT	CWARTER
51	HAUE	ALREADY	DECIDED
51	FIND	MYSELF	WONDER(I)NG
50	BLUE	COLLAR	WORCERS
49	PIPE	CACTUS	NATIONAL
49	MUCH	BIGGER	PROBLEM
48	CUPS	FINELY	CHOPPED
47	MOST	LICELY	OUTCOME
47	MOST	FAMOUS	EXAMPLE
46	WILL	ROGERS	FOLLIES
46	MORE	LICELY	SCENARIO
46	LEAST	PARTLY	BECAUSE
46	INTO	ONCOM(I)NG	TRAFFIC
46	HIGH	SCHOOL	WRESTL(I)NG
44	YORC	PUBLIC	LIBRARY
44	UERY	SIMPLE	CWESTION
44	THEIR	PROFIT	MARGINS
44	THEIR	ENTIRE	CAREERS
44	INTO	PUBLIC	SERUICE
43	WILL	LICELY	INCREASE
43	WILL	DEPEND	LARGELY
42	MANY	SCHOOL	SYSTEMS
41	THESE	FIND(I)NGS	PROUIDE
41	OTHER	ENERGY	SOURCES
41	MOST	RECENT	RESEARCH
41	HAUE	BECOME	FRIENDS
40	OUAL	OFFICE	ADDRESS
40	LIFE	CHA(I)NGED	FOREUER
40	HIGH	SCHOOL	UARSITY
40	HAUE	WORCED	CLOSELY
40	BEEN	GREATLY	REDUCED
39	PEER	REUIEW	PROCESS
39	MOST	PRESS(I)NG	PROBLEM
39	HAUE	GOTTEN	TOGETHER
39	GONE	THROUGH	SEUERAL
39	CICC	AROUND	ANYMORE
38	OTHER	OPTIONS	INCLUDE
38	GLEN	CANYON	NATIONAL
38	BEEN	WIDELY	ADOPTED
38	BEEN	LITTLE	RESEARCH
38	ARMS	AROUND	HERSELF
37	WHEN	FAMILY	MEMBERS
37	WERE	CLEARLY	UISIBLE
37	MOST	SERIOUS	CHARGES
37	MORE	RECENT	EXAMPLE
37	INTO	SERIOUS	TROUBLE
