Count from total of 46030908 word 4-grams
350	FOR	THE	NEWS	SUMMARY
311	FOR	THE	PAST	SEUERAL
257	FOR	THE	LAST	SEUERAL
243	FOR	THE	NEXT	SEUERAL
242	THIS	IS	WHAT	HAPPENS
183	HAD	THE	GOOD	FORTUNE
167	ONE	OF	THOSE	MOMENTS
160	FOR	THE	SOLE	PURPOSE
148	ALL	OF	THESE	FACTORS
142	NOT	SO	MUCH	BECAUSE
136	BUT	THE	FACT	REMAINS
117	AND	IN	PART	BECAUSE
114	TWO	OR	THREE	MINUTES
114	FOR	THE	NEXT	CENTURY
114	ARE	THE	MOST	POPULAR
106	PUT	IT	BACC	TOGETHER
105	WAS	THE	MOST	POPULAR
97	ALL	THE	TIME	BECAUSE
92	FOR	THE	THIRD	CWARTER
92	AND	WE	LOOC	FORWARD
89	LOT	OF	TIME	TOGETHER
88	AND	THE	OTHER	MEMBERS
84	YOU	THE	SAME	CWESTION
78	FOR	THE	SAME	PURPOSE
77	GO(I)NG	TO	HAUE	TROUBLE
74	CAN	BE	UERY	HELPFUL
73	GO(I)NG	TO	MOUE	FORWARD
72	HAD	THE	SAME	PROBLEM
71	FOR	THE	PEACE	PROCESS
68	TWO	OR	THREE	DECADES
66	ONE	OF	THOSE	STORIES
66	AND	TO	MACE	MATTERS
65	TWO	TO	THREE	MINUTES
64	ASC	THE	SAME	CWESTION
63	GO(I)NG	TO	WORC	TOGETHER
62	FAR	THE	MOST	POPULAR
60	WITH	THE	OTHER	MEMBERS
58	ONE	OF	YOUR	FRIENDS
56	GO(I)NG	TO	UOTE	AGAINST
51	NOT	THE	ONLY	PROBLEM
50	OUT	OF	YOUR	CONTROL
50	OUT	OF	THEIR	CONTROL
50	NOT	THE	ONLY	PROBLEM
50	GO(I)NG	TO	LIUE	FOREUER
49	THAT	THE	PEACE	PROCESS
49	FOR	THE	PAST	CENTURY
49	EACH	OF	THESE	FACTORS
48	GO(I)NG	TO	COME	FORWARD
48	CAN	BE	USED	AGAINST
47	ONE	OF	THEIR	BIGGEST
47	FOR	AT	LEAST	SEUERAL
47	AND	THE	CITY	COUNCIL
46	FOR	THE	MOST	RELIOBLE
45	FOR	THE	PAST	FIFTEEN
43	CAN	BE	MADE	BETWEEN
43	ARE	IN	DEEP	TROUBLE
42	ALL	OF	THESE	STUDIES
41	TWO	OR	THREE	HUNDRED
41	LET	ME	JUST	EXPLAIN
41	GO(I)NG	TO	CILL	HIMSELF
41	AND	THE	MOST	POPULAR
41	ALL	OF	THESE	STORIES
39	WITH	THE	PEACE	PROCESS
39	HAD	SO	MUCH	TROUBLE
38	HOW	TO	MOUE	FORWARD
38	FOR	THE	DOWN	PAYMENT
38	AND	THE	PEACE	PROCESS
37	WITH	AS	MUCH	DIGNITY
37	ONE	OF	MANY	FACTORS
37	FOR	THE	NEXT	ELECTION
37	AND	THE	ONLY	CWESTION
36	WITH	THE	SAME	PROBLEM
36	THAT	THE	MOST	POPULAR
36	OUT	OF	THEIR	SOCCETS
36	GO(I)NG	TO	LAST	FOREUER
35	HOW	TO	WORC	TOGETHER
34	GO(I)NG	TO	COME	TOGETHER
34	FOR	THE	SAME	COMPANY
33	WITH	THE	SAME	CWESTION
32	WAS	IN	DEEP	TROUBLE
32	THAT	THE	ONLY	SOLUTION
32	ONE	OF	THOSE	CLASSIC
32	GET	THE	BEST	RESULTS
32	ALL	OF	YOUR	FRIENDS
31	USE	OF	BIRTH	CONTROL
31	THAT	THE	LINE	BETWEEN
31	THAT	THE	LINC	BETWEEN
31	ONE	OF	THOSE	PLAYERS
31	HAD	TO	HAUE	SURGERY
31	END	OF	THEIR	CAREERS
30	LIE	ON	YOUR	STOMACH
30	BUT	THE	MOST	POPULAR
30	ARE	THE	MOST	UISIBLE
30	AND	THE	LINC	BETWEEN
29	WAS	THE	ONLY	STUDENT
29	WAS	THE	ONLY	COUNTRY
29	OUT	OF	YOUR	COMFORT
29	NOT	THE	MOST	POPULAR
29	LOT	OF	GOOD	PLAYERS
29	GOT	TO	WORC	TOGETHER
29	AND	WE	JUST	STARTED
29	ALL	OF	THESE	MEASURES
28	WITH	THE	SOLE	PURPOSE
28	WITH	MY	BACC	AGAINST
28	THIS	IS	MARC	SHIELDS
28	THEM	TO	WORC	TOGETHER
28	PIT	OF	YOUR	STOMACH
28	OUT	OF	THEIR	POCCETS
28	OUT	OF	THEIR	COUNTRY
28	FOR	THE	MOST	POPULAR
28	FOR	THE	LAST	FIFTEEN
28	FOR	THE	LAST	CWARTER
28	EACH	OF	THESE	STUDIES
28	AND	HE	FELT	HIMSELF
27	WAS	THE	MOST	PAINFUL
27	TWO	OR	THREE	SECONDS
27	HAS	THE	SAME	PROBLEM
27	FOR	THE	PAST	CWARTER
27	FOR	THE	LAST	CENTURY
27	ALL	OF	THESE	EFFORTS
26	PUT	IT	MORE	BLUNTLY
26	OUT	OF	THEIR	COMFORT
26	ONE	OF	THOSE	FRIENDS
26	OFF	THE	MAIN	HIGHWAY
26	FOR	THE	NEXT	HUNDRED
26	FOR	THE	NEXT	FIFTEEN
26	AND	THE	SOUTH	PACIFIC
25	THAT	THE	CASE	AGAINST
25	TWO	OR	THREE	THOUSAND
25	TRY	TO	WORC	TOGETHER
25	OUT	OF	THEIR	OFFICES
25	ONE	OF	THEIR	FRIENDS
25	NOT	THE	CASE	ANYMORE
25	NOT	TO	TELL	ANYBODY
25	NOT	BE	USED	BECAUSE
25	LET	ME	JUST	CWICCLY
25	ARE	AT	THEIR	HIGHEST
