Count from total of 46030908 word 4-grams
638	THIS	IS	MORN(I)NG	EDITION
330	WAS	THE	FIRST	PERSON
227	CAN	NO	LO(I)NGER	AFFORD
190	LOT	OF	PEOPLE	THOUGHT
179	FOR	THE	WHOLE	FAMILY
172	AND	THE	STOCC	MARCET
147	WON	THE	WORLD	SERIES
138	FOR	THE	RIGHT	REASONS
134	LOT	OF	PEOPLE	AROUND
131	ARE	IN	SHORT	SUPPLY
122	AND	THE	CIUIL	RIGHTS
116	WIN	THE	WORLD	SERIES
114	THAT	THE	STOCC	MARCET
110	DOES	IT	REALLY	MATTER
94	FOR	THE	RIGHT	MOMENT
94	FOR	THE	FIRST	COUPLE
90	THAT	NO	LO(I)NGER	EXISTS
89	WITH	THE	BASES	LOADED
89	FOR	THE	STOCC	MARCET
86	WAS	THE	NIGHT	BEFORE
85	FOR	THE	TOTAL	SAMPLE
82	AND	THE	PEOPLE	AROUND
80	WAY	OF	CNOW(I)NG	WHETHER
80	AND	THE	ARMED	FORCES
75	ALL	THE	RIGHT	PLACES
74	WITH	THE	STOCC	MARCET
74	WITH	THE	CIUIL	RIGHTS
72	FOR	THE	ARMED	FORCES
72	AND	THE	ROLL(I)NG	STONES
71	FOR	THE	CIUIL	RIGHTS
70	THAT	THE	ARMED	FORCES
70	OUT	THE	FRONT	WINDOW
69	AND	THE	WORLD	AROUND
68	THAT	THE	STATE	SHOULD
67	AND	THE	WHOLE	FAMILY
64	THAT	IT	COULD	HAPPEN
63	THAT	THE	CIUIL	RIGHTS
63	FOR	THE	SPACE	STATION
60	AND	THE	WORLD	SERIES
56	NOT	THE	FIRST	PERSON
56	AND	THE	SEUEN	DWARFS
55	OUT	OF	SIGHT	BEHIND
54	ONE	TH(I)NG	AFTER	ANOTHER
52	AND	THE	NIGHT	BEFORE
50	AND	THE	TOTAL	NUMBER
49	THAT	IT	WOULD	HAPPEN
48	THAT	THE	TOTAL	NUMBER
48	SEE	THE	WORLD	THROUGH
46	WAS	IN	GRADE	SCHOOL
45	POT	OF	BOIL(I)NG	SALTED
44	WAS	IN	SHORT	SUPPLY
44	OFF	THE	RADAR	SCREEN
44	LOT	OF	PEOPLE	WATCH(I)NG
43	AND	AN	ECWAL	NUMBER
43	ALL	THE	RIGHT	REASONS
42	WAS	THE	FIRST	PLAYER
42	SIX	TO	EIGHT	INCHES
42	HOW	IT	WOULD	AFFECT
41	WITH	THE	WORLD	AROUND
41	THAT	HE	WOULD	BECOME
40	HIM	THE	NIGHT	BEFORE
40	GO(I)NG	TO	STICC	AROUND
40	AND	THE	ROYAL	FAMILY
40	NOT	DO	ANYTH(I)NG	STUPID
39	FOR	THE	HUMAN	RIGHTS
39	ALL	THE	PEOPLE	AROUND
38	THAT	HE	WOULD	ACCEPT
38	LOT	OF	PEOPLE	WANTED
