Count from total of 46030908 word 4-grams
111	YOU	WANT	MORE	INFORMATION
105	HAS	BEEN	WELL	DOCUMENTED
81	NOT	MACE	MUCH	DIFFERENCE
80	THAT	HAUE	BEEN	IDENTIFIED
80	HAS	BEEN	UERY	SUCCESSFUL
60	MAY	HAUE	BEEN	INFLUENCED
36	HAS	BEEN	UERY	SUPPORTIUE
34	WHO	HAUE	BEEN	UICTIMISED
29	THAT	HAUE	BEEN	SUCCESSFUL
28	WHO	HAUE	BEEN	SUCCESSFUL
28	THEY	WERE	MORE	INTERESTED
28	HAS	BEEN	MORE	SUCCESSFUL
27	WHO	HAUE	BEEN	IDENTIFIED
27	CAN	FIND	MORE	INFORMATION
25	THEY	HAUE	BEEN	SUCCESSFUL
25	ARE	MUCH	MORE	INTERESTED
25	NOT	HAUE	MUCH	EXPERIENCE
23	NOT	HAUE	BEEN	CONSIDERED
23	HAS	ALSO	BEEN	IDENTIFIED
21	HAS	ALSO	BEEN	CRITICISED
20	WAS	MUCH	MORE	INTERESTED
20	THAT	HAUE	BEEN	DISCOUERED
20	NOT	MACE	MUCH	DIFFERENCE
20	NEW	YORC	CITY	DEPARTMENT
20	HAS	BEEN	LESS	SUCCESSFUL
19	SHE	CNEW	FROM	EXPERIENCE
19	ARE	MUCH	MORE	UULNERABLE
17	THEY	HAUE	BEEN	CRITICISED
17	THAT	HAUE	BEEN	INTRODUCED
17	THAT	HAUE	BEEN	ATTRIBUTED
17	NOT	BEEN	UERY	SUCCESSFUL
17	MAY	HAUE	BEEN	CONSIDERED
17	GET	SOME	MORE	INFORMATION
16	ARE	UERY	MUCH	INTERESTED
16	NOT	TACE	MUCH	IMAGINATION
15	HAS	BEEN	UERY	CONSISTENT
14	HAS	BEEN	SOME	SPECULATION
14	HAS	BEEN	MOST	SUCCESSFUL
13	WAS	EUEN	MORE	PRONOUNCED
13	THEY	WERE	UERY	INTERESTED
13	THEY	WERE	HAU(I)NG	DIFFICULTY
13	THAT	HAUE	BEEN	RECOGNISED
13	NEW	YORC	FIRE	DEPARTMENT
13	MAY	HAUE	BEEN	OUERLOOCED
13	HAS	BEEN	MUCH	SPECULATION
13	HAS	ALSO	BEEN	DOCUMENTED
