Count from total of 46030908 word 4-grams
194	AND	AGAIN	HERE	TOMORROW
132	THAT	COULD	HAUE	HAPPENED
126	FOR	SOCIOL	WORC	PRACTICE
100	THIS	WOULD	HAUE	HAPPENED
89	ONE	MIGHT	HAUE	EXPECTED
86	THAT	WOULD	HAUE	RECWIRED
63	GO(I)NG	ABOUT	THEIR	BUSINESS
60	THIS	COULD	HAUE	HAPPENED
52	ONE	WOULD	HAUE	EXPECTED
47	YOU	MIGHT	FIND	YOURSELF
42	THAT	WOULD	HAUE	HAPPENED
38	THAT	MIGHT	HAUE	HAPPENED
38	BUT	FIRST	THESE	MESSAGES
37	YOU	WOULD	HAUE	EXPECTED
30	THAT	WOULD	HAUE	PROUIDED
28	YOU	MIGHT	HAUE	EXPECTED
28	YOU	MIGHT	ALSO	CONSIDER
28	YOU	COULD	FIND	YOURSELF
28	THAT	WOULD	HAUE	RESULTED
28	THAT	MIGHT	HAUE	OCCURRED
27	WHO	COULD	HAUE	IMAGINED
26	ARE	TURN(I)NG	THEIR	ATTENTION
25	WHO	WOULD	HAUE	BELIEUED
24	WAS	NAMED	MOST	UALUABLE
24	THAT	PEOPLE	WILL	REMEMBER
24	ONE	COULD	HAUE	IMAGINED
23	SHE	WOULD	HAUE	EXPECTED
22	YOU	ABOUT	WHAT	HAPPENED
22	THIS	TREND	WILL	CONTINUE
20	WHO	CNOWS	WHAT	HAPPENED
19	THEY	WOULD	HAUE	RECEIUED
18	THEY	WOULD	HAUE	OTHERWISE
18	ONE	COULD	HAUE	FORESEEN
18	AND	RAISE	THEIR	CHILDREN
18	NOT	REALLY	PAY(I)NG	ATTENTION
17	THAT	WOULD	HAUE	OCCURRED
16	TH(I)NGS	COULD	HAUE	HAPPENED
16	THIS	STUDY	WERE	SELECTED
16	NOT	REALLY	PAY(I)NG	ATTENTION
16	MIX	UNTIL	JUST	COMBINED
16	HAS	NEUER	BEEN	SERIOUSLY
16	FOR	SOCIOL	WORC	EDUCATION
15	THAT	WOULD	HAUE	OTHERWISE
15	ONE	CNOWS	WHAT	HAPPENED
15	HAD	NEUER	BEEN	ARRESTED
15	ARE	RAIS(I)NG	THEIR	CHILDREN
14	THIS	MIGHT	HAUE	HAPPENED
14	THAT	PEOPLE	WILL	CONTINUE
14	HAD	NEUER	BEEN	INUOLUED
14	FOR	SOCIOL	WORC	SERUICES
14	BIT	ABOUT	WHAT	HAPPENED
14	BAD	ABOUT	WHAT	HAPPENED
13	WHO	WOULD	HAUE	IMAGINED
13	THIS	STUDY	WERE	OBTAINED
13	THAT	COULD	HAUE	RESULTED
13	OUR	BREAC(I)NG	NEWS	COUERAGE
13	NOT	CNOW(I)NG	WHAT	HAPPENED
13	HIS	FISTS	WERE	CLENCHED
13	AND	OTHERS	HAUE	PROPOSED
