Count from total of 46030908 word 4-grams
65	HIS	RELEASE	FROM	PRISON
64	ARE	BECOM(I)NG	MORE	COMMON
43	WHO	SHOULD	CNOW	BETTER
43	ALL	THROUGH	HIGH	SCHOOL
41	AND	WALCED	BACC	TOWARD
36	WAY	THROUGH	HIGH	SCHOOL
33	YOU	SHOULD	HAUE	THOUGHT
32	AND	TURNED	BACC	TOWARD
30	HAS	ALWAYS	BEEN	SOMETH(I)NG
29	YOU	SHOULD	HAUE	GOTTEN
29	YOU	SHOULD	CNOW	BETTER
29	THAT	SOUNDS	LICE	SOMETH(I)NG
27	YOU	SHOULD	HAUE	CALLED
26	WITH	SPINAL	CORD	INJURY
25	SHE	TURNED	BACC	TOWARD
25	HAS	BECOME	MORE	COMMON
25	CAN	CITIES	BEST	MANAGE
24	HAD	ALREADY	GONE	THROUGH
22	YOU	SHOULD	HAUE	STAYED
22	SHE	SHOULD	HAUE	STAYED
22	NOT	FINISH	HIGH	SCHOOL
20	HAD	ALREADY	BEEN	THROUGH
18	YOU	SHOULD	CNOW	BEFORE
18	WAS	FORCED	FROM	OFFICE
18	THEN	TURNED	BACC	TOWARD
18	THAT	SOMETH(I)NG	WILL	HAPPEN
18	OUR	SUMMER	READ(I)NG	SERIES
18	NOT	FINISH	HIGH	SCHOOL
18	HAS	CHA(I)NGED	UERY	LITTLE
18	AND	MENTAL	HEALTH	ISSUES
16	THEY	SHOULD	HAUE	GOTTEN
16	HAD	ALREADY	BEEN	CILLED
15	THEY	SHOULD	HAUE	CALLED
15	SHE	SHOULD	HAUE	GOTTEN
15	SHE	LOOCED	LICE	SOMEONE
15	FOR	SOMEONE	LICE	MYSELF
14	THAT	LOOCED	LICE	SOMETH(I)NG
14	OUR	COMMIE	BABE	MACEUP
14	HAS	BECOME	MORE	WIDELY
14	HAS	BECOME	JUST	ANOTHER
14	HAD	ALWAYS	BEEN	SOMETH(I)NG
14	GET	THROUGH	HIGH	SCHOOL
14	AND	PUBLIC	HEALTH	ISSUES
13	THIS	SOUNDS	LICE	SOMETH(I)NG
13	THEY	SHOULD	CNOW	BETTER
13	HAS	ALREADY	BEEN	THROUGH
13	AND	MENTAL	HEALTH	COURTS
13	AND	FORMER	HIGH	SCHOOL
13	AND	FEMALE	HIGH	SCHOOL
