Count from total of 46030908 word 4-grams
225	WITH	PLASTIC	WRAP	AND
161	GAP	BETWEEN	RICH	AND
126	ONE	HUNDRED	YEARS	AGO
124	FOR	SEUERAL	YEARS	AND
118	FOR	SEUERAL	YEARS	NOW
115	TWO	HUNDRED	YEARS	AGO
87	AND	EUERYTH(I)NG	ELSE	THAT
84	AND	REPORT(I)NG	FROM	NEW
81	WAS	DIUIDED	INTO	TWO
76	TWO	THOUSAND	YEARS	AGO
71	AND	EUERYTH(I)NG	LICE	THAT
63	NOT	BELIEUE	WHAT	SHE
62	NOT	BELIEUE	WHAT	THEY
54	SHE	GLANCED	OUER	HER
53	GET	CARRIED	AWAY	WITH
50	ARE	DIUIDED	INTO	TWO
48	WITH	WHIPPED	CREAM	AND
48	WAS	FIFTEEN	YEARS	OLD
48	OUR	RESULTS	SHOW	THAT
47	AND	BECAUSE	THERE	ARE
46	THAT	HAPPENS	WHEN	YOU
43	WAS	REMOUED	FROM	HIS
41	SHE	STEPPED	BACC	AND
41	NOT	BELIEUE	WHAT	YOU
38	WAS	SIXTEEN	YEARS	OLD
37	WITH	TEASPOON	SALT	AND
37	WAS	THIRTEEN	YEARS	OLD
37	NOT	BELIEUE	THERE	WAS
36	THAT	BECAUSE	THERE	ARE
36	AND	ALTHOUGH	THERE	ARE
35	YOU	BELIEUE	WHAT	YOU
35	WAS	EXACTLY	WHAT	SHE
35	HAS	WRITTEN	MORE	THAN
35	AND	WOUNDED	MORE	THAN
34	TEN	THOUSAND	YEARS	AGO
34	SHE	REALISED	THERE	WAS
34	FOR	SEUERAL	DAYS	AND
33	FOR	SEUERAL	DAYS	NOW
33	AND	INJURED	MORE	THAN
33	AND	ILLICIT	DRUG	USE
32	HER	HUSBAND	LEFT	HER
32	NOT	IMAGINE	WHAT	THEY
31	GAP	BETWEEN	THEORY	AND
31	BUT	BECAUSE	THERE	ARE
31	AND	BECAUSE	THERE	WAS
31	AND	ANYBODY	ELSE	WHO
30	OUT	EXACTLY	WHAT	THEY
30	NOT	IMAGINE	WHAT	THAT
29	WITH	MACHINE	GUNS	AND
28	LET	ANYBODY	TELL	YOU
28	HIS	FRIENDS	CALL	HIM
28	NOT	BELIEUE	THERE	ARE
27	WAS	BECAUSE	THERE	WAS
27	NOT	EXACTLY	SURE	HOW
27	DO(I)NG	EXACTLY	WHAT	THEY
27	AND	EUERYTH(I)NG	ELSE	AND
27	NOT	BELIEUE	WHAT	WAS
26	WAS	WONDER(I)NG	WHAT	YOU
26	ONE	HUNDRED	YEARS	OLD
26	BUT	STUDIES	SHOW	THAT
25	YOU	EXPLAIN	WHAT	YOU
25	NOT	EXACTLY	WHAT	YOU
25	HIS	PARENTS	TOOC	HIM
25	HER	HUSBAND	TOLD	HER
24	THAT	PERHAPS	THERE	WAS
24	HIS	PARENTS	WERE	NOT
24	HAS	CLAIMED	MORE	THAN
24	GET	CARRIED	AWAY	AND
24	FOR	SEUERAL	YEARS	WITH
24	AND	MEDICAL	LEAUE	ACT
24	AND	EUERYTH(I)NG	ELSE	WAS
24	AND	DEUELOP	THEIR	OWN
23	THAT	BECAUSE	THERE	WAS
23	THAT	ALTHOUGH	THERE	ARE
23	SHE	SOUNDED	LICE	SHE
22	THAT	SEUERAL	YEARS	AGO
22	GET	EXACTLY	WHAT	YOU
22	ARE	MOMENTS	WHEN	YOU
21	THAN	ANYBODY	ELSE	AND
21	FOR	SEUERAL	YEARS	THAT
21	FOR	MEDICAL	CARE	AND
21	FAR	REMOUED	FROM	HIS
21	BUT	BECAUSE	THERE	WAS
21	AND	ALTHOUGH	THERE	WAS
21	NOT	IMAGINE	WHAT	YOU
20	YOU	BELIEUE	THERE	ARE
20	WHO	RETIRED	LAST	YEAR
20	THAT	RESULTS	FROM	THIS
20	OUT	EXACTLY	WHAT	WAS
20	HAS	DONATED	MORE	THAN
20	AND	FINALLY	THERE	WAS
20	AND	CRAWLED	INTO	BED
19	WAS	SEUERAL	YEARS	AGO
19	THAT	EMERGES	FROM	THIS
19	TOO	CARRIED	AWAY	WITH
19	NOT	BECAUSE	THERE	ARE
