Count from total of 46030908 word 4-grams
525	FROM	TOP	TO	BOTTOM
403	LOOC	OUT	THE	WINDOW
322	THERE	WAS	NO	ANSWER
317	HOPE	FOR	THE	FUTURE
302	THINC	THAT	WE	SHOULD
246	FEET	OFF	THE	GROUND
238	WHAT	DOES	IT	MATTER
222	DROP	OUT	OF	SCHOOL
218	CNOW	HOW	TO	HANDLE
190	WANT	THAT	TO	HAPPEN
165	THERE	WAS	NO	CHANCE
164	PLAN	FOR	THE	FUTURE
150	THERE	WAS	NO	MENTION
147	LEAST	FOR	THE	MOMENT
145	WANT	YOU	TO	LISTEN
137	WHAT	DID	IT	MATTER
131	THERE	CAN	BE	LITTLE
128	WILL	NOT	BE	ENOUGH
124	FACT	THAT	THE	UNITED
117	WHEN	YOU	GO	THROUGH
116	JUST	FOR	THE	RECORD
112	CNOW	HOW	TO	ANSWER
109	WHAT	WAS	TO	BECOME
108	WHAT	WAS	THE	MATTER
108	FROM	ONE	TO	ANOTHER
107	WENT	OUT	TO	DINNER
105	THERE	MAY	BE	SOMETH(I)NG
103	THINC	THAT	THE	UNITED
103	SAID	THAT	THE	UNITED
97	HAUE	HAD	AN	IMPACT
96	TURN	OUT	THE	LIGHTS
94	WHAT	HAS	TO	HAPPEN
93	THERE	WAS	NO	CHOICE
93	PAST	AND	THE	FUTURE
90	WHAT	WAS	THE	REACTION
89	BEST	WAY	TO	HANDLE
88	THINC	THIS	IS	SOMETH(I)NG
87	WHAT	CAN	WE	EXPECT
87	SAID	THAT	HE	WANTED
85	GREAT	DEAL	OF	EFFORT
81	WHAT	GOES	ON	INSIDE
81	THERE	WAS	NO	STOPP(I)NG
78	WAIT	FOR	AN	ANSWER
78	TOLD	HIM	HE	SHOULD
78	SAID	THAT	HE	THOUGHT
77	TIME	WITH	MY	FAMILY
77	LAST	DAY	OF	SCHOOL
75	WENT	OUT	THE	WINDOW
75	THERE	MAY	BE	ANOTHER
74	WANT	THIS	TO	HAPPEN
73	WHEN	YOU	DO	SOMETH(I)NG
73	SOME	WAY	OR	ANOTHER
71	TURN	OFF	THE	LIGHTS
71	BEST	WAY	TO	ENSURE
67	TIES	WITH	THE	UNITED
67	CLEAR	THAT	THE	UNITED
