Count from total of 46030908 word 4-grams
327	YORC	AND	NEW	JERSEY
299	THERE	WAS	NOT	ENOUGH
287	THERE	ARE	NOT	ENOUGH
276	THANC	YOU	FOR	WATCH(I)NG
259	MORE	THAN	ONE	PERSON
236	THERE	ARE	NOT	ENOUGH
234	MORE	THAN	ONE	MILLION
185	PUTS	HIS	ARM	AROUND
183	THERE	WAS	NOT	ENOUGH
180	WHAT	WAS	GO(I)NG	THROUGH
176	MORE	THAN	TWO	MILLION
143	WENT	OUT	AND	BOUGHT
131	WHAT	DID	YOU	EXPECT
123	THOSE	WHO	CAN	AFFORD
122	THERE	ARE	TWO	REASONS
118	TIME	WITH	HIS	FAMILY
112	THINC	THAT	THEY	SHOULD
110	WHEN	SHE	WAS	LITTLE
108	THERE	ARE	ANY	NUMBER
102	WHEN	SHE	WAS	YOU(I)NGER
91	JUST	DOES	NOT	HAPPEN
90	THANC	YOU	FOR	INUIT(I)NG
89	ELSE	FOR	THAT	MATTER
86	WHAT	ARE	YOU	AFRAID
84	MADE	HIS	WAY	THROUGH
83	WHAT	WAS	THEN	CALLED
80	WHAT	THEY	HAD	LEARNED
74	JUST	DID	NOT	HAPPEN
73	THINC	THAT	YOU	SHOULD
68	THERE	ARE	TWO	ISSUES
67	THOSE	WHO	ARE	ALREADY
65	PUTS	HER	ARM	AROUND
64	WHEN	YOU	SEE	SOMETH(I)NG
64	WHEN	DID	YOU	REALISE
58	THERE	WAS	NOT	ANYONE
57	WHAT	YOU	CAN	EXPECT
54	WERE	NOT	BAD	ENOUGH
54	MORE	THAN	THEY	SHOULD
53	WHAT	CAN	YOU	EXPECT
51	WHEN	DID	THIS	HAPPEN
51	JUST	WAS	NOT	ENOUGH
50	MADE	ITS	WAY	THROUGH
49	THINC	YOU	CAN	HANDLE
49	JUST	ARE	NOT	ENOUGH
49	HOME	WITH	HIS	FAMILY
48	WHAT	ARE	YOU	LAUGH(I)NG
48	TOOC	OFF	HIS	JACCET
48	MAC(I)NG	ITS	WAY	THROUGH
47	MADE	HIS	WAY	TOWARD
46	WHEN	DID	YOU	DECIDE
46	LOUE	FOR	ONE	ANOTHER
45	MADE	HER	WAY	THROUGH
45	JUST	DID	NOT	REALISE
44	HEARD	THAT	ONE	BEFORE
43	SAID	THAT	THEY	WANTED
43	MAC(I)NG	HIS	WAY	THROUGH
42	WORC	ITS	WAY	THROUGH
42	THERE	WAS	ONE	PERSON
42	TIME	WITH	HER	FAMILY
41	WHAT	ARE	YOU	PLANN(I)NG
41	MUCH	FOR	THAT	REPORT
40	WHAT	YOU	CAN	AFFORD
40	THERE	WAS	ANY	CHANCE
40	TOLD	HER	SHE	SHOULD
38	THERE	ARE	FEW	PLACES
38	PAGE	TOP	AND	BOTTOM
38	MORE	THAN	SIX	MILLION
37	THANC	YOU	FOR	PRINT(I)NG
37	SAID	THAT	THEY	THOUGHT
37	HELP	YOU	GET	THROUGH
37	DAYS	AND	TWO	NIGHTS
36	WHAT	SHE	HAD	LEARNED
36	SAY(I)NG	THAT	YOU	SHOULD
36	HAUE	NOT	YET	REACHED
35	WHEN	YOU	SEE	SOMEONE
35	WHAT	HAS	NOT	CHA(I)NGED
35	TOOC	OUT	HIS	WALLET
35	SISE	DOES	NOT	MATTER
35	READ(I)NG	AND	MATH	SCORES
35	MORE	THAN	ONE	BILLION
35	HAUE	NOT	HAD	ENOUGH
34	WHEN	SHE	WAS	TWELUE
34	WHEN	DID	THAT	HAPPEN
34	WHAT	DID	NOT	HAPPEN
34	TACE	OFF	HER	CLOTHES
34	FEEL	THAT	THEY	SHOULD
33	WORC	OUR	WAY	THROUGH
33	TOLD	HIM	SHE	WANTED
33	MACE	HIS	WAY	THROUGH
33	CARE	FOR	ONE	ANOTHER
32	THERE	WAS	YET	ANOTHER
32	THERE	WAS	NOT	ANOTHER
32	SAID	THAT	SHE	WANTED
32	HELP	YOU	WITH	SOMETH(I)NG
32	ALO(I)NG	WITH	ONE	ANOTHER
31	YOUR	HEAD	AND	ORIENT
31	YEARS	AGO	THIS	SUMMER
31	THERE	ARE	TWO	POINTS
31	TOOC	OFF	HIS	CLOTHES
31	ODDS	WITH	ONE	ANOTHER
31	MADE	HIS	WAY	ACROSS
30	WHAT	THEY	CAN	AFFORD
30	THOSE	WHO	ARE	UNABLE
30	TIME	FOR	OUR	WEECLY
30	SOME	TH(I)NGS	ARE	BETTER
30	CNEW	HIS	WAY	AROUND
30	BACC	WITH	OUR	GUESTS
29	WHEN	DID	YOU	BECOME
29	THERE	WAS	THIS	LITTLE
29	JOBS	ARE	BE(I)NG	CREATED
29	BILL	THAT	WAS	PASSED
28	WHEN	SHE	WAS	AROUND
28	THOSE	WITH	AND	WITHOUT
28	TOOC	OFF	HER	CLOTHES
28	ALO(I)NG	WITH	HIS	BROTHER
27	WHEN	YOU	SAY	SOMETH(I)NG
27	WHEN	BAD	TH(I)NGS	HAPPEN
27	THANC	YOU	FOR	ALLOW(I)NG
27	MORE	THAN	SIX	INCHES
27	JUST	DOES	NOT	MATTER
26	WORC	HIS	WAY	THROUGH
26	WILL	PAY	FOR	ITSELF
26	WHEN	THEY	ARE	NEEDED
26	THERE	ARE	FEW	BETTER
26	TRIOL	FOR	WAR	CRIMES
26	MORE	THAN	ONE	FACTOR
26	MALE	AND	ONE	FEMALE
26	ALO(I)NG	WITH	HIS	FAMILY
25	WHEN	SHE	WAS	CILLED
25	WHAT	DOES	THAT	MATTER
25	TOOC	YOU	LO(I)NG	ENOUGH
25	TOLD	HER	SHE	LOOCED
25	MORE	THAN	TEN	MILLION
25	LESS	THAN	ONE	MINUTE
25	JUST	DID	NOT	EXPECT
25	FIND	OUT	FOR	MYSELF
24	WHAT	SHE	HAD	ALWAYS
24	THINC	THAT	SHE	SHOULD
24	THERE	WAS	NOT	SOMETH(I)NG
24	SAID	THAT	YOU	SHOULD
24	SAID	THAT	THEY	SHOULD
24	SAID	THAT	SHE	THOUGHT
24	FIND	OUT	WHO	CILLED
24	CNOW	THAT	YOU	SHOULD
24	CNOW	THAT	THEY	SHOULD
23	WHEN	SHE	WAS	ELEUEN
23	WHAT	THEY	CAN	EXPECT
23	WHAT	DID	YOU	DECIDE
23	THINC	YOU	CAN	EXPECT
23	THINC	FOR	ONE	MINUTE
23	THERE	ARE	TWO	OPTIONS
23	MADE	HER	WAY	TOWARD
23	JUST	ONE	DAY	BEFORE
23	FROM	HIS	OWN	POCCET
23	FEEL	THAT	YOU	SHOULD
22	YEARS	OLD	AND	ALREADY
22	WORC	WITH	OUR	ALLIES
22	WIFE	AND	HER	SISTER
22	WHEN	SHE	WAS	TWENTY
22	WHAT	WAS	HIS	REACTION
22	WHAT	WAS	HER	REACTION
22	WHAT	ARE	YOU	DRINC(I)NG
22	WHAT	ARE	THEY	AFRAID
22	MORE	THAN	THEY	ALREADY
22	MAC(I)NG	ITS	WAY	ACROSS
22	LICE	RIP	UAN	WINCLE
22	HAUE	SEX	WITH	SOMEONE
22	FIND	HIM	NOT	GUILTY
21	WORC	WITH	ONE	ANOTHER
21	WILL	GET	YOU	THROUGH
21	WHEN	THEY	SEE	SOMETH(I)NG
21	WENT	OUT	AND	PLAYED
21	THOSE	WHO	HAD	ALREADY
21	THERE	ARE	TWO	GROUPS
21	SAY(I)NG	THAT	THEY	SHOULD
21	MORE	THAN	TWO	INCHES
21	LEFT	HER	FOR	ANOTHER
21	INTO	HIS	OWN	POCCET
21	HEARD	ALL	THIS	BEFORE
21	DRUG	USE	AND	SEXUAL
21	DIED	AND	WAS	BURIED
20	WHAT	HAS	NOW	BECOME
20	WHAT	DID	THEY	EXPECT
20	WHAT	ARE	YOU	IMPLY(I)NG
20	THERE	WAS	TOO	LITTLE
20	TOOC	OFF	HIS	HELMET
20	TALC	WITH	ONE	ANOTHER
20	SAID	THAT	SHE	SHOULD
20	MORE	THAN	SHE	WANTED
20	LESS	THAN	TWO	INCHES
20	HAU(I)NG	SEX	WITH	SOMEONE
20	HAUE	NOT	YET	LEARNED
20	COME	OUT	WITH	SOMETH(I)NG
20	CNEW	HER	WAY	AROUND
20	CIDS	ARE	OLD	ENOUGH
19	WILL	ONE	DAY	BECOME
19	WHEN	SHE	WAS	THROUGH
19	WHAT	WAS	THAT	MOMENT
19	WHAT	SHE	HAD	WANTED
19	WENT	OUT	FOR	DINNER
19	THANC	ALL	OUR	GUESTS
19	TOLD	HER	SHE	NEEDED
19	TIME	THAT	HAS	PASSED
19	TACE	OFF	HIS	CLOTHES
19	SAID	THAT	YOU	THOUGHT
19	MUCH	YOU	CAN	AFFORD
19	MORE	THAN	ONE	SOURCE
19	MADE	OUR	WAY	THROUGH
19	MAC(I)NG	HIS	WAY	TOWARD
19	MACE	OUR	WAY	THROUGH
19	LIUE	WITH	HIS	FAMILY
19	JUST	HAS	NOT	WORCED
19	HAIR	THAT	HAD	FALLEN
19	FROM	HIS	HIP	POCCET
19	AMO(I)NG	ALL	AGE	GROUPS
18	WHEN	SHE	WAS	CALLED
18	WHAT	ARE	YOU	STUDY(I)NG
18	WHAT	ARE	YOU	SCARED
18	WHAT	ARE	THEY	CALLED
18	WENT	OUT	FOR	COFFEE
18	WAIT	AND	SEE	WHETHER
18	THINC	THAT	CAN	HAPPEN
18	THERE	WAS	THAT	LITTLE
18	THERE	WAS	ONE	LITTLE
18	THERE	ARE	TWO	COMMON
18	TOLD	YOU	THIS	BEFORE
18	MORE	THAN	TWO	BILLION
18	MADE	ITS	WAY	ACROSS
18	MADE	HIS	WAY	AROUND
18	LEFT	HIM	FOR	ANOTHER
18	JUST	ASC	YOU	SOMETH(I)NG
18	HOME	WITH	HER	FAMILY
18	HAUE	NOT	YOU	LEARNED
18	FROM	HIS	OWN	FAMILY
18	CNOW	WHO	THAT	PERSON
18	ALO(I)NG	WITH	HER	SISTER
17	WHEN	SHE	WAS	UISIT(I)NG
17	WHAT	THEY	ARE	TAUGHT
17	WHAT	SHE	HAS	LEARNED
17	THOSE	WHO	ARE	CALLED
17	THINC	THAT	THIS	SHOULD
17	THERE	WITH	HIS	FAMILY
17	THERE	WAS	ONE	MOMENT
17	THERE	ARE	TWO	LEUELS
17	SAID	THAT	YOU	WANTED
17	MAC(I)NG	ITS	WAY	TOWARD
17	HERE	WITH	HIS	FAMILY
17	HELP	THEM	GET	THROUGH
17	HAUE	ANY	IDEA	WHETHER
17	CNOW	HIS	WAY	AROUND
17	CIDS	ARE	GO(I)NG	THROUGH
17	BUSH	AND	HIS	FAMILY
17	BABY	SHE	WAS	CARRY(I)NG
16	WIFE	AND	HIS	FAMILY
16	WHAT	DID	YOU	NOTICE
16	WERE	NOT	YOU	AFRAID
16	THINC	THAT	THAT	SHOULD
16	THESE	ARE	NOT	NORMAL
16	TELL	THEM	THEY	SHOULD
16	SAYS	SHE	HAS	ALWAYS
16	MORE	THAN	YOU	SHOULD
16	MORE	THAN	THEY	NEEDED
16	MADE	HER	WAY	ACROSS
16	MACE	ITS	WAY	THROUGH
16	JUST	FOR	ONE	SECOND
16	HIGH	AND	LOW	LEUELS
16	FELT	THAT	WAY	BEFORE
16	CNEW	THAT	SHE	SHOULD
16	CAME	OUT	AND	TALCED
15	WORC	HER	WAY	THROUGH
15	WILL	SEE	YOU	THROUGH
15	WHEN	YOU	HEAR	SOMEONE
15	WHEN	THEY	ARE	UNABLE
15	WHEN	THEY	ARE	CALLED
15	WHAT	THEY	DID	BEFORE
15	WERE	NOT	FAR	BEHIND
15	WERE	NOT	BIG	ENOUGH
15	THINC	SHE	WAS	AFRAID
15	THESE	TH(I)NGS	ARE	ALWAYS
15	THERE	ARE	TWO	PLACES
15	THANC	YOU	FOR	DROPP(I)NG
15	TOLD	THAT	THEY	SHOULD
15	TIME	NOW	FOR	ANOTHER
15	TANC	TOP	AND	SHORTS
15	SURE	YOU	CAN	HANDLE
15	ONLY	ONE	WHO	THOUGHT
15	MUCH	FOR	THAT	UPDATE
15	MORE	THAN	YOU	REALISE
15	MORE	THAN	TWO	DRINCS
15	MORE	THAN	SHE	NEEDED
15	MAC(I)NG	HER	WAY	THROUGH
15	MAC(I)NG	HER	WAY	TOWARD
15	HEARD	THIS	ONE	BEFORE
15	HAUE	RUN	ITS	COURSE
15	HAUE	NOT	YET	BECOME
15	HAUE	NOT	HAD	ACCESS
15	HAUE	LET	THIS	HAPPEN
15	FIND	HIS	WAY	AROUND
15	CIDS	CAN	READ	SERIES
15	BACC	WITH	HIS	FAMILY
14	WILL	TRY	AND	BOUNCE
14	WHEN	YOU	GET	THROUGH
14	WHEN	YOU	GET	CAUGHT
14	WHEN	THEY	BOTH	WORCED
14	WHEN	SHE	WAS	SLEEP(I)NG
14	WHAT	SHE	HAD	ALREADY
14	WHAT	ARE	YOU	WATCH(I)NG
14	WHAT	ARE	OUR	OPTIONS
14	WHAT	ARE	NOW	CALLED
14	WENT	OUT	AND	LOOCED
14	THOSE	WHO	ARE	LICELY
14	THOSE	WHO	ARE	BETTER
14	THERE	ARE	NOW	ALMOST
14	TOLD	YOU	THAT	BEFORE
14	TELL	HER	SHE	SHOULD
14	TAC(I)NG	OFF	HIS	CLOTHES
14	SAYS	THAT	YOU	SHOULD
14	READ(I)NG	AND	MATH	SCILLS
14	PLAY	OFF	ONE	ANOTHER
14	ONLY	YOU	CAN	DECIDE
14	ONLY	GET	ONE	CHANCE
14	MORE	WITH	OUR	GUESTS
14	MANY	GAY	AND	LESBION
14	MADE	ITS	WAY	AROUND
14	JUST	ONE	YEAR	BEFORE
14	JUST	DID	NOT	MATTER
14	HELP	HIM	GET	THROUGH
14	HAU(I)NG	SEX	WITH	ANOTHER
14	HAUE	YOU	HAD	ENOUGH
14	GIUE	YOU	ANY	ADUICE
14	FELT	THIS	WAY	BEFORE
14	FELT	THAT	THEY	SHOULD
14	ALO(I)NG	WITH	HIS	FRIEND
13	YEARS	THAT	HAD	PASSED
13	YEARS	FOR	THIS	MOMENT
13	WHEN	SHE	WAS	FORCED
13	WHEN	SHE	WAS	CAUGHT
13	WHAT	WAS	BE(I)NG	TAUGHT
13	WENT	OUT	AND	TALCED
13	THOSE	WHO	HAD	FALLEN
13	THOSE	WHO	ARE	FIGHT(I)NG
13	THINC	THAT	WAS	SOMETH(I)NG
13	THINC	FOR	ONE	SECOND
13	THERE	ARE	TWO	THEORIES
13	THERE	ARE	TWO	PIECES
13	THERE	ARE	TWO	MILLION
13	THANC	YOU	FOR	SPEND(I)NG
13	TIME	WITH	ONE	ANOTHER
13	TALC	WITH	OUR	GUESTS
13	TAC(I)NG	OFF	HER	CLOTHES
13	TACE	HIS	OWN	ADUICE
13	SURE	YOU	CAN	AFFORD
13	SHOT	PUT	AND	DISCUS
13	MOUTH	WITH	HIS	NAPCIN
13	MORE	THAN	THEY	THOUGHT
13	MORE	THAN	ONE	MINUTE
13	MORE	THAN	ONE	FRIEND
13	MAC(I)NG	HIS	WAY	ACROSS
13	LIUE	WITH	ONE	ANOTHER
13	LICE	ONE	BIG	FAMILY
13	LESS	THAN	TWO	MILLION
13	LESS	THAN	ONE	DOLLAR
13	HAUE	WITH	ONE	ANOTHER
13	HAUE	SEX	WITH	ANYONE
13	HAUE	FOR	ONE	ANOTHER
13	HAUE	NOT	YET	REACHED
13	HAUE	NOT	MET	BEFORE
13	HAUE	NOT	GOT	ENOUGH
13	DUR(I)NG	HIS	LO(I)NG	CAREER
13	COM(I)NG	OUT	THIS	SUMMER
13	CNOW	YOU	CAN	HANDLE
