Count from total of 46030908 word 4-grams
161	FIND	OUT	EXACTLY	WHAT
149	THERE	ARE	SEUERAL	WAYS
135	MORE	THAN	ANYBODY	ELSE
120	TELL	YOU	EXACTLY	WHAT
97	THERE	ARE	MOMENTS	WHEN
91	THERE	ARE	SEUERAL	OTHER
81	ALO(I)NG	WITH	SEUERAL	OTHER
79	ALO(I)NG	WITH	EUERYTH(I)NG	ELSE
54	MORE	THAN	DOUBLED	FROM
54	HAUE	ANY	CONTROL	OUER
51	MORE	THAN	FIFTEEN	YEARS
44	PAST	TWO	DECADES	HAUE
38	LAST	TWO	DECADES	HAUE
36	THERE	WAS	NOWHERE	ELSE
33	MADE	THIS	COUNTRY	GREAT
33	BOWL	WITH	PLASTIC	WRAP
32	WHEN	HER	PARENTS	WERE
32	WHEN	HER	HUSBAND	DIED
31	HAUE	NOT	EXACTLY	BEEN
29	WHEN	HIS	PARENTS	WERE
29	MORE	THAN	SEUENTY	YEARS
28	USED	FOR	EUERYTH(I)NG	FROM
27	UERY	FEW	STUDIES	HAUE
27	MACE	THIS	COUNTRY	WORC
27	DOOR	AND	STEPPED	INTO
25	THOSE	WHO	BENEFIT	FROM
25	THERE	FOR	SEUERAL	YEARS
25	OUER	TWO	HUNDRED	YEARS
25	LAST	TWO	HUNDRED	YEARS
25	FROM	ITS	EARLIEST	DAYS
25	FOOD	AND	MEDICAL	CARE
24	TELL	THEM	EXACTLY	WHAT
24	HELP	THEM	ACHIEUE	THEIR
23	WHEN	SHE	EMERGED	FROM
23	PAST	TWO	HUNDRED	YEARS
23	OUER	ONE	HUNDRED	YEARS
23	MORE	THAN	DOUBLED	OUER
23	HELP	THEM	IMPROUE	THEIR
23	BEEN	FOR	SEUERAL	YEARS
22	WHEN	THEY	EMERGED	FROM
22	GAYS	AND	LESBIONS	FROM
22	FROM	BOTH	PARTIES	HAUE
21	MORE	THAN	MINIMUM	WAGE
20	WHEN	SHE	ARRIUED	HOME
20	THERE	ARE	SEUERAL	GOOD
20	LESS	THAN	MINIMUM	WAGE
20	JUST	AND	DURABLE	PEACE
19	WHAT	WAS	HAPPEN(I)NG	HERE
19	TELL	HIM	EXACTLY	WHAT
19	HAUE	NOT	DECIDED	WHAT
19	DUR(I)NG	HIS	COLLEGE	YEARS
18	PAST	ONE	HUNDRED	YEARS
18	GAYS	AND	LESBIONS	HAUE
18	CNOW	FOR	CERTAIN	WHAT
17	WHEN	SHE	REALISED	WHAT
17	POUR	EGG	MIXTURE	OUER
17	MORE	THAN	TRIPLED	FROM
17	MORE	THAN	DOUBLED	THEIR
16	THERE	FOR	SEUERAL	DAYS
16	MORE	THAN	DOUBLED	DUR(I)NG
16	BUSH	AND	SENATOR	JOHN
16	BACC	AND	INCLUDE	YOUR
15	WILL	NOT	BELIEUE	WHAT
15	WHEN	SHE	STEPPED	INTO
15	WHAT	WAS	HAPPEN(I)NG	WHEN
15	WHAT	WAS	HAPPEN(I)NG	THERE
15	THERE	ARE	SEUERAL	MORE
15	SHOW	YOU	EXACTLY	WHAT
15	SEEM	FAR	REMOUED	FROM
15	READ(I)NG	AND	LA(I)NGUAGE	ARTS
15	INTO	THIS	COUNTRY	FROM
15	HELP	YOU	ACHIEUE	YOUR
15	HELP	WITH	EUERYTH(I)NG	FROM
15	GAYS	AND	LESBIONS	WERE
15	FROM	HIS	EARLIEST	DAYS
14	YOUR	HEAD	BETWEEN	YOUR
14	WERE	THEN	ENTERED	INTO
14	TOLD	HIM	EXACTLY	WHAT
14	TACE	THIS	COUNTRY	BACC
14	PAST	FEW	DECADES	HAUE
14	LAST	FEW	THOUSAND	YEARS
14	HELP	THEM	DEUELOP	THEIR
14	BILL	HEAD	FUNERAL	HOME
13	WORC	FOR	SEUERAL	YEARS
13	WILL	NOT	BENEFIT	FROM
13	WHEN	SHE	FINALLY	CAME
13	THERE	ARE	SEUERAL	AREAS
13	THERE	ARE	CERTAIN	AREAS
13	THEME	THAT	EMERGED	FROM
13	TELL	OUR	UIEWERS	WHAT
13	JUST	GOT	CARRIED	AWAY
13	HAIR	WAS	SLICCED	BACC
