Count from total of 46030908 word 4-grams
163	JUST	LICE	EUERYONE	ELSE
69	WENT	THEIR	SEPARATE	WAYS
69	DATA	WERE	OBTAINED	FROM
53	THOSE	RARE	OCCASIONS	WHEN
40	HAUE	BEEN	EXCLUDED	FROM
36	HAUE	JUST	RETURNED	FROM
29	HAUE	ONLY	RECENTLY	BEEN
27	GONE	THEIR	SEPARATE	WAYS
25	CNOW	WHAT	HAPPENED	NEXT
22	THERE	WERE	MISTACES	MADE
22	CNOW	WHAT	HAPPENED	THERE
22	CNOW	WHAT	HAPPENED	HERE
21	LOOC	WHAT	HAPPENED	WHEN
20	MACE	THEIR	PRESENCE	FELT
20	HAUE	BEEN	OBTAINED	FROM
19	THINC	WHAT	HAPPENED	HERE
19	HAUE	COME	STRAIGHT	FROM
19	HAUE	BEEN	REPORTED	FROM
19	HAUE	BEEN	EXPELLED	FROM
19	CEEP	THEIR	DISTANCE	FROM
18	HAU(I)NG	JUST	RETURNED	FROM
17	WHEN	THEIR	CHILDREN	WERE
17	MAC(I)NG	THEIR	PRESENCE	FELT
15	THERE	WERE	OCCASIONS	WHEN
15	MUST	HAUE	WONDERED	WHAT
15	HAUE	BEEN	EXPECTED	FROM
15	CEPT	THEIR	DISTANCE	FROM
14	THERE	WERE	PROBABLY	MORE
14	HAUE	BEEN	ISOLATED	FROM
14	HAUE	BEEN	ABSORBED	INTO
13	WERE	ALSO	OBTAINED	FROM
13	HAUE	BEEN	IMPORTED	FROM
13	HAUE	BEEN	BORROWED	FROM
13	FROM	SOME	DISTANCE	AWAY
