Count from total of 46030908 word 4-grams
1349	THANCS	FOR	BE(I)NG	WITH
1297	EUERY	NOW	AND	THEN
824	WHERE	ARE	YOU	GO(I)NG
667	SHOOC	HIS	HEAD	AND
582	PEOPLE	WHO	ARE	NOT
499	WHERE	DID	YOU	GET
417	PEOPLE	WHO	DID	NOT
399	PEOPLE	WHO	ARE	NOT
389	SHOOC	HER	HEAD	AND
388	PEOPLE	WHO	ARE	GO(I)NG
316	WOULD	NOT	LET	HIM
303	WOULD	NOT	SAY	THAT
264	WOULD	YOU	SAY	THAT
248	COULD	NOT	GET	OUT
236	THOUGH	SHE	DID	NOT
231	WOULD	NOT	YOU	SAY
206	WHERE	YOU	CAN	GET
195	WHERE	SHE	WAS	GO(I)NG
186	WOULD	NOT	LET	HER
182	COULD	NOT	SEE	HER
180	PEOPLE	WHO	SAY	THEY
176	PEOPLE	WHO	DID	NOT
174	WHERE	YOU	CAN	SEE
162	COULD	NOT	GET	ANY
155	AGREE	WITH	YOU	THAT
149	PEOPLE	ARE	NOT	GO(I)NG
143	COULD	SEE	THAT	SHE
139	PEOPLE	ARE	NOT	GO(I)NG
137	COULD	NOT	SEE	HIM
136	PEOPLE	WHO	CAN	NOT
135	PEOPLE	WHO	ARE	DO(I)NG
131	PEOPLE	WHO	SAY	THAT
129	COULD	NOT	ASC	FOR
123	THOUGH	THEY	DID	NOT
122	COULD	NOT	DEAL	WITH
120	WHERE	SHE	AND	HER
120	COULD	NOT	SEE	HIS
119	WHERE	YOU	ARE	AND
119	POINT	OUT	THAT	THIS
113	PEOPLE	WHO	ARE	OUT
111	WHERE	ARE	THEY	NOW
110	FOUND	OUT	SHE	WAS
109	WHERE	THEY	ARE	GO(I)NG
109	WHERE	ARE	THEY	GO(I)NG
107	WHERE	THEY	ARE	AND
106	FOUND	OUT	THAT	SHE
105	WOULD	NOT	LET	THEM
105	WOMEN	AND	MEN	WHO
105	WHERE	YOU	ARE	GO(I)NG
105	PEOPLE	THAT	ARE	GO(I)NG
104	MAYBE	THEY	DID	NOT
104	COULD	NOT	SEE	ANY
103	THOUGH	SHE	WAS	NOT
103	COULD	NOT	SEE	THEM
101	SENSE	THAT	THEY	ARE
100	PEOPLE	WHO	ARE	BE(I)NG
100	MAYBE	YOU	DID	NOT
97	MAYBE	SHE	DID	NOT
97	COULD	SEE	SHE	WAS
95	UNDER	HIS	ARM	AND
94	WHICH	HAS	ITS	OWN
94	WHERE	THEY	ARE	NOW
93	THOUGH	SHE	HAD	NOT
93	PEOPLE	WHO	ARE	NOW
89	WHERE	THEY	CAN	GET
89	ABOUT	TH(I)NGS	THAT	ARE
87	WOULD	YOU	SAY	YOU
87	COULD	NOT	GET	THEM
86	ABOUT	WHO	THEY	ARE
84	COULD	NOT	GET	HER
82	COULD	NOT	SEE	HOW
82	ABOUT	HIM	AND	HIS
81	POINT	OUT	THAT	THEY
80	WOULD	NOT	LET	YOU
79	SHAC(I)NG	HIS	HEAD	AND
78	WHERE	ARE	YOU	NOW
78	THOUGH	SHE	DID	NOT
78	COULD	NOT	SAY	THAT
78	ASCED	HER	WHY	SHE
77	STAGE	WAS	SET	FOR
77	OLDER	THAN	SHE	WAS
77	COULD	NOT	SEE	HER
77	ABOUT	THIS	AND	THAT
76	COULD	NOT	GET	HIM
76	ABOUT	HOW	YOU	CAN
75	STUCC	HIS	HEAD	OUT
75	COULD	NOT	GET	HIS
75	CHECC	OUT	OUR	WEB
74	WHICH	THEY	ARE	NOT
74	PEOPLE	WHO	MAY	NOT
74	MAYBE	THAT	WAS	WHY
74	MAYBE	SHE	WAS	NOT
73	WHICH	DOES	NOT	MEAN
73	LOOC(I)NG	OUT	FOR	YOU
73	FOUND	OUT	THAT	THEY
72	WHERE	THEY	ARE	NOT
71	WOMEN	WHO	DID	NOT
71	WOMEN	WHO	ARE	NOT
70	WOULD	NOT	LET	HIM
70	THOUGH	THEY	ARE	NOT
70	AWARE	THAT	SHE	WAS
69	WOULD	SAY	THAT	THEY
69	THOUGH	SHE	DOES	NOT
68	ASCED	HER	HOW	SHE
68	ABOUT	WHO	YOU	ARE
67	WHERE	YOU	CAN	BUY
66	COULD	SEE	THAT	THEY
66	CLAIM	THAT	THEY	ARE
65	MACES	YOU	SAY	THAT
65	COMES	WITH	ITS	OWN
64	WOULD	NOT	LET	HER
64	UOICE	WAS	LOW	AND
64	ABOUT	HOW	THEY	ARE
63	WHICH	WAS	WHY	SHE
63	THOUGH	THEY	DID	NOT
62	TELL(I)NG	YOU	THAT	YOU
61	WHERE	YOU	ARE	NOW
61	COULD	SEE	THAT	HIS
60	WOMEN	AND	MEN	ARE
60	TURNS	OUT	THAT	THIS
60	COULD	NOT	GET	RID
59	WHICH	THEY	CAN	NOT
59	PRICE	YOU	PAY	FOR
59	EUERY	DAY	FOR	TWO
59	COULD	NOT	SEE	THAT
58	WHERE	THEY	DID	NOT
58	ABOUE	HIS	HEAD	AND
57	WOULD	SAY	THAT	THIS
57	ABOUT	HOW	SHE	WAS
56	WOULD	NOT	SAY	THAT
56	WOMAN	WHO	DOES	NOT
56	WOMAN	WHO	DID	NOT
56	WATCH	OUT	FOR	THAT
56	TELL(I)NG	HER	THAT	SHE
56	PEOPLE	THAT	THEY	ARE
56	COULD	NOT	HEAR	HER
55	GETT(I)NG	TOO	OLD	FOR
55	ANYTH(I)NG	THAT	WAS	NOT
55	ABOUT	HOW	THEY	CAN
54	WHICH	THEY	DID	NOT
54	THOUGH	THEY	MAY	NOT
54	RIGHT	OUT	AND	SAY
54	COULD	SEE	THAT	HER
53	WOULD	SAY	THAT	YOU
53	WHICH	THEY	DID	NOT
53	STILL	DID	NOT	GET
53	COULD	NOT	LET	HIM
53	AWARE	THAT	THEY	ARE
53	AGREE	WITH	HIM	THAT
52	WOULD	SAY	THAT	THAT
52	WHICH	SHE	DID	NOT
52	PROUE	THAT	THEY	ARE
52	PEOPLE	WHO	DID	THIS
52	FOUND	THAT	SHE	WAS
52	ANYTH(I)NG	THAT	YOU	CAN
52	ANYTH(I)NG	THAT	DOES	NOT
51	PEOPLE	THAT	ARE	NOT
51	FOUND	OUT	THAT	YOU
51	COULD	NOT	SEE	HIS
50	WHICH	YOU	CAN	SEE
50	TELL(I)NG	THEM	THAT	THEY
50	PEOPLE	THAT	DID	NOT
49	TELLS	YOU	THAT	YOU
49	POINT	OUT	THAT	YOU
49	ARGUE	THAT	THEY	ARE
48	WHICH	HAS	NOT	YET
48	WHERE	SHE	WAS	AND
48	PEOPLE	THAT	ARE	NOT
48	MAYBE	YOU	CAN	GET
48	CNOWS	WHO	YOU	ARE
48	CNOWS	WHO	THEY	ARE
47	WHICH	SHE	DID	NOT
47	WHERE	DID	YOU	HEAR
47	PEOPLE	SAY	THAT	THEY
47	FOUND	THAT	SHE	HAD
47	CNOW(I)NG	THAT	SHE	WAS
47	ABOUT	HOW	AND	WHY
46	SHACE	HIS	HEAD	AND
46	POCED	HIS	HEAD	OUT
46	PEOPLE	WHO	HAD	NOT
46	FOUND	THAT	MEN	WHO
46	COULD	YOU	SAY	THAT
45	WOMEN	WHO	DID	NOT
45	WHERE	THIS	WAS	GO(I)NG
45	SMALL	FOR	HIS	AGE
45	REALLY	WAS	NOT	THAT
45	PEOPLE	WHO	ARE	US(I)NG
45	PEOPLE	SAY	THEY	ARE
45	NEUER	HAD	SEX	WITH
45	FOUND	THAT	THEY	HAD
44	WOULD	NOT	SAY	HOW
44	WOULD	NOT	SEE	HER
44	SINCE	THEY	ARE	NOT
44	POINT	OUT	THAT	SHE
44	FIGHT	AND	DIE	FOR
44	FEEL(I)NG	THAT	THEY	ARE
44	FEEL(I)NG	THAT	SHE	WAS
44	EUERY	DAY	THAT	YOU
43	WHICH	SHE	AND	HER
43	WHERE	YOU	DID	NOT
43	SINCE	SHE	DID	NOT
43	SHOOC	HIS	HEAD	WITH
43	SENSE	THAT	SHE	WAS
43	PEOPLE	DID	NOT	GET
43	COULD	NOT	GET	OUT
43	ABOUT	HER	AND	HER
42	WHILE	ALL	THIS	WAS
42	WHERE	THEY	CAN	NOT
42	THOUGH	YOU	MAY	NOT
42	TURNS	OUT	THAT	THEY
42	SINCE	THEY	DID	NOT
42	SENSE	THAT	THIS	WAS
42	REASON	FOR	THIS	WAS
42	FOUND	OUT	SHE	HAD
42	BOWED	HIS	HEAD	AND
42	ABOUT	HOW	TH(I)NGS	ARE
41	WOULD	NOT	LET	THEM
41	WHICH	ONE	ARE	YOU
41	STUCC	HER	HEAD	OUT
41	REALLY	DID	NOT	GET
41	RATHER	THAN	ONE	THAT
41	OLDER	THAN	YOU	ARE
41	COULD	SEE	AND	HEAR
40	TODAY	THAN	THEY	DID
40	COULD	NOT	LET	HER
40	ABOUT	HOW	SHE	HAD
39	WOMEN	THAN	FOR	MEN
39	WOMEN	AND	TWO	MEN
39	WHICH	YOU	CAN	NOT
39	WHERE	YOU	CAN	NOT
39	START	WITH	YOU	AND
39	MAYBE	SHE	DOES	NOT
39	COULD	NOT	HEAR	THEM
39	COULD	NOT	HEAR	HIM
38	WHILE	YOU	MAY	NOT
38	STILL	DOES	NOT	GET
38	PEOPLE	WHO	HAD	NOT
38	EUERY	DAY	THAT	GOES
38	BEGIN	AND	END	WITH
37	WOULD	NOT	SEE	HIM
37	WOULD	NOT	GET	OUT
37	UNTIL	YOU	HEAR	THIS
37	SINCE	THEN	SHE	HAS
37	MAYBE	THAT	WAS	NOT
37	GUESS	THEY	DID	NOT
37	ABOUT	HIM	WAS	THAT
36	WOULD	NOT	PAY	FOR
36	WORSE	THAN	THEY	ARE
36	WHILE	THEY	MAY	NOT
36	WHERE	DID	THEY	GET
36	UNDER	HER	ARM	AND
36	TELL(I)NG	HER	SHE	WAS
36	SHAC(I)NG	HER	HEAD	AND
36	RIGHT	NOW	THAT	ARE
36	PEOPLE	SAY	THAT	YOU
36	PEOPLE	DIE	EACH	YEAR
36	OFTEN	THAN	NOT	THEY
36	NOTION	THAT	YOU	CAN
36	COULD	SEE	THAT	THIS
35	WOULD	SAY	THAT	SHE
35	THOUGH	YOU	DID	NOT
35	TACES	OFF	HIS	HAT
35	RIGHT	NOW	WHO	ARE
35	RIGHT	NOW	AND	THAT
35	REALLY	DID	NOT	SEE
35	LOOC(I)NG	OUT	FOR	HER
35	EUERY	DAY	AND	YOU
35	CNOW(I)NG	WHO	YOU	ARE
34	WORLD	THAT	DOES	NOT
34	WHILE	SHE	WAS	OUT
34	THOUGH	SHE	WAS	NOT
34	RIGHT	NOW	THEY	ARE
34	PEOPLE	THAT	ARE	BE(I)NG
34	MAYBE	THIS	WAS	NOT
34	GUESS	YOU	DID	NOT
34	FIRST	ONE	AND	THEN
34	COULD	NOT	SAY	FOR
34	COULD	NOT	GET	OFF
34	BOWED	HER	HEAD	AND
34	AFTER	SHE	AND	HER
33	WHERE	DOES	ALL	THIS
33	UNTIL	HOT	BUT	NOT
33	UNDER	ONE	ARM	AND
33	THOUGH	SHE	HAD	NOT
33	PEOPLE	WHO	DEAL	WITH
33	PEOPLE	THAT	THEY	CAN
33	PEOPLE	THAT	ARE	OUT
33	PEOPLE	ARE	DEAD	AND
33	OTHERS	WHO	ARE	NOT
33	MOTHER	AND	HER	TWO
33	COULD	NOT	SEE	HOW
32	WORSE	OFF	THAN	THEY
32	WHICH	YOU	DID	NOT
32	WHERE	DID	YOU	SEE
32	WATCH	OUT	FOR	THIS
32	SENSE	THAT	THEY	CAN
32	RIGHT	NOW	THAT	YOU
32	POCES	HIS	HEAD	OUT
32	LOOC(I)NG	FOR	TH(I)NGS	THAT
32	LATER	THIS	YEAR	AND
32	FOUND	OUT	THAT	HER
32	FEEL(I)NG	THAT	THIS	WAS
32	FATHER	AND	SON	ARE
32	ABOUT	TH(I)NGS	THAT	YOU
32	ABOUE	HER	HEAD	AND
31	WOULD	NOT	GET	ANY
31	WOMEN	WHO	SAY	THEY
31	WHICH	SHE	DOES	NOT
31	UNTIL	SHE	WAS	OUT
31	START	OUT	THAT	WAY
31	SHOWN	THAT	THEY	CAN
31	RATHER	YOU	DID	NOT
31	RATHER	THAN	DEAL	WITH
31	PEOPLE	WHO	ARE	DY(I)NG
31	PEOPLE	CAN	SAY	THAT
31	FIRST	SHE	DID	NOT
31	COULD	NOT	SAY	WHY
31	COULD	NOT	HEAR	YOU
30	WOULD	NOT	RUN	FOR
30	WHICH	YOU	CAN	GET
