Count from total of 46030908 word 4-grams
117	AFTER	THIS	NEWS	SUMMARY
113	COULD	NOT	HELP	WONDER(I)NG
113	COULD	NOT	HELP	HIMSELF
84	AFTER	THEY	WERE	MARRIED
71	STOCC	AND	BOND	MARCETS
70	COULD	NOT	HELP	HERSELF
50	SAU(I)NGS	AND	LOAN	SCANDAL
47	COULD	NOT	EUEN	IMAGINE
45	SAU(I)NGS	AND	LOAN	BAILOUT
44	WOULD	NOT	HAUE	NOTICED
40	WOULD	NOT	HAUE	BOTHERED
39	SAU(I)NGS	AND	LOAN	DEBACLE
37	STAFF	AND	WIRE	REPORTS
34	TUNED	FOR	THOSE	REPORTS
34	COULD	NOT	STOP	HERSELF
32	WEATHER	FOR	YOUR	WEECEND
31	WOULD	NOT	HAUE	ALLOWED
31	WOULD	NOT	HAUE	STOPPED
31	COULD	NOT	FIND	ANYBODY
30	MIGHT	NOT	HAUE	NOTICED
30	COULD	NOT	STOP	HIMSELF
29	COULD	NOT	EUEN	IMAGINE
28	FOURTH	AND	FIFTH	GRADERS
27	WOULD	NOT	HAUE	BROUGHT
26	TACEN	OFF	LIFE	SUPPORT
26	PEOPLE	WHO	HAUE	WRITTEN
24	WOMEN	AND	THEIR	DOCTORS
23	COULD	NOT	MACE	HERSELF
22	WHERE	ARE	YOUR	PARENTS
22	PEOPLE	WHO	WERE	INJURED
22	COULD	NOT	MACE	HIMSELF
22	BIRDS	AND	OTHER	ANIMALS
21	PEOPLE	WHO	HAUE	TROUBLE
21	COULD	NOT	HAUE	WRITTEN
20	WOULD	NOT	HAUE	WRITTEN
20	WOULD	NOT	HAUE	MARRIED
20	WOULD	NOT	HAUE	ALLOWED
20	WHICH	HAS	BEEN	OPERAT(I)NG
20	PENNY	FOR	YOUR	THOUGHTS
20	COULD	NOT	HELP	HIMSELF
20	COULD	NOT	HAUE	WRITTEN
20	BANCS	AND	OTHER	LENDERS
19	WOULD	NOT	HAUE	GUESSED
19	WHICH	THEY	WERE	WRITTEN
19	LIUED	WITH	THEIR	PARENTS
19	FIGHT	FOR	THEIR	COUNTRY
18	SPLIT	HIS	TIME	BETWEEN
18	COULD	NOT	HAUE	STOPPED
17	WOULD	NOT	WANT	ANYBODY
17	WHILE	THEY	WERE	TOGETHER
17	THANCS	FOR	YOUR	INSIGHT
17	STATE	FOR	ARMS	CONTROL
17	STAND	WITH	FEET	TOGETHER
17	PEOPLE	WHO	HAUE	DECIDED
17	LIUES	FOR	THEIR	COUNTRY
17	COULD	NOT	TELL	ANYBODY
16	WOULD	NOT	HAUE	NOTICED
16	WOULD	NOT	HAUE	EXISTED
16	WOULD	NOT	HAUE	TOUCHED
16	WHICH	HAD	BEEN	WRITTEN
16	STAFF	WITH	WHOM	SERUERS
16	PEOPLE	ARE	HAU(I)NG	TROUBLE
16	COULD	NOT	HAUE	PLANNED
16	COULD	NOT	EUEN	BELIEUE
15	TEENS	AND	THEIR	PARENTS
15	PEOPLE	WHO	HAUE	STUDIED
15	PEOPLE	AND	THEIR	CULTURE
15	LO(I)NGER	THAN	FIUE	MINUTES
15	LARGE	RED	BELL	PEPPERS
15	GIRLS	AND	THEIR	PARENTS
14	WOULD	NOT	HAUE	STOPPED
14	WOULD	NOT	HAUE	BROUGHT
14	PEOPLE	WHO	LIUE	OUTSIDE
14	PEOPLE	AND	THEIR	ELECTED
14	COULD	NOT	HELP	WONDER(I)NG
14	CNOWN	EACH	OTHER	FOREUER
14	CHA(I)NGE	HIS	LIFE	FOREUER
13	WOULD	NOT	HAUE	STARTED
13	WHICH	MAY	HELP	EXPLAIN
13	WHERE	THEY	WERE	MARRIED
13	WHERE	THEY	WERE	LOCATED
13	WHERE	ARE	YOUR	MANNERS
13	PLEASE	PUT	YOUR	ADDRESS
13	PEOPLE	WHO	WORC	TOGETHER
13	LATER	THEY	WERE	MARRIED
13	DOUGH	OUT	ONTO	LIGHTLY
13	COULD	NOT	HAUE	HANDLED
13	COULD	NOT	HAUE	ENJOYED
13	CNOWN	FOR	THEIR	ABILITY
13	AFTER	THEY	WERE	RELEASED
13	ADULT	DAY	CARE	CENTERS
