Count from total of 46030908 word 4-grams
127	UNDER	COLD	RUNN(I)NG	WATER
85	PEOPLE	WERE	TALC(I)NG	ABOUT
85	NEUER	SAID	ANYTH(I)NG	ABOUT
53	WOULD	HAUE	GIUEN	ANYTH(I)NG
47	WOULD	HAUE	TACEN	PLACE
38	WOULD	HAUE	CNOWN	ABOUT
38	NEUER	SEEN	ANYTH(I)NG	CWITE
38	FIRST	TIME	SINCE	WORLD
35	ABOUT	THEIR	DAILY	LIUES
30	SITT(I)NG	HERE	TALC(I)NG	ABOUT
28	REALLY	CNOW	ANYTH(I)NG	ABOUT
26	CHA(I)NGE	THEIR	MINDS	ABOUT
26	ABOUT	THREE	WEECS	LATER
26	ABOUT	THREE	WEECS	AFTER
25	THROW(I)NG	GOOD	MONEY	AFTER
25	NEUER	HEARD	ANYTH(I)NG	ABOUT
25	ABOUT	THREE	MONTHS	AFTER
24	WOULD	THINC	TWICE	ABOUT
24	COULD	HAUE	TACEN	PLACE
22	MIGHT	HAUE	TACEN	PLACE
21	COULD	HAUE	CNOWN	ABOUT
20	PEOPLE	CEEP	TALC(I)NG	ABOUT
20	MIGHT	THINC	TWICE	ABOUT
20	COULD	TALC	ABOUT	ANYTH(I)NG
20	BELOW	THEIR	GRADE	LEUEL
19	WOULD	HAUE	NEUER	CNOWN
19	SPEND	THEIR	WHOLE	LIUES
19	ABOUT	FOUR	MONTHS	AFTER
18	ABOUT	THREE	MONTHS	LATER
17	SPENT	THEIR	WHOLE	LIUES
17	NEUER	HAUE	TACEN	PLACE
16	WOULD	HAUE	TACEN	LO(I)NGER
16	PUTT(I)NG	THEIR	MONEY	WHERE
16	NEARLY	THREE	WEECS	AFTER
16	ABOUT	THREE	HOURS	AFTER
15	GETT(I)NG	YOUR	HANDS	DIRTY
14	GUESS	SOME	PEOPLE	WOULD
14	GETT(I)NG	THEIR	HANDS	DIRTY
14	AFTER	THEIR	FIRST	MEET(I)NG
14	ABOUT	THREE	HOURS	LATER
13	UNTIL	SOFT	DOUGH	FORMS
13	SINCE	THEIR	FIRST	MEET(I)NG
13	LARGE	BOWL	UNTIL	LIGHT
