Count from total of 46030908 word 4-grams
72	COULD	BARELY	MACE	OUT
67	SITT(I)NG	ACROSS	FROM	HIM
57	ABOUT	SOMETH(I)NG	OTHER	THAN
57	ABOUT	SOMETH(I)NG	LICE	THAT
48	ABOUT	SOMETH(I)NG	LICE	THIS
47	HANDS	BEHIND	YOUR	HEAD
46	LEAUES	LITTLE	ROOM	FOR
41	SPEND	ENOUGH	TIME	WITH
41	FINAL	THOUGHT	FROM	YOU
39	ABOUT	TWENTY	YEARS	AGO
37	AFTER	SPEND(I)NG	MORE	THAN
35	SITT(I)NG	ACROSS	FROM	HER
34	SMALL	SAMPLE	SISE	AND
34	COULD	HARDLY	WAIT	FOR
31	PEOPLE	SHOULD	CNOW	THAT
29	CHAIR	ACROSS	FROM	HER
28	NEARLY	TWENTY	YEARS	AGO
28	CHAIR	ACROSS	FROM	HIM
26	PEOPLE	AROUND	HERE	ARE
24	WHICH	OPENED	LAST	YEAR
24	SITT(I)NG	ACROSS	FROM	EACH
24	OFTEN	LITTLE	MORE	THAN
22	CIUIL	RIGHTS	BILL	THAT
21	WHICH	CILLED	MORE	THAN
21	LEAUES	LITTLE	TIME	FOR
21	CIUIL	RIGHTS	BILL	AND
20	SEEMS	PRETTY	CLEAR	THAT
20	GIUEN	ENOUGH	TIME	AND
20	ABOUT	SOMETH(I)NG	ELSE	THAT
19	PEOPLE	THOUGHT	THERE	WAS
18	SITT(I)NG	ACROSS	FROM	YOU
18	ABOUT	WHETHER	THERE	WAS
17	OFFER	LITTLE	MORE	THAN
17	ASCED	WHETHER	THERE	WAS
17	AFTER	SOMETH(I)NG	LICE	THIS
17	AFTER	LITTLE	MORE	THAN
16	NEUER	SHOULD	HAUE	LET
16	MORN(I)NG	EDITION	THEME	SO(I)NG
16	ENJOY	SPEND(I)NG	TIME	WITH
16	COULD	ALMOST	FEEL	HER
16	CIUIL	RIGHTS	LAWS	AND
15	SEATED	ACROSS	FROM	HIM
15	BLOOD	DRIPP(I)NG	FROM	HIS
15	AFTER	SPEND(I)NG	TIME	WITH
14	TIMES	FARTHER	AWAY	THAN
14	SEEMS	LITTLE	MORE	THAN
14	LETT(I)NG	NATURE	TACE	ITS
14	ABOUT	TWELUE	YEARS	OLD
13	MOTHER	ALWAYS	SAID	THAT
13	BLOOD	STREAM(I)NG	DOWN	HIS
13	ALLOW	ENOUGH	TIME	FOR
13	ABOUT	WHETHER	THERE	ARE
13	ABOUT	TWENTY	YEARS	OLD
13	ABOUT	SPEND(I)NG	TIME	WITH
