Count from total of 46030908 word 4-grams
155	REMOUE	FROM	OUEN	AND
118	WANTED	NOTH(I)NG	MORE	THAN
115	SPEND(I)NG	MORE	TIME	WITH
97	TURNED	AWAY	FROM	HIM
88	TURNED	AWAY	FROM	HER
87	TWENTY	YEARS	FROM	NOW
78	SHOULD	HAUE	BEEN	DO(I)NG
65	SHOULD	HAUE	TOLD	YOU
64	SHOULD	HAUE	DONE	THIS
62	ALWAYS	BEEN	THERE	FOR
61	WHETHER	THERE	WERE	ANY
61	SHOULD	MACE	SURE	THAT
61	SHOULD	HAUE	DONE	THAT
56	ALMOST	THREE	YEARS	AGO
50	COURTS	HAUE	HELD	THAT
49	PULLED	AWAY	FROM	HER
49	LOOCED	BACC	OUER	HIS
47	SHOULD	HAUE	TOLD	HIM
47	PRETTY	MUCH	WHAT	YOU
46	SPEND(I)NG	SOME	TIME	WITH
46	SHOULD	HAUE	TOLD	HER
44	ALWAYS	GOOD	SEE(I)NG	YOU
43	ALWAYS	BEEN	LICE	THAT
42	WORCED	UERY	HARD	FOR
41	SHOULD	HAUE	SAID	THAT
41	SEEMED	LICE	THERE	WAS
38	THROUGH	HARD	WORC	AND
37	WALCED	AWAY	FROM	HIS
37	SHOULD	ALSO	NOTE	THAT
37	RECENT	YEARS	THERE	HAS
37	LOOCED	AWAY	FROM	HIM
36	LOOCED	AWAY	FROM	HER
35	WALCED	AWAY	FROM	HER
35	ALMOST	FOUR	YEARS	AGO
34	MATTER	WHAT	YOUR	AGE
33	SHOULD	HAUE	SEEN	HIM
33	BECOME	NOTH(I)NG	MORE	THAN
32	SOMEONE	ONCE	SAID	THAT
32	ALWAYS	MACE	SURE	THAT
32	ALMOST	FIUE	YEARS	AGO
31	SHOULD	HAUE	BEEN	OUT
31	SHOULD	HAUE	BEEN	HIS
31	LOOCED	BACC	OUER	HER
30	WORCED	UERY	HARD	AND
30	TURNED	AWAY	FROM	THEM
30	PRETTY	MUCH	WHAT	THEY
29	ALWAYS	GREAT	SEE(I)NG	YOU
28	SHOULD	HAUE	SEEN	THAT
28	PULLED	DOWN	OUER	HIS
28	ALWAYS	BEEN	LICE	THIS
27	WALCED	AWAY	FROM	THAT
27	TURNED	AWAY	FROM	HIS
27	SHOULD	HAUE	SEEN	THIS
27	SHOULD	ALSO	CNOW	THAT
27	LITTLE	HELP	FROM	HIS
26	SOMETH(I)NG	WENT	WRO(I)NG	WITH
26	SHOULD	HAUE	SEEN	HIS
26	SHOULD	HAUE	DONE	WAS
26	SHOULD	HAUE	BEEN	EASY
26	PULLED	BACC	FROM	HER
26	PULLED	AWAY	FROM	HIM
26	ANYONE	EUER	TELL	YOU
25	WALCED	AWAY	FROM	HIM
25	STATES	HAUE	LAWS	THAT
25	SHOULD	HAUE	SEEN	HER
25	SHOULD	HAUE	BEEN	AND
25	CREDIT	CARD	DEBT	AND
25	CICCED	INTO	HIGH	GEAR
25	BILLION	YEARS	FROM	NOW
24	ROLLED	OUER	ONTO	HIS
24	LOOCED	LICE	THERE	WAS
24	BACCED	AWAY	FROM	HIS
23	LOOCED	DOWN	INTO	HER
23	BACCED	AWAY	FROM	THAT
23	AROUND	YOUR	NECC	AND
23	ANYONE	EUER	TOLD	YOU
23	ALWAYS	BEEN	MORE	THAN
22	SHOULD	HAUE	GONE	WITH
22	NOBODY	CNEW	WHAT	WAS
22	BACCED	AWAY	FROM	HIM
21	SPENDS	MORE	TIME	WITH
21	SHOULD	HAUE	SEEN	THEM
21	SHOULD	HAUE	BEEN	PUT
21	BRIGHT	BLUE	EYES	AND
20	SOMETH(I)NG	MUCH	MORE	THAN
20	SHOULD	HAUE	BEEN	ONE
20	BETTER	MACE	SURE	THAT
19	SHOULD	HAUE	BEEN	DEAD
18	WALCED	AWAY	FROM	THEM
18	SLIPP(I)NG	AWAY	FROM	HIM
18	SHOULD	HAUE	BEEN	WITH
18	OPENED	THREE	YEARS	AGO
18	MENTAL	HEALTH	CARE	FOR
18	BROCEN	DOWN	INTO	TWO
18	BECOME	MUCH	MORE	THAN
18	ACCEPT	NOTH(I)NG	LESS	THAN
17	WORCED	UERY	WELL	FOR
17	SPEND(I)NG	LESS	TIME	WITH
17	SOMETH(I)NG	UERY	WRO(I)NG	WITH
17	SHOULD	MACE	SURE	THEY
17	SHOULD	HAUE	CEPT	HIS
17	SHOULD	HAUE	BEEN	HER
17	SHOULD	HAUE	BEEN	FOR
17	SHOULD	HAUE	BEEN	ALL
17	SHOULD	CNOW	WHAT	YOU
17	PASSED	AWAY	LAST	YEAR
17	HANDED	DOWN	FROM	ONE
17	BEFORE	THERE	WERE	ANY
17	BECAME	UERY	CLEAR	THAT
