Count from total of 46030908 word 4-grams
251	BETWEEN	LIFE	AND	DEATH
153	BECAUSE	THERE	WAS	NOT
141	BECAUSE	THERE	ARE	NOT
125	PERHAPS	MORE	THAN	ANY
98	EXACTLY	WHAT	WAS	GO(I)NG
94	BETWEEN	HIGH	AND	LOW
82	PERCENT	SAID	THEY	HAD
71	EXACTLY	WHAT	SHE	WAS
65	EXACTLY	WHAT	THEY	ARE
62	MATTERS	INTO	HIS	OWN
60	BETWEEN	GOOD	AND	BAD
57	SEUERAL	YEARS	AGO	AND
57	BECAUSE	THERE	ARE	TOO
55	BETWEEN	THOSE	WHO	ARE
54	BECAUSE	THERE	ARE	NOT
52	PLASTIC	WRAP	AND	LET
51	INCLUD(I)NG	THOSE	WHO	ARE
50	EXACTLY	WHAT	THEY	DID
49	PERCENT	SAID	THAT	THEY
49	HAPPENS	WHEN	YOU	GET
49	EXPLAIN	WHAT	YOU	MEAN
47	MATTERS	INTO	HER	OWN
47	BECAUSE	THERE	WAS	NOT
43	SEUERAL	YEARS	AGO	THAT
41	PERCENT	SAID	THEY	DID
39	BECAUSE	THERE	ARE	TWO
38	PERCENT	LAST	YEAR	AND
37	WONDER(I)NG	WHAT	WAS	GO(I)NG
37	BETWEEN	THREE	AND	SIX
36	CAREFUL	WHAT	YOU	SAY
35	SOUNDED	LICE	SHE	WAS
35	EXACTLY	WHAT	YOU	MEAN
35	EXACTLY	WHAT	YOU	ARE
35	BECAUSE	THERE	HAS	NOT
34	EXACTLY	WHAT	SHE	HAD
34	BETWEEN	FOUR	AND	SIX
34	BECAUSE	WHEN	YOU	GET
34	AGAINST	THOSE	WHO	ARE
33	SCILLET	OUER	LOW	HEAT
33	REALISED	WHAT	WAS	GO(I)NG
33	BECAUSE	THERE	ARE	FEW
32	BELIEUE	WHAT	SHE	WAS
30	BETWEEN	THESE	TWO	MEN
29	BETWEEN	FIUE	AND	TEN
28	EXACTLY	WHAT	SHE	DID
27	BETWEEN	FIUE	AND	SIX
26	COUNTRY	LIU(I)NG	AND	MAY
25	BECAUSE	THERE	ARE	ALL
24	SIXTEEN	YEARS	OLD	AND
24	MARRIED	WHEN	SHE	WAS
24	EUERYTH(I)NG	ELSE	THAT	WAS
24	DESPITE	WHAT	YOU	MAY
24	BECAUSE	THERE	ARE	TH(I)NGS
23	EXPLAIN	WHAT	WAS	GO(I)NG
23	BECAUSE	WHEN	YOU	ARE
22	STARTED	HA(I)NG(I)NG	OUT	WITH
22	CWALITY	TIME	WITH	HER
21	SEUERAL	YEARS	AGO	WITH
21	HERSELF	WHEN	SHE	WAS
21	FIFTEEN	YEARS	OLD	AND
21	BECAUSE	ONCE	YOU	GET
20	TONIGHT	SHOW	WITH	JAY
20	INCLUD(I)NG	SOME	THAT	ARE
20	ILLICIT	DRUG	USE	AND
20	HUNDRED	YEARS	AGO	AND
20	EXACTLY	WHAT	YOU	DID
20	EXACTLY	WHAT	THEY	HAD
20	DOCTORS	TOLD	HER	SHE
20	DEPENDS	WHAT	YOU	MEAN
20	CONTROL	OUER	OUR	OWN
20	BLANCET	OUER	HER	HEAD
20	BELIEUE	WHAT	YOU	READ
20	ALTHOUGH	THERE	ARE	FEW
19	WONDER(I)NG	WHAT	SHE	WAS
18	THIRTEEN	YEARS	OLD	AND
18	STARTED	WHEN	SHE	WAS
18	MATTERS	INTO	ITS	OWN
18	BETWEEN	THOSE	WHO	HAD
18	BETWEEN	DRUG	USE	AND
17	STORIES	LICE	THIS	ONE
17	PROBLEM	ONCE	AND	FOR
17	HUSBAND	LOST	HIS	JOB
17	HUNDRED	YEARS	OLD	AND
17	GLANCED	BACC	AND	SAW
17	BETWEEN	PEACE	AND	WAR
17	BECAUSE	WHEN	YOU	SEE
17	BECAUSE	THERE	WAS	THIS
17	ADAPTED	FROM	HIS	NEW
16	STEPPED	BACC	AND	LET
16	SEUERAL	YEARS	AGO	FOR
16	RETIRED	FROM	HIS	JOB
16	PLASTIC	WRAP	AND	SET
16	INCLUDE	MORE	THAN	ONE
16	HUNDRED	YEARS	AGO	THIS
