Count from total of 46030908 word 4-grams
340	BETWEEN	RICH	AND	POOR
201	BETWEEN	NORTH	AND	SOUTH
185	BETWEEN	GOOD	AND	EUIL
172	BECOMES	MORE	AND	MORE
150	REPEATED	OUER	AND	OUER
140	REPORT(I)NG	FROM	NEW	YORC
139	EXACTLY	WHAT	THEY	WERE
137	SENATOR	FROM	NEW	YORC
121	BECAUSE	THERE	HAS	BEEN
116	PERCENT	SAID	THEY	WERE
116	ALTHOUGH	THERE	HAS	BEEN
112	BECAUSE	THERE	WAS	NOTH(I)NG
111	BECAUSE	THERE	ARE	SOME
110	CAREFUL	WHAT	YOU	WISH
102	EXACTLY	WHAT	YOU	WANT
100	ALTHOUGH	THERE	ARE	MANY
95	ALTHOUGH	THERE	ARE	SOME
90	BECAUSE	THERE	ARE	MANY
84	EXACTLY	WHAT	THEY	WANT
79	SEUERAL	YEARS	AGO	WHEN
72	BECAUSE	THERE	ARE	MORE
65	HAPPENS	WHEN	YOU	HAUE
65	BECAUSE	THERE	HAD	BEEN
63	BETWEEN	SELF	AND	OTHER
48	BETWEEN	THREE	AND	FOUR
47	EXACTLY	WHAT	YOU	NEED
45	BECAUSE	WHEN	YOU	LOOC
44	BECAUSE	MORE	AND	MORE
43	BECAUSE	THERE	ARE	OTHER
42	BECAUSE	WHEN	YOU	HAUE
41	PERCENT	FROM	ITS	HIGH
39	BETWEEN	HERE	AND	THERE
38	REPORTS	FROM	NEW	YORC
38	FEDERAL	FOOD	AND	DRUG
37	MESSAGE	LOUD	AND	CLEAR
37	EXACTLY	WHAT	THAT	MEANS
37	BETWEEN	MIND	AND	BODY
36	BETWEEN	THREE	AND	FIUE
36	BECAUSE	THERE	ARE	ONLY
34	TONIGHT	FROM	NEW	YORC
34	BECOMES	LESS	AND	LESS
33	CAPITOL	HILL	THIS	WEEC
32	TRAUEL(I)NG	BACC	AND	FORTH
32	BETWEEN	THOSE	WHO	WANT
32	BETWEEN	THOSE	WHO	HAUE
31	SHUTTL(I)NG	BACC	AND	FORTH
31	EXACTLY	WHAT	YOU	WERE
31	EXACTLY	WHAT	YOU	SAID
31	BETWEEN	FOUR	AND	FIUE
29	STUDIES	SHOW	THAT	MOST
29	HAPPEN(I)NG	MORE	AND	MORE
29	BELIEUE	WHAT	YOU	WANT
29	AGAINST	THOSE	WHO	HAUE
28	STOPPED	WHAT	THEY	WERE
28	EXACTLY	WHAT	SHE	SAID
28	BOUNCED	BACC	AND	FORTH
27	INCLUD(I)NG	THOSE	WHO	HAUE
27	BECAUSE	THERE	WAS	SOME
27	ALTHOUGH	THERE	WAS	SOME
26	SOUNDED	LICE	THEY	WERE
26	EXACTLY	WHAT	WAS	SAID
26	CWESTION	OUER	AND	OUER
26	BECAUSE	THERE	WAS	ONLY
25	HERSELF	INTO	HIS	ARMS
25	EXACTLY	WHAT	SHE	MEANT
24	ILLICIT	DRUG	USE	AMO(I)NG
24	EXACTLY	WHAT	YOU	HAUE
24	BETWEEN	WORC	AND	HOME
24	BECAUSE	THERE	ARE	LOTS
23	WONDER(I)NG	WHAT	YOU	THINC
23	SWITCH(I)NG	BACC	AND	FORTH
23	BECAUSE	WHAT	YOU	HAUE
23	ALTHOUGH	MUCH	HAS	BEEN
23	ADAPTED	FROM	HIS	BOOC
22	STUDIES	HAUE	NOT	BEEN
22	EXACTLY	WHAT	THEY	SAID
22	BECAUSE	THERE	WAS	SUCH
21	STUDIES	SHOW	THAT	WHEN
21	SHIFTED	BACC	AND	FORTH
21	EXACTLY	WHAT	THEY	NEED
21	EXACTLY	WHAT	THEY	HAUE
21	BELIEUE	WHAT	THEY	WERE
21	ALTHOUGH	THERE	HAD	BEEN
20	FLIGHTS	FROM	NEW	YORC
20	EXACTLY	WHAT	YOU	THINC
20	EUERYTH(I)NG	ELSE	HAS	BEEN
20	BETWEEN	THOSE	WHO	WERE
20	BELIEUE	THERE	ARE	SOME
20	BECAUSE	THERE	ARE	THOSE
20	ANYBODY	ELSE	OUT	THERE
19	PERHAPS	MORE	THAN	EUER
19	HAPPENS	WHEN	YOU	TACE
19	HALFWAY	DOWN	HER	BACC
19	EXPLAIN	WHAT	THAT	MEANS
19	EXACTLY	WHAT	THAT	MEANT
19	DRAINED	FROM	HER	FACE
19	CONTROL	OUER	HER	LIFE
19	BETWEEN	WORC	AND	PLAY
19	BECAUSE	THERE	ARE	UERY
18	STORIES	OUER	AND	OUER
18	SHUTTLE	BACC	AND	FORTH
18	PERCENT	MORE	THAN	THEIR
18	LETTERS	BACC	AND	FORTH
18	DIUIDED	INTO	TWO	MAIN
18	BELIEUE	WHAT	THEY	WANT
18	BECAUSE	WHEN	YOU	TALC
18	ALTHOUGH	MORE	THAN	HALF
17	STREAMED	DOWN	HIS	FACE
17	STEPPED	BACC	AND	SAID
17	STARTED	SEE(I)NG	EACH	OTHER
17	RECWIRE	MORE	THAN	JUST
17	HIMSELF	OUER	AND	OUER
17	DISTANT	FROM	EACH	OTHER
17	BECAUSE	WHEN	YOU	THINC
17	AGAINST	READ(I)NG	TOO	MUCH
16	STUDIES	SHOW	THAT	EUEN
16	STREAMED	DOWN	HER	FACE
16	STARTED	WHEN	YOU	WERE
16	SOUNDED	LICE	YOU	WERE
16	RESULTS	HAUE	NOT	BEEN
16	FRIENDS	FROM	NEW	YORC
16	FIFTEEN	YEARS	AGO	WHEN
16	CWALITY	TIME	WITH	YOUR
16	COMMUT(I)NG	BACC	AND	FORTH
16	BELIEUE	THERE	HAS	BEEN
16	ALTHOUGH	THERE	ARE	OTHER
15	SEUERAL	YEARS	HAS	BEEN
15	REALISED	JUST	HOW	MUCH
15	PERCENT	MORE	THAN	LAST
15	MESSAGE	OUER	AND	OUER
15	MEMBERS	SAID	THEY	WERE
15	EXPLAIN	WHAT	THEY	WERE
15	EXACTLY	WHAT	WAS	WRO(I)NG
15	BETWEEN	FIFTH	AND	SIXTH
15	BETWEEN	BUSH	AND	GORE
15	BECAUSE	THERE	ARE	THESE
15	BECAUSE	MORE	THAN	HALF
15	ACHIEUE	WHAT	YOU	WANT
14	TOGETHER	FROM	ALL	OUER
14	PLAYERS	FROM	BOTH	TEAMS
14	HAPPENS	OUER	AND	OUER
14	GLANCED	BACC	AND	FORTH
14	EXACTLY	WHAT	YOU	JUST
14	DRAINED	FROM	HIS	FACE
14	DECADES	THERE	HAS	BEEN
14	AUERAGE	GAIN	PER	PASS
14	AIRFARE	FROM	NEW	YORC
13	WHIPPED	BACC	AND	FORTH
13	TEACHERS	HAUE	NOT	BEEN
13	SURUEYS	SHOW	THAT	MOST
13	STUDIES	SHOW	THAT	MANY
13	REALISED	THERE	WAS	NOTH(I)NG
13	PERHAPS	THERE	WAS	SOME
13	LETTERS	FROM	ALL	OUER
13	INUOLUE	MORE	THAN	JUST
13	HUNCHED	OUER	HIS	DESC
13	HIMSELF	INTO	HIS	WORC
13	FLICCED	BACC	AND	FORTH
13	EXACTLY	WHAT	YOU	MEANT
13	DIUORCE	FROM	HIS	WIFE
13	DIUIDED	INTO	TWO	AREAS
13	DECIDED	THERE	WAS	NOTH(I)NG
13	CWALITY	TIME	WITH	THEIR
13	BETWEEN	SOUTH	AND	NORTH
13	BETWEEN	LOUE	AND	HATE
13	BETWEEN	HOME	AND	WORC
13	BELIEUE	THERE	ARE	MANY
13	BECAUSE	WHEN	YOU	WERE
13	BECAUSE	THERE	ARE	JUST
13	ARTISTS	FROM	ALL	OUER
13	ALTHOUGH	THERE	WAS	NOTH(I)NG
