Count from total of 46030908 word 4-grams
110	SAUCEPAN	OUER	LOW	HEAT
92	OFFICIOLS	SAID	THEY	HAD
49	UANISHED	INTO	THIN	AIR
49	DIUORCED	WHEN	SHE	WAS
44	OFFICIOLS	SAID	THEY	ARE
40	PROBABLY	MORE	THAN	ANY
39	OPPOSITE	PAGE	TOP	AND
35	REPORTED	LAST	YEAR	THAT
31	WONDERED	WHAT	SHE	WAS
30	SLIGHTLY	MORE	THAN	ONE
25	OFFICIOLS	SAID	THAT	THEY
22	HAPPENED	WHEN	SHE	WAS
22	DAUGHTER	WHEN	SHE	WAS
21	SURUEYED	SAID	THEY	HAD
20	PROGRAMS	LICE	THIS	ONE
20	HAPPENED	WHEN	YOU	GOT
20	EIGHTEEN	YEARS	OLD	AND
19	WONDERED	WHAT	WAS	GO(I)NG
19	SLIGHTLY	MORE	THAN	TWO
19	OFFICIOLS	SAID	THEY	DID
19	OFFICIOLS	HERE	SAY	THEY
18	FOURTEEN	YEARS	OLD	AND
18	CHILDREN	WHEN	THEY	ARE
17	DESCRIBE	WHAT	YOU	SEE
17	ACTUALLY	COME	OUT	AND
16	STUDENTS	WHEN	THEY	ARE
16	STUDENTS	SAID	THAT	THEY
16	STUDENTS	CNOW	AND	CAN
15	STUDENTS	SAID	THEY	HAD
15	STUDENTS	FELT	THAT	THEY
15	STUDENTS	CNOW	THAT	THEY
15	SLIGHTLY	LESS	THAN	THAT
15	SITUATION	LICE	THIS	AND
15	REMEMBER	WHEN	SHE	WAS
15	REMEMBER	WHAT	THEY	DID
15	REMEMBER	WHAT	SHE	WAS
15	OFFICIOLS	HERE	SAY	THAT
15	HONESTLY	TELL	YOU	THAT
15	DISAPPEAR	INTO	THIN	AIR
15	CONCLUDE	FROM	THIS	THAT
15	ANYWHERE	ELSE	FOR	THAT
15	ACTUALLY	WENT	OUT	AND
15	ACTUALLY	GOOD	FOR	YOU
14	SUDDENLY	THERE	WAS	THIS
14	REPORTED	MORE	THAN	ONE
14	REMEMBER	WHEN	SHE	HAD
14	PRESSURE	FROM	HIS	OWN
14	MEDICAID	WILL	PAY	FOR
13	SOMEBODY	ELSE	WHO	HAS
13	REMEMBER	WHAT	WAS	GO(I)NG
13	HANDSOME	YOU(I)NG	MAN	WITH
13	EUERYONE	ELSE	WHO	HAS
13	CHILDREN	WILL	ONE	DAY
