Count from total of 16451820 word 5-grams
29	I	OWE	YOU	AN	APOLOGY
21	I	WAS	OUT	OF	CONTROL
19	I	WAS	GO(I)NG	TO	SUGGEST
18	I	GOT	OUT	OF	COLLEGE
15	I	SAY	THAT	IS	BECAUSE
14	I	WAS	LED	TO	BELIEUE
14	I	WAS	GO(I)NG	TO	COLLEGE
12	I	BR(I)NG	THIS	UP	BECAUSE
12	A	FEE	MAY	BE	CHARGED
12	A	BIT	OUT	OF	CONTROL
8	I	CAN	SEE	IT	HAPPEN(I)NG
8	A	NEW	AREA	OF	RESEARCH
7	I	WAS	NOT	IN	CONTROL
7	I	SET	OUT	TO	EXPLORE
7	I	HAD	WON	THE	LOTTERY
7	I	CAN	NOT	BE	CERTAIN
7	A	YEAR	FOR	THE	AUERAGE
6	I	WAS	NOT	IN	CONTROL
6	I	WAS	GO(I)NG	TO	SURUIUE
6	I	WAS	GO(I)NG	TO	EXPLODE
6	A	WAY	THAT	IS	MEAN(I)NGFUL
6	A	WAY	OUT	OF	POUERTY
6	A	RUN	FOR	THE	NATIONAL
6	A	PATH	OUT	OF	POUERTY
6	A	DAY	OFF	IN	BETWEEN
