Count from total of 16451820 word 5-grams
23	AT	NEW	YORC	UNIUERSITY	AND
22	IT	HAS	BEEN	DETERMINED	THAT
17	IT	HAS	BEEN	SPECULATED	THAT
14	IT	HAS	BEEN	DOCUMENTED	THAT
12	IT	HAS	BEEN	RECOGNISED	THAT
12	IT	HAS	BEEN	CALCULATED	THAT
12	HE	WAS	WELL	ACCWAINTED	WITH
12	HE	HAS	BEEN	CRITICISED	FOR
9	IT	HAS	BEEN	POSTULATED	THAT
9	IT	HAS	BEEN	DISCOUERED	THAT
7	TO	HEAR	YOUR	SUGGESTIONS	AND
7	TO	GET	MORE	INFORMATION	AND
7	IT	HAD	BEEN	DETERMINED	THAT
7	IS	NOT	ONLY	COMPATIBLE	WITH
7	DO	NOT	HAUE	CONFIDENCE	THAT
6	IT	WAS	SOON	DISCOUERED	THAT
6	IT	WAS	ALSO	DISCOUERED	THAT
6	IT	HAS	BEEN	CRITICISED	FOR
6	DO	YOU	HAUE	CONFIDENCE	THAT
6	DO	NOT	EUEN	UNDERSTAND	HOW
