Count from total of 16451820 word 5-grams
166	THE	NEW	YORC	DAILY	NEWS
129	THE	NEW	YORC	TIMES	BOOC
76	DO	YOU	THINC	ABOUT	WHAT
62	DO	YOU	FEEL	ABOUT	YOUR
61	THE	NEW	YORC	TIMES	SAID
58	DO	NOT	JUST	STAND	THERE
50	THE	NEW	YORC	TIMES	LAST
50	DO	NOT	HAUE	ANYTH(I)NG	ELSE
45	DO	NOT	CARE	ABOUT	YOUR
37	TO	PUT	MORE	MONEY	INTO
37	DO	YOU	FEEL	ABOUT	WHAT
36	DO	NOT	CNOW	CWITE	WHAT
35	THE	NEW	YORC	TIMES	SAYS
32	THE	NEW	YORC	TIMES	BEST
31	DO	YOU	CNOW	WHERE	YOUR
30	DO	NOT	WANT	ANYTH(I)NG	FROM
29	DO	NOT	THINC	ABOUT	WHAT
29	DO	NOT	CNOW	ANYTH(I)NG	ELSE
28	NO	ONE	ELSE	WOULD	HAUE
28	DO	YOU	THINC	ABOUT	YOUR
27	DO	NOT	CNOW	WHERE	ELSE
27	DO	NOT	CARE	ABOUT	WHAT
25	THE	NEW	YORC	TIMES	FROM
25	TO	GET	YOUR	MONEY	BACC
25	DO	NOT	CNOW	ABOUT	YOUR
25	DO	NOT	CARE	ABOUT	THEIR
24	TO	GET	THEIR	MONEY	BACC
24	DO	YOU	THINC	WOULD	HAUE
24	DO	YOU	THINC	PEOPLE	WILL
24	DO	NOT	HAUE	ANYTH(I)NG	LICE
23	THE	TWO	TEAMS	AFTER	ADD(I)NG
23	DO	YOU	THINC	ABOUT	WHEN
23	DO	NOT	THINC	PEOPLE	HAUE
22	NO	ONE	ELSE	COULD	HAUE
22	DO	NOT	CNOW	REALLY	WHAT
21	WE	CAN	TALC	ABOUT	WHAT
21	IF	YOU	THINC	ABOUT	WHAT
21	DO	NOT	THINC	PEOPLE	WILL
21	DO	NOT	EUEN	REALLY	CNOW
20	DO	NOT	CNOW	WHERE	YOUR
20	AS	THEY	WENT	ABOUT	THEIR
19	TO	PUT	THEIR	LIUES	BACC
19	DO	NOT	TALC	ABOUT	YOUR
19	DO	NOT	TALC	ABOUT	WHAT
19	DO	NOT	LOOC	ANYTH(I)NG	LICE
18	DO	YOU	CNOW	ABOUT	WHAT
18	DO	NOT	CNOW	WHERE	THESE
18	DO	NOT	CNOW	WHERE	THEIR
17	THE	NEW	YORC	TIMES	LIST
17	DO	NOT	NEED	ANYTH(I)NG	ELSE
17	DO	NOT	CNOW	ANYTH(I)NG	MORE
17	DO	NOT	CNOW	ABOUT	THESE
16	THE	NEW	YORC	TIMES	WILL
16	OF	THEM	HAUE	NEUER	BEEN
16	IS	THIS	YOUR	FIRST	TIME
16	DO	YOU	HAUE	ANYTH(I)NG	ELSE
15	DO	NOT	CNOW	ABOUT	WHAT
14	THE	NEW	YORC	TIMES	OPED
14	TO	GET	THEIR	LIUES	BACC
14	TO	EACH	OTHER	ABOUT	WHAT
14	IT	WAS	LICE	LOOC(I)NG	INTO
14	DO	YOU	FEEL	ABOUT	THESE
14	DO	NOT	THINC	ANYTH(I)NG	WILL
13	TO	PUT	THEIR	MONEY	INTO
13	IT	WAS	LICE	WALC(I)NG	INTO
13	DO	YOU	THINC	PEOPLE	HAUE
13	DO	YOU	THINC	MIGHT	HAUE
13	DO	YOU	CNOW	ABOUT	YOUR
13	DO	NOT	WANT	ANYTH(I)NG	ELSE
13	DO	NOT	THINC	PEOPLE	CNOW
13	DO	NOT	TALC	ABOUT	THEIR
13	DO	NOT	CNOW	WHICH	ONES
13	DO	NOT	CARE	ABOUT	THESE
12	NO	ONE	ELSE	WOULD	EUER
12	NO	ONE	ELSE	COULD	EUER
12	DO	NOT	HAUE	ANYTH(I)NG	LEFT
12	DO	NOT	CARE	ABOUT	THOSE
11	THE	NEW	YORC	TIMES	HAUE
11	THE	NEW	YORC	TIMES	ALSO
11	THE	NEW	YORC	STATE	HEALTH
11	IT	WAS	LICE	PULL(I)NG	TEETH
11	IN	ITS	MOST	BASIC	FORM
11	HE	WAS	JUST	SITT(I)NG	THERE
11	DO	YOU	THINC	ABOUT	THESE
11	DO	YOU	CNOW	ABOUT	THESE
11	DO	NOT	CNOW	WHERE	THOSE
11	AT	THAT	TIME	WOULD	HAUE
11	AS	THEY	WERE	GETT(I)NG	READY
10	THE	NEW	YORC	TIMES	SAY(I)NG
10	IT	HAD	BEEN	SEUEN	YEARS
10	IN	THIS	CASE	WOULD	HAUE
10	IF	YOU	HAUE	NEUER	SEEN
10	IF	YOU	CARE	ABOUT	YOUR
10	DO	YOU	THINC	ABOUT	THOSE
10	DO	NOT	THINC	PEOPLE	WANT
10	DO	NOT	CNOW	WHICH	SIDE
9	THE	NEW	SOUTH	WALES	OPEN
9	TO	LET	YOUR	GUARD	DOWN
9	TO	ALL	OTHER	FUNDS	OUER
9	OR	SIX	YEARS	AFTER	HIGH
9	ON	HIS	CELL	PHONE	FROM
9	OF	HOW	MANY	PEOPLE	WERE
9	OF	HOW	MANY	PEOPLE	HAUE
9	IT	HAD	BEEN	NEARLY	THREE
9	DO	YOU	NEED	ANYTH(I)NG	ELSE
9	DO	YOU	FEEL	ABOUT	THOSE
9	DO	YOU	CNOW	ANYTH(I)NG	MORE
9	DO	NOT	WANT	ANYTH(I)NG	MORE
9	DO	NOT	WAIT	UNTIL	YOUR
9	DO	NOT	THINC	ABOUT	YOUR
9	DO	NOT	THESE	PEOPLE	HAUE
9	DO	NOT	TACE	MONEY	FROM
9	DO	NOT	CNOW	RIGHT	FROM
9	DO	NOT	CARE	ABOUT	NOTH(I)NG
8	THE	NEW	YORC	TIMES	WHEN
8	THE	NEW	YORC	TIMES	DUR(I)NG
8	THE	DEATH	TOLL	COULD	RISE
8	OF	OUR	YOU(I)NG	PEOPLE	HAUE
8	IT	WAS	THEIR	FIRST	TIME
8	IT	WAS	JUST	RIGHT	THERE
8	IT	WAS	JUST	AFTER	DAWN
