Count from total of 16451820 word 5-grams
180	IT	GOES	WITHOUT	SAY(I)NG	THAT
83	IT	HAS	BECOME	CLEAR	THAT
52	IT	WAS	LITTLE	MORE	THAN
34	IT	HAD	BECOME	CLEAR	THAT
32	IT	GOES	SOMETH(I)NG	LICE	THIS
29	IT	WAS	PRETTY	CLEAR	THAT
28	TO	SAY	SOMETH(I)NG	LICE	THAT
27	AS	THEY	WORCED	THEIR	WAY
26	DO	YOU	REALISE	WHAT	YOU
25	HE	WAS	TWELUE	YEARS	OLD
24	IT	WAS	BECOM(I)NG	CLEAR	THAT
20	TO	SEE	WHETHER	THERE	WAS
20	TO	SEE	SOMETH(I)NG	LICE	THAT
18	TO	LET	NATURE	TACE	ITS
17	HE	WAS	ALWAYS	THERE	FOR
16	IT	WAS	ALMOST	TIME	FOR
16	DO	NOT	ALWAYS	WORC	OUT
15	OF	DO(I)NG	SOMETH(I)NG	LICE	THAT
14	IT	WAS	SOMETH(I)NG	LICE	THAT
14	IT	WAS	ALMOST	LICE	BE(I)NG
14	IT	HAD	ALWAYS	BEEN	THAT
14	DO	NOT	ALWAYS	CNOW	HOW
13	UP	WITH	SOMETH(I)NG	LICE	THIS
13	THE	TWO	GROUPS	WERE	NOT
13	THE	MAN	ACROSS	FROM	HER
13	TO	SEE	SOMETH(I)NG	LICE	THIS
13	OF	THEM	LOOCED	LICE	THEY
13	IT	WAS	TWENTY	YEARS	AGO
13	IT	WAS	SIGNED	INTO	LAW
13	DO	NOT	REALISE	WHAT	THEY
12	IT	WAS	ALMOST	LICE	THEY
12	IT	WAS	ALMOST	LICE	SHE
12	HE	SAT	ACROSS	FROM	HER
12	HE	HAD	LEARNED	FROM	HIS
11	THE	SEAT	ACROSS	FROM	HER
11	TO	SEE	WHETHER	THERE	ARE
11	IT	HAS	BECOME	MORE	AND
11	HE	WAS	TWENTY	YEARS	OLD
11	HE	WAS	PASSED	OUER	FOR
10	THE	SEAT	ACROSS	FROM	HIM
10	TO	LET	SLEEP(I)NG	DOGS	LIE
10	OF	DO(I)NG	SOMETH(I)NG	LICE	THIS
10	IT	WAS	ALWAYS	LICE	THIS
10	IT	WAS	ALWAYS	LICE	THAT
10	IT	HAS	ALWAYS	BEEN	THAT
10	IS	NOT	ALWAYS	WHAT	YOU
10	HE	WAS	PRETTY	SURE	THAT
10	HE	WAS	ELEUEN	YEARS	OLD
10	DO	YOU	REALISE	WHAT	THIS
9	THE	OLD	SOUIET	UNION	AND
9	IT	HAS	ALWAYS	BEEN	THIS
9	DO	NOT	REALISE	WHAT	YOU
8	TO	SIT	AROUND	HERE	AND
8	TO	SAY	SOMETH(I)NG	ELSE	BUT
8	IT	WAS	SOMETH(I)NG	MORE	THAN
8	IT	WAS	ALMOST	MORE	THAN
8	IS	NOW	LITTLE	MORE	THAN
8	IS	NOT	ENOUGH	TIME	FOR
8	IN	NEW	JERSEY	LAST	YEAR
8	HE	WAS	LITTLE	MORE	THAN
8	HE	HAS	LEARNED	FROM	HIS
8	HE	HAD	STOLEN	FROM	HIS
8	HE	HAD	LITTLE	TIME	FOR
8	HE	DID	SOMETH(I)NG	LICE	THAT
8	DO	YOU	RECALL	WHAT	YOU
8	DO	NOT	REALISE	JUST	HOW
8	DO	NOT	ALREADY	HAUE	ONE
8	AS	SHE	REACHED	INTO	HER
7	UP	WITH	SOMETH(I)NG	LICE	THAT
7	TH(I)NG	YOU	NOTICE	WHEN	YOU
7	THE	NEW	JERSEY	NETS	AND
7	TO	SIT	ACROSS	FROM	HIM
7	TO	SAY	SOMETH(I)NG	LICE	THIS
7	TO	HEAR	SOMETH(I)NG	LICE	THAT
7	TO	GET	SOMETH(I)NG	DONE	FOR
7	IT	WAS	SOMETH(I)NG	ELSE	THAT
7	IT	WAS	ALMOST	DARC	AND
7	IS	NOT	ALWAYS	WHAT	YOU
7	HE	WAS	TURNED	DOWN	FOR
7	HE	WAS	SPEND(I)NG	TIME	WITH
7	HE	HAD	GOTTEN	AWAY	WITH
7	AT	THAT	MOMENT	WHEN	YOU
7	AN	OLD	FRIEND	FROM	HIS
6	WE	SEE	SOMETH(I)NG	LICE	THIS
6	WE	SAT	ACROSS	FROM	EACH
6	THE	MAN	ACROSS	FROM	HIM
6	TO	GET	SOMETH(I)NG	LICE	THIS
6	OF	THEM	LITTLE	MORE	THAN
6	OF	HIS	FORMER	WIFE	AND
6	IT	WAS	SOMETH(I)NG	LICE	THIS
6	IT	WAS	OBUIOUS	THERE	WAS
6	IT	WAS	BECOM(I)NG	MORE	AND
6	IT	WAS	BARELY	MORE	THAN
6	IT	WAS	ALREADY	CLEAR	THAT
6	IT	HAD	ALWAYS	BEEN	HER
6	IF	YOU	THOUGHT	THERE	WAS
6	HE	WAS	PULLED	OUER	FOR
6	HE	HAS	RAISED	MORE	THAN
6	HE	CAN	BARELY	MACE	OUT
6	DO	YOU	EXPECT	WHEN	YOU
6	DO	YOU	DECIDE	WHAT	YOU
6	DO	NOT	REALISE	THERE	ARE
6	DO	NOT	ALWAYS	TURN	OUT
6	BE	DO(I)NG	SOMETH(I)NG	LICE	THIS
6	AS	SHE	WALCED	PAST	THEM
