Count from total of 16451820 word 5-grams
56	HE	PUTS	HIS	ARM	AROUND
52	IT	JUST	DOES	NOT	HAPPEN
42	HE	MADE	HIS	WAY	THROUGH
39	IT	JUST	DID	NOT	HAPPEN
36	WE	THANC	YOU	FOR	WATCH(I)NG
28	AT	HOME	WITH	HIS	FAMILY
27	AT	ODDS	WITH	ONE	ANOTHER
25	IF	THERE	WAS	ANY	CHANCE
24	TO	MACE	HIS	WAY	THROUGH
22	TO	WORC	ITS	WAY	THROUGH
21	HE	TOOC	OFF	HIS	JACCET
21	HE	MADE	HIS	WAY	TOWARD
20	TO	FIND	OUT	FOR	MYSELF
20	ON	MORE	THAN	ONE	FACTOR
20	OF	MORE	THAN	ONE	MILLION
19	THE	MORE	THAN	ONE	MILLION
18	IT	JUST	DOES	NOT	MATTER
17	THE	BABY	SHE	WAS	CARRY(I)NG
17	TO	TACE	OFF	HER	CLOTHES
17	HE	TOOC	OFF	HIS	CLOTHES
16	TO	WORC	HIS	WAY	THROUGH
16	ON	TRIOL	FOR	WAR	CRIMES
16	BY	MORE	THAN	ONE	PERSON
16	BE	BACC	WITH	OUR	GUESTS
15	THE	ONLY	ONE	WHO	THOUGHT
15	TO	LIUE	WITH	HIS	FAMILY
15	SO	MUCH	FOR	THAT	REPORT
15	OF	WHAT	WAS	THEN	CALLED
15	NO	MORE	THAN	SIX	INCHES
14	WE	MADE	OUR	WAY	THROUGH
14	TO	THOSE	WHO	CAN	AFFORD
14	TO	THANC	ALL	OUR	GUESTS
14	TO	FIND	OUT	WHO	CILLED
14	OF	MORE	THAN	TWO	MILLION
14	IT	JUST	WAS	NOT	ENOUGH
14	IF	THERE	ARE	NOT	ENOUGH
13	TO	WORC	WITH	OUR	ALLIES
13	TO	WORC	OUR	WAY	THROUGH
13	TO	HELP	YOU	GET	THROUGH
13	NO	MORE	THAN	TWO	INCHES
12	THE	ONLY	ONE	WHO	SEEMED
12	TO	WORC	WITH	ONE	ANOTHER
12	TO	WORC	HER	WAY	THROUGH
12	HE	MADE	HIS	WAY	ACROSS
12	AT	HOME	WITH	HER	FAMILY
11	WE	HAUE	NOT	HAD	ENOUGH
11	THE	TIME	THAT	HAS	PASSED
11	TO	WAIT	AND	SEE	WHETHER
11	TO	TALC	WITH	ONE	ANOTHER
11	TO	MORE	THAN	ONE	MILLION
11	TO	HELP	THEM	GET	THROUGH
11	OF	MORE	THAN	ONE	PERSON
11	ME	JUST	ASC	YOU	SOMETH(I)NG
11	IT	JUST	DID	NOT	MATTER
11	IN	WHAT	WAS	THEN	CALLED
11	IN	LESS	THAN	ONE	MINUTE
11	IN	CASE	THEY	ARE	NEEDED
