Count from total of 16451820 word 5-grams
182	DO	MORE	HARM	THAN	GOOD
178	TO	MACE	SURE	THAT	THERE
129	THE	LAST	TIME	YOU	WERE
126	TO	CNOW	WHAT	YOU	THINC
99	TO	MACE	SURE	THEY	WERE
92	US	CNOW	WHAT	YOU	THINC
88	TO	MACE	SURE	YOU	HAUE
84	TO	MACE	SURE	THEY	HAUE
81	ON	YOUR	BACC	WITH	YOUR
75	TO	MACE	SURE	THAT	THEIR
70	TO	MACE	SURE	THAT	YOUR
70	TO	COME	BACC	AND	TALC
63	TO	MACE	SURE	THAT	WHEN
61	TO	MACE	SURE	THAT	THESE
55	TO	MACE	SURE	THAT	THOSE
53	THE	HELL	HAUE	YOU	BEEN
53	TO	LEARN	FROM	EACH	OTHER
52	THE	LAST	TIME	YOU	HEARD
40	THE	SAME	TIME	THEY	WERE
38	THE	SWEAT	FROM	HIS	BROW
38	TO	CNOW	WHAT	THEY	WERE
36	THE	LAST	TIME	THEY	WERE
36	TO	MACE	ROOM	FOR	MORE
35	THE	ONLY	ONES	WHO	HAUE
34	TO	MACE	SURE	THAT	WHAT
34	TO	MACE	SURE	THAT	NOTH(I)NG
33	TO	MACE	SURE	YOU	WERE
33	TO	HAUE	MORE	AND	MORE
33	OF	WHAT	LIFE	WAS	LICE
33	IS	MUCH	MORE	THAN	JUST
33	AS	THEIR	DEATHS	ARE	MADE
30	THE	SWEAT	FROM	HIS	FACE
28	TO	MOUE	BACC	AND	FORTH
27	TO	STEP	BACC	AND	TACE
27	TO	FIND	THEIR	WAY	INTO
27	IT	WILL	MACE	YOU	FEEL
26	THE	LAST	TIME	YOU	WENT
26	TO	STAY	HOME	WITH	THEIR
26	TO	LOOC	MORE	AND	MORE
26	HE	SAID	OUER	AND	OUER
25	WE	WILL	TELL	YOU	WHAT
25	WE	ALSO	CNOW	THAT	THERE
25	TO	CNOW	WHAT	YOU	WANT
25	HE	CNEW	WHAT	THEY	WERE
24	TO	TACE	TIME	OFF	FROM
24	NO	TRIOL	DATE	HAS	BEEN
22	WE	WERE	TOLD	THAT	THERE
22	TO	COME	BACC	AND	TACE
22	SO	WHAT	HAUE	YOU	BEEN
22	SO	MUCH	MORE	THAN	JUST
22	HE	CNEW	WHAT	WAS	COM(I)NG
21	THE	NEXT	TIME	YOU	WANT
21	TO	STEP	BACC	AND	LOOC
21	TO	COME	BACC	AND	PLAY
20	WE	WILL	FIND	OUT	WHAT
20	THE	TIME	WHEN	THEY	WERE
20	THE	TEARS	FROM	HER	EYES
20	IF	THERE	WERE	ANY	OTHER
20	AT	YOUR	BECC	AND	CALL
19	WE	WENT	BACC	AND	FORTH
19	US	LIUE	FROM	NEW	YORC
19	THE	ONLY	ONES	WHO	CNOW
19	TO	GROW	THEIR	OWN	FOOD
19	IN	LATE	SPR(I)NG	AND	EARLY
18	THE	BALL	BACC	AND	FORTH
18	TO	LOOC	INTO	HIS	EYES
18	TO	CEEP	BODY	AND	SOUL
18	HE	CAME	BACC	AND	SAID
18	BE	THERE	WHEN	YOU	NEED
17	WE	HAUE	MORE	AND	MORE
17	THE	TEARS	FROM	HIS	EYES
17	THE	OTHER	HAND	YOU	HAUE
17	THE	NEXT	TIME	YOU	HAUE
17	THE	MOST	PART	THEY	WERE
17	ME	JUST	TELL	YOU	WHAT
16	TO	MACE	SURE	YOU	CNOW
16	OR	MORE	DAYS	PER	WEEC
16	ME	CNOW	WHAT	YOU	THINC
15	WE	JUST	HAUE	NOT	SEEN
15	WE	JUST	HAUE	NOT	BEEN
15	THE	TIME	WHEN	YOU	WERE
15	THE	TEARS	FROM	HER	FACE
15	THE	SAME	TIME	YOU	HAUE
15	THE	OTHER	SIDE	ARE	THOSE
15	THE	NEXT	TIME	YOU	NEED
15	TO	GIUE	AWAY	TOO	MUCH
15	TO	FIND	THEIR	WAY	BACC
15	TO	CNOW	WHAT	THAT	MEANS
15	IS	JUST	LICE	ANY	OTHER
15	IS	AMO(I)NG	THOSE	WHO	HAUE
15	HE	MUST	HAUE	HAD	SOME
14	WE	HAUE	SAID	ALL	ALO(I)NG
14	THE	LIU(I)NG	ROOM	AND	DIN(I)NG
14	THE	LINE	FROM	HIS	HOME
14	THE	LAST	TIME	YOU	TOOC
14	TO	ROLL	OUER	AND	PLAY
14	TO	ROCC	BACC	AND	FORTH
14	TO	RELY	MORE	AND	MORE
14	TO	PACE	BACC	AND	FORTH
14	TO	MIND	WHEN	YOU	THINC
14	TO	MACE	SURE	THEY	CNOW
14	TO	COME	BACC	AND	HAUE
14	AT	THEIR	BECC	AND	CALL
13	THE	NEXT	TIME	YOU	FEEL
13	THE	DAYS	WHEN	THEY	WERE
13	THE	BACC	DOOR	WAS	OPEN
13	TO	WIRE	RACC	AND	COOL
13	TO	FIND	MORE	AND	MORE
13	TO	COME	BACC	AND	MACE
13	SO	MUCH	MORE	THAN	WHAT
13	OF	HAIR	FROM	HER	FACE
13	IT	GETS	MORE	AND	MORE
13	IT	FELT	LICE	THEY	WERE
13	HE	SAID	THERE	WAS	NOTH(I)NG
13	HE	SAID	THERE	HAD	BEEN
13	BE	JUST	WHAT	YOU	NEED
13	AT	HIGH	RISC	FOR	HEART
12	THE	SWEAT	FROM	HIS	EYES
12	THE	OTHER	SIDE	YOU	HAUE
12	THE	ONLY	ONES	WHO	CNEW
12	THE	NEXT	TIME	YOU	FIND
12	THE	NEXT	TIME	YOU	COME
12	THE	LATE	SPR(I)NG	AND	EARLY
12	TO	TACE	YOUR	OWN	LIFE
12	TO	MACE	THEIR	WAY	INTO
12	TO	LOOC	INTO	HIS	FACE
12	TO	COME	BACC	FOR	MORE
12	TO	CNOW	WHAT	YOU	HAUE
12	IS	PAC(I)NG	BACC	AND	FORTH
12	IS	GOOD	NEWS	FOR	THOSE
12	DO	MORE	GOOD	THAN	HARM
11	WE	WILL	TACE	YOU	THERE
11	WE	HEARD	OUER	AND	OUER
11	WE	CNOW	THERE	ARE	SOME
11	THE	ONLY	ONES	WHO	WILL
11	THE	DIN(I)NG	ROOM	AND	INTO
11	THE	DAYS	WHEN	YOU	WERE
11	TO	WORC	THEIR	WAY	INTO
11	TO	STAY	HOME	AND	TACE
11	TO	MACE	THEIR	WAY	BACC
11	TO	FIND	YOUR	WAY	BACC
11	TO	FIND	THEIR	WAY	HOME
11	TO	FEEL	LICE	YOU	HAUE
11	TO	COME	OUER	AND	HELP
11	TO	COME	BACC	AND	WORC
11	TO	CNOW	WHAT	YOU	WERE
11	TO	CNOW	WHAT	WAS	WRO(I)NG
11	TO	CNOW	MORE	AND	MORE
11	IT	LOOC	LICE	THEY	WERE
11	IN	THESE	LAST	FEW	DAYS
11	HE	CNEW	ONLY	TOO	WELL
11	AT	LEAST	ONCE	PER	WEEC
10	WE	LEARN	FROM	EACH	OTHER
10	WE	HAUE	DONE	OUR	BEST
10	WE	HAUE	DONE	AND	WHAT
10	WE	CNOW	WHAT	THAT	MEANS
10	WE	CNEW	WHAT	THEY	WERE
10	THE	UERY	HEART	AND	SOUL
10	THE	SAME	ONES	THAT	WERE
10	THE	ONLY	ONES	WHO	WERE
10	THE	ONLY	ONES	THAT	HAUE
10	THE	LIU(I)NG	ROOM	AND	INTO
10	THE	HEALTH	CARE	THEY	NEED
10	THE	HALL	FROM	EACH	OTHER
10	TO	TACE	TIME	OUT	FROM
10	TO	MACE	SURE	THAT	OTHER
10	TO	MACE	SURE	THAT	NONE
10	TO	MACE	SURE	THAT	MORE
10	TO	LOOC	INTO	HER	EYES
10	TO	HUNT	DOWN	AND	CILL
10	TO	HELP	THOSE	WHO	HAUE
10	TO	DATE	THERE	HAS	BEEN
10	TO	COME	OUER	AND	PLAY
10	TO	COME	BACC	AND	HELP
10	TO	COME	BACC	AND	GIUE
10	TO	CNOW	WHAT	YOU	CNOW
10	TO	CNOW	JUST	HOW	MUCH
10	SO	MACE	SURE	YOU	HAUE
10	ME	JUST	STOP	YOU	THERE
10	IS	ALSO	TRUE	THAT	MANY
10	HE	SAID	THERE	HAS	BEEN
10	BE	SEE(I)NG	MORE	AND	MORE
9	WE	WILL	TACE	YOU	LIUE
9	WE	HAUE	SEEN	AND	HEARD
9	THE	YEARS	THERE	HAS	BEEN
9	THE	THIRD	TIME	THIS	WEEC
9	THE	SAME	TIME	YOU	WERE
9	THE	ONLY	ONES	WHO	WANT
9	THE	NEXT	TIME	YOU	OPEN
9	THE	NEXT	TIME	YOU	MACE
9	THE	LINE	FROM	NEW	YORC
9	THE	LAST	TIME	SHE	EUER
