Count from total of 16451820 word 5-grams
286	TO	TASTE	WITH	SALT	AND
117	HE	COULD	NOT	HELP	BUT
110	OF	PEOPLE	OUT	THERE	WHO
82	THE	PEOPLE	WHO	WORC	FOR
71	HE	COULD	GET	AWAY	WITH
70	WE	WOULD	NOT	HAUE	HAD
54	HE	WOULD	NOT	HAUE	HAD
51	HE	COULD	NOT	MACE	OUT
48	OF	PEOPLE	OUT	THERE	THAT
45	IS	ALIUE	AND	WELL	AND
44	HE	COULD	NOT	HELP	BUT
43	IT	WOULD	NOT	MACE	ANY
40	UP	WHERE	THEY	LEFT	OFF
38	OF	PEOPLE	ARE	SAY(I)NG	THAT
35	WE	COULD	NOT	FIND	ANY
35	OF	PEOPLE	WHO	THINC	THAT
31	WE	WOULD	NOT	HAUE	ANY
31	HE	COULD	NOT	TACE	HIS
30	NO	DOUBT	THAT	THERE	ARE
29	THE	NOTION	THAT	THERE	ARE
29	HE	COULD	NOT	CEEP	HIS
28	TO	CATCH	HIS	BREATH	AND
27	IT	WOULD	NOT	TACE	LO(I)NG
27	HE	OPENS	HIS	EYES	AND
26	HE	COULD	NOT	FIND	HIS
25	WE	WOULD	NOT	HAUE	HAD
25	WE	FOUND	THAT	THERE	WAS
25	WE	COULD	NOT	HELP	BUT
25	THE	PEOPLE	THAT	WORC	FOR
25	OF	PEOPLE	WHO	HAUE	HAD
25	IT	SEEMS	THAT	THERE	ARE
24	WE	WOULD	NOT	HAUE	THIS
24	OF	PEOPLE	WHO	HAUE	NOT
24	OF	PEOPLE	WHO	FEEL	THAT
24	HE	COULD	NOT	MOUE	HIS
24	BE	AWARE	THAT	THERE	ARE
23	THE	SENSE	THAT	THERE	ARE
23	TO	CATCH	HER	BREATH	AND
23	OF	RIGHT	AND	WRO(I)NG	AND
23	HE	WOULD	NOT	HAUE	ANY
23	HE	COULD	NOT	EUEN	GET
22	THE	PEOPLE	YOU	WORC	WITH
22	THE	PEOPLE	WITH	WHOM	THEY
22	HE	COULD	NOT	HAUE	HER
21	HE	COULD	NOT	WAIT	FOR
21	HE	COULD	NOT	TELL	HER
20	THE	WOMEN	WHO	LOUE	THEM
20	TO	SHACE	HIS	HAND	AND
20	TO	PEOPLE	WHO	HAUE	NOT
20	TO	CHA(I)NGE	HIS	MIND	AND
20	HE	WOULD	NOT	RULE	OUT
19	THE	PEOPLE	WHO	WORC	WITH
19	THE	PEOPLE	WHO	MACE	THEM
19	THE	PEOPLE	OUT	THERE	WHO
19	IN	PLACE	FOR	MORE	THAN
19	HE	COULD	NOT	MACE	OUT
18	WE	COULD	NOT	FIND	HIM
18	THE	PEOPLE	WHO	LIUE	AND
18	THE	HOUSE	WAS	DARC	AND
18	TO	CLOSE	HIS	EYES	AND
18	IT	TURNS	OUT	THERE	WAS
18	HE	WIPED	HIS	MOUTH	WITH
18	BE	NOTED	THAT	THERE	ARE
17	UP	WHERE	YOU	LEFT	OFF
17	THE	PEOPLE	WHO	MACE	THIS
17	THE	NOTION	THAT	THERE	WAS
17	OF	PEOPLE	OUT	THERE	ARE
17	IT	WOULD	NOT	TACE	LO(I)NG
17	IT	MACES	YOU	FEEL	ANY
17	HE	OPENS	HIS	MOUTH	AND
17	HE	COULD	NOT	LIUE	WITH
16	WE	COULD	NOT	EUEN	GET
16	TO	CARUE	OUT	THEIR	OWN
16	OF	PEOPLE	WHO	WERE	NOT
16	IN	WHICH	THEY	LIUE	AND
16	HE	COULD	NOT	EUEN	SEE
15	THE	PEOPLE	WHO	WERE	DO(I)NG
15	THE	PEOPLE	WHO	WERE	NOT
15	THE	PEOPLE	WHO	MADE	THIS
15	THE	LOWER	EAST	SIDE	AND
15	TO	ADMIT	THAT	THERE	WAS
15	DO	ANYTH(I)NG	YOU	WANT	WITH
14	THE	SENSE	THAT	THERE	WAS
14	THE	PEOPLE	WHO	WERE	GO(I)NG
14	THE	PEOPLE	WHO	THINC	THAT
14	TO	PROUE	THAT	THERE	WAS
14	OF	WOMEN	OUT	THERE	WHO
14	OF	PEOPLE	WHO	WERE	NOT
14	IT	TURNS	OUT	THERE	ARE
14	HE	WIPED	HIS	EYES	AND
14	HE	TACES	HER	HAND	AND
13	WE	WOULD	NOT	WANT	THAT
13	UP	WHERE	SHE	LEFT	OFF
13	THE	WOMAN	WHO	SAID	SHE
13	THE	WEATHER	WAS	CLEAR	AND
13	THE	UPPER	EAST	SIDE	AND
13	THE	PEOPLE	WHO	NEED	THEM
13	THE	PEOPLE	WHO	HAUE	NOT
13	ON	WHERE	YOU	LIUE	AND
13	OF	WOMEN	WHO	HAUE	HAD
13	OF	RIGHT	AND	WRO(I)NG	THAT
13	IT	WOULD	NOT	HAUE	HAD
13	HE	WOULD	NOT	HAUE	HAD
13	HE	ASCED	HER	WHAT	SHE
12	WE	COULD	NOT	FIND	ANY
12	WE	COULD	GET	AWAY	WITH
12	THE	WATER	WAS	CLEAR	AND
12	THE	PEOPLE	WHO	MADE	THEM
12	THE	PEOPLE	OUT	THERE	THAT
12	THE	FIRST	TWO	YEARS	AND
12	TO	REALLY	SIT	DOWN	AND
12	HE	WIPED	HIS	NOSE	WITH
12	HE	COULD	NOT	TACE	HIS
12	HE	COULD	NOT	HIDE	HIS
12	HE	COULD	NOT	FIND	ANY
12	AS	THOUGH	SHE	WERE	BE(I)NG
