Count from total of 16451820 word 5-grams
54	IN	RESPONSE	TO	CHA(I)NGES	IN
50	TO	ESTIMATE	THE	NUMBER	OF
41	TO	MINIMISE	THE	IMPACT	OF
41	TO	EUALUATE	THE	EFFECT	OF
40	TO	MINIMISE	THE	NUMBER	OF
39	TO	MINIMISE	THE	AMOUNT	OF
33	TO	EUALUATE	THE	IMPACT	OF
29	TO	INDICATE	THE	EXTENT	TO
23	TO	MAXIMISE	THE	NUMBER	OF
22	IS	EXPECTED	TO	RETURN	TO
21	TO	MINIMISE	THE	EFFECT	OF
20	TO	INDICATE	THE	NUMBER	OF
19	TO	WITHSTAND	THE	RIGORS	OF
19	TO	INDICATE	THE	DEGREE	TO
19	TO	IDENTIFY	THE	SOURCE	OF
19	TO	EUALUATE	THE	EXTENT	TO
18	TO	ESTIMATE	THE	AMOUNT	OF
18	TO	ADUOCATE	ON	BEHALF	OF
17	THE	SECWENCE	OF	EUENTS	IN
17	TO	CONSIDER	THE	IMPACT	OF
17	IS	EXPECTED	TO	RESULT	IN
16	TO	MAXIMISE	THE	AMOUNT	OF
15	TO	RESTRICT	THE	NUMBER	OF
15	IS	DESIGNED	TO	MEASURE	THE
14	TO	MINIMISE	THE	CHANCE	OF
14	TO	DESCRIBE	THE	NATURE	OF
14	IS	PROBABLY	THE	RESULT	OF
14	IS	EXPECTED	TO	DOUBLE	BY
13	THE	SERENITY	TO	ACCEPT	THE
13	TO	CONSIDER	THE	EFFECT	OF
13	IS	EXPECTED	TO	DOUBLE	IN
12	THE	SITUATION	IS	LICELY	TO
12	TO	NEGOTIOTE	THE	RELEASE	OF
12	IS	EXPECTED	TO	BECOME	THE
11	TO	IDENTIFY	THE	NATURE	OF
11	TO	IDENTIFY	THE	EXTENT	TO
11	TO	DISCOUER	THE	SOURCE	OF
11	TO	CWANTIFY	THE	IMPACT	OF
11	TO	CWANTIFY	THE	AMOUNT	OF
11	IS	DIRECTOR	OF	THEATERS	AT
11	DO	WHATEUER	HE	WANTED	TO
11	BE	EXPECTED	TO	RESULT	IN
10	WE	CONTINUE	TO	FOLLOW	THE
10	TO	SHOULDER	THE	BURDEN	OF
10	TO	PINPOINT	THE	SOURCE	OF
10	TO	INDICATE	THE	AMOUNT	OF
10	TO	CONSIDER	THE	NATURE	OF
10	TO	CONFRONT	THE	REALITY	OF
10	OF	THOUSANDS	OF	POUNDS	OF
10	OF	THOUSANDS	OF	COPIES	OF
