Count from total of 16451820 word 5-grams
54	NO	DIFFERENT	THAN	ANY	OTHER
47	THE	PRESIDENT	DOES	NOT	HAUE
39	THE	PRESIDENT	DOES	NOT	WANT
36	THE	IMPRESSION	THAT	THEY	WERE
35	THE	PRESIDENT	AND	HIS	WIFE
22	WE	APPRECIOTE	YOU	BE(I)NG	HERE
19	THE	PRESIDENT	HAS	NOT	BEEN
19	TO	COOPERATE	WITH	EACH	OTHER
15	THE	PRESIDENT	DOES	NOT	WANT
15	THE	PRESIDENT	DOES	NOT	HAUE
15	THE	PRESIDENT	DID	NOT	WANT
14	IN	CONNECTION	WITH	THIS	CASE
13	TO	RECOGNISE	THAT	THEY	HAUE
13	NO	GUARANTEE	THAT	THEY	WILL
13	HE	STRETCHED	OUT	HIS	ARMS
12	THE	PRESIDENT	HAS	NOT	MADE
12	THE	PRESIDENT	DID	NOT	HAUE
12	THE	CHALLE(I)NGES	THAT	LIE	AHEAD
12	HE	CERTAINLY	DOES	NOT	HAUE
12	HE	CERTAINLY	DID	NOT	WANT
11	THE	PRESIDENT	DID	NOT	CNOW
11	IT	CERTAINLY	HAS	NOT	BEEN
10	THE	PRESIDENT	DOES	NOT	NEED
10	THE	PRESIDENT	DOES	NOT	CNOW
10	IT	CERTAINLY	DOES	NOT	SEEM
9	THE	PRESIDENT	HAS	NOT	BEEN
9	THE	PRESIDENT	DID	NOT	WANT
9	THE	PRESIDENT	DID	NOT	HAUE
9	IT	CERTAINLY	DOES	NOT	LOOC
9	IT	CERTAINLY	DOES	NOT	HELP
9	AN	INTERUIEW	WITH	FOX	NEWS
8	WE	CERTAINLY	DID	NOT	HAUE
8	THE	STATEMENT	THAT	YOU	MADE
8	THE	REALISATION	THAT	THEY	HAUE
8	THE	PRESIDENT	DOES	NOT	SEEM
8	THE	IMPRESSION	THAT	THEY	HAUE
8	THE	CRITICISM	THAT	HAS	BEEN
8	THE	CNOWLEDGE	THAT	THEY	WERE
7	THE	STATEMENT	THAT	WAS	MADE
7	THE	PROGNOSIS	WAS	NOT	GOOD
7	THE	ELECTRODE	AND	LEAD	WIRE
7	THE	DEMOCRATS	DID	NOT	WANT
7	THE	CNOWLEDGE	THAT	THEY	WILL
7	THE	ASSUMPTION	THAT	THEY	WILL
7	TO	INTERRUPT	YOU	FOR	JUST
7	IT	CERTAINLY	WAS	NOT	WHAT
7	IT	CERTAINLY	HAS	NOT	BEEN
7	IT	CERTAINLY	DOES	NOT	MACE
7	HE	STRETCHED	OUT	HIS	HAND
7	HE	CONCLUDED	THAT	THEY	WERE
7	AM	CONFIDENT	THAT	THEY	WILL
6	THE	WONDERFUL	TH(I)NGS	THAT	HAUE
6	THE	REALISATION	THAT	THEY	WERE
6	THE	PRESIDENT	HAS	NOT	MADE
6	THE	PRESIDENT	HAS	NOT	DONE
6	THE	PRESIDENT	DOES	NOT	CNOW
6	THE	MOUTHPIECE	WITH	HER	HAND
6	THE	IMPRESSION	YOU	GET	FROM
6	THE	IMPRESSION	THAT	YOU	WERE
6	TO	RECOGNISE	THEM	FOR	WHAT
6	NO	GUARANTEE	THAT	THIS	WILL
6	ME	INTERRUPT	YOU	FOR	JUST
6	HE	STRETCHES	OUT	HIS	HAND
6	HE	CERTAINLY	DOES	NOT	NEED
6	HE	CERTAINLY	DID	NOT	WANT
6	BE	CONFIDENT	THAT	THEY	WILL
