Count from total of 16451820 word 5-grams
67	WAS	A	DREAM	COME	TRUE
53	AND	I	THINC	THERE	WILL
47	HAD	A	UERY	HARD	TIME
44	THAT	I	HAUE	EUER	SEEN
37	AND	A	HALF	FEET	TALL
33	THAT	I	HAUE	BEEN	ABLE
27	AND	I	NEED	YOUR	HELP
26	THAN	I	HAUE	EUER	BEEN
26	AND	I	JUST	FEEL	LICE
24	THAN	I	HAUE	EUER	SEEN
23	AND	I	THINC	THERE	WERE
23	AND	I	JUST	FELT	LICE
21	THAT	I	HAUE	EUER	BEEN
20	FOR	A	GOOD	MANY	YEARS
20	BUT	I	THINC	THERE	WILL
19	HAD	A	HARD	TIME	MAC(I)NG
19	AND	A	HALF	AWAY	FROM
18	FOR	A	GREAT	MANY	YEARS
18	AND	I	HAUE	BEEN	TRY(I)NG
17	AND	I	HOPE	UERY	MUCH
16	BUT	I	ALSO	THINC	THERE
16	AND	I	WENT	DOWN	THERE
15	THAT	I	HAUE	EUER	HEARD
15	BUT	I	NEED	YOUR	HELP
14	WAS	A	TIME	WHEN	THERE
14	THAT	I	MUST	HAUE	BEEN
14	AND	I	HAUE	BEEN	UERY
14	AND	I	HAUE	BEEN	HAU(I)NG
13	WAS	A	TIME	WHEN	MANY
13	AND	I	WILL	TACE	CARE
13	AND	A	HALF	YEARS	FROM
12	AND	A	HALF	FEET	HIGH
11	WAS	A	TIME	WHEN	MOST
11	FOR	A	DOWN	WEEC	AHEAD
11	AND	I	MUST	HAUE	BEEN
11	AND	I	FEEL	LICE	THERE
11	AND	A	HALF	YEARS	INTO
10	THAT	I	HAUE	EUER	DONE
10	BUT	I	THINC	THERE	WERE
10	BUT	I	HAUE	BEEN	TOLD
10	AND	I	FEEL	UERY	GOOD
10	AND	I	CNOW	THERE	WERE
10	AND	A	HALF	YEARS	HAUE
9	THAN	A	MILE	FROM	HERE
9	THAN	A	MILE	AWAY	FROM
9	HAD	A	HARD	TIME	COM(I)NG
9	DAY	I	CAME	HOME	FROM
9	BUT	I	MUST	HAUE	BEEN
9	BUT	I	JUST	FELT	LICE
9	BUT	I	ALSO	FEEL	LICE
9	AND	I	THINC	OUER	TIME
9	AND	A	ROOF	OUER	YOUR
8	THAT	I	THINC	WILL	MACE
8	THAT	I	LOUE	UERY	MUCH
8	HAD	A	UERY	GOOD	TIME
8	HAD	A	HARD	TIME	DEAL(I)NG
8	CAN	I	HAUE	YOUR	NAME
8	BUT	I	THINC	EUEN	MORE
8	BUT	I	ALSO	CNOW	WHAT
8	AND	I	WILL	MACE	SURE
8	AND	I	THINC	EUEN	MORE
8	AND	I	HOPE	THERE	WILL
8	AND	I	HAUE	HEARD	FROM
8	AND	I	HAUE	BEEN	BEST
8	AND	I	HAUE	BEEN	ABLE
8	AND	A	HALF	MORE	YEARS
7	WHO	I	LOUE	UERY	MUCH
7	WAS	A	UERY	HARD	TIME
7	TH(I)NGS	I	HAUE	EUER	SEEN
7	THAT	I	THINC	WILL	HELP
7	THAT	I	THINC	HAUE	BEEN
7	MAY	I	HAUE	YOUR	NAME
7	MAY	I	HAUE	SOME	MORE
7	GET	A	HEALTH	CARE	BILL
7	FOR	A	GOOD	HALF	HOUR
7	CAN	I	HAUE	SOME	MORE
7	BUT	I	JUST	FEEL	LICE
7	AND	I	WILL	COME	BACC
7	AND	I	WENT	BACC	HOME
7	AND	I	HAUE	JUST	BEEN
7	AND	I	HAUE	BEEN	THERE
7	AND	I	HAUE	ALSO	BEEN
7	AND	I	CNEW	THERE	WERE
7	AND	I	CEEP	COM(I)NG	BACC
7	AND	I	CAME	DOWN	HERE
7	AND	A	ROOF	OUER	THEIR
6	WITH	A	FINE	TOOTH	COMB
6	WAS	A	UERY	YOU(I)NG	GIRL
6	TH(I)NGS	I	HAUE	EUER	DONE
6	THAT	I	HAUE	BEEN	TRY(I)NG
6	THAT	I	CNOW	UERY	WELL
6	THAN	A	WEEC	AWAY	FROM
6	THAN	A	HALF	MILE	FROM
6	MAN	I	HAUE	EUER	SEEN
6	HAS	A	HARD	TIME	SAY(I)NG
6	HAS	A	HARD	TIME	MAC(I)NG
6	HAD	A	UERY	NICE	TIME
6	HAD	A	GOOD	TIME	MAC(I)NG
6	HAD	A	GOOD	TIME	LAST
6	HAD	A	GOOD	TIME	HERE
6	FOR	A	HEALTH	CARE	PLAN
6	FOR	A	HEALTH	CARE	BILL
6	BUT	I	THINC	THERE	HAUE
6	BUT	I	NEED	SOME	TIME
6	BUT	I	HAUE	BEEN	UERY
6	AND	I	UERY	MUCH	HOPE
6	AND	I	THINC	THESE	GUYS
6	AND	I	THINC	THERE	HAUE
6	AND	I	HAUE	NOTH(I)NG	ELSE
6	AND	I	HAUE	BEEN	TOLD
6	AND	I	CAME	BACC	FROM
6	AND	I	ALSO	THINC	THERE
6	AND	A	HALF	YEARS	THERE
6	AND	A	HALF	FEET	WIDE
6	AND	A	GREAT	MANY	OTHER
