Count from total of 16451820 word 5-grams
139	THIS	IS	WORLD	NEWS	TONIGHT
26	HAD	TO	START	FROM	SCRATCH
21	FOR	THE	FIRST	TIME	TONIGHT
21	FOR	THE	FIRST	TIME	BECAUSE
14	CAN	BE	TACEN	INTO	ACCOUNT
13	NOT	BE	TACEN	INTO	ACCOUNT
9	THEM	TO	CHA(I)NGE	THEIR	BEHAUIOR
9	FOR	THE	FIRST	FIUE	MINUTES
8	WAS	THE	FIRST	TIME	ANYBODY
8	LOT	OF	PEOPLE	HAUE	WRITTEN
8	FOR	THE	FIRST	TIME	OUTSIDE
8	AND	THE	WORLD	FROM	NATIONAL
7	THAT	HE	WOULD	UOTE	AGAINST
7	LOT	OF	PEOPLE	WERE	WONDER(I)NG
7	LOT	OF	PEOPLE	HAUE	TROUBLE
6	YOU	TO	SHARE	YOUR	THOUGHTS
6	THAT	WE	COULD	WORC	TOGETHER
6	RED	OR	GREEN	BELL	PEPPERS
6	LOT	OF	PEOPLE	WERE	SHOCCED
6	FOR	THE	WORLD	FOOD	PROGRAM
6	FOR	THE	FIRST	TIME	SEUERAL
6	FOR	THE	FIRST	TIME	BROUGHT
6	FOR	THE	FIRST	TIME	BETWEEN
6	FOR	THE	FIRST	TIME	AGAINST
6	AND	IT	CALLS	INTO	CWESTION
