Count from total of 16451820 word 5-grams
179	MAY	BE	EDITED	FOR	LE(I)NGTH
171	TRY	TO	FIGURE	OUT	WHAT
76	THAT	NO	MATTER	HOW	MUCH
68	HEAT	TO	MEDIUM	AND	COOC
64	AND	NO	MATTER	HOW	MUCH
56	AND	NO	MATTER	HOW	MANY
51	FOR	THE	OFFICE	YOU	SEEC
46	YOU	OR	SOMEONE	YOU	CNOW
44	BUT	NO	MATTER	HOW	HARD
42	FOR	THE	FISCAL	YEAR	END(I)NG
40	GOT	TO	FIGURE	OUT	WHAT
38	BUT	NO	MATTER	HOW	MANY
37	THAT	HE	SHOULD	NOT	HAUE
37	BUT	NO	MATTER	HOW	MUCH
36	THAT	WE	SHOULD	NOT	HAUE
35	BUT	THE	DAMAGE	WAS	DONE
31	AND	NO	MATTER	HOW	HARD
30	THAT	NO	MATTER	HOW	MANY
26	CAN	BE	BOUGHT	AND	SOLD
25	HAD	TO	FIGURE	OUT	WHAT
24	THIS	IS	SOMETH(I)NG	THAT	WILL
24	THAT	IS	SIMPLY	NOT	TRUE
24	AND	HE	CLOSED	HIS	EYES
23	THIS	IS	SIMPLY	NOT	TRUE
22	THAT	NO	MATTER	HOW	HARD
22	ADD	THE	GARLIC	AND	COOC
21	THEN	HE	CLOSED	HIS	EYES
21	THAT	HE	SHOULD	NOT	HAUE
21	OUT	THE	WINDOW	AND	SEES
20	THEN	HE	CHA(I)NGED	HIS	MIND
20	GO(I)NG	TO	HAPPEN	THIS	TIME
20	BUT	HE	SHOULD	NOT	HAUE
20	AND	WE	SHOULD	NOT	HAUE
20	AND	HE	SHOULD	NOT	HAUE
19	FOR	THE	SECOND	AND	THIRD
19	BUT	HE	CHA(I)NGED	HIS	MIND
19	AND	OF	COURSE	THEY	WERE
18	THAT	WE	SHOULD	NOT	HAUE
18	THAT	IS	SOMETH(I)NG	THAT	WILL
16	GET	THE	LATEST	NOW	FROM
16	AND	THE	SECOND	AND	THIRD
15	AND	THE	STACES	ARE	HIGH
15	AND	THE	RESULT	HAS	BEEN
14	WAY	TO	FIGURE	OUT	WHAT
14	AND	IF	SOMETH(I)NG	GOES	WRO(I)NG
14	AND	HE	SMILED	AND	SAID
13	WITH	THE	SECOND	AND	THIRD
13	WHO	IS	WITHOUT	SIN	CAST
13	THEN	HE	OPENED	HIS	EYES
13	BUT	THE	DAMAGE	HAD	BEEN
13	BUT	IT	SHOULD	NOT	HAUE
13	AND	HE	CLOSES	HIS	EYES
12	YOU	TO	FIGURE	OUT	WHAT
12	THIS	IS	SOMETH(I)NG	YOU	HAUE
12	THAT	THE	POLICE	HAD	BEEN
12	THAT	NO	MATTER	HOW	WELL
12	THAN	IN	ALMOST	ANY	OTHER
12	SET	THE	RECORD	FOR	MOST
12	HAD	IN	COMMON	WAS	THEIR
11	THEN	HE	TURNED	AND	WENT
11	THAT	NO	MATTER	HOW	GOOD
11	THAT	IT	SHOULD	NOT	HAUE
11	OUT	THE	WINDOW	AND	SAID
11	FOR	THE	MIDDLE	EAST	PEACE
11	FAR	AS	ANYONE	CAN	TELL
11	BUT	OF	COURSE	THEY	WERE
11	AND	THE	REASONS	FOR	THEIR
11	AND	IT	SHOULD	NOT	HAUE
10	WITH	THE	MIDDLE	EAST	PEACE
10	THEM	TO	FIGURE	OUT	WHAT
10	TRY	TO	FIGURE	OUT	WAYS
