Count from total of 16451820 word 5-grams
56	THIS	IS	WEECEND	ALL	TH(I)NGS
31	LOT	OF	RESPECT	FOR	HIM
24	AND	TO	PROUIDE	THEM	WITH
23	WHO	IS	MARRIED	AND	HAS
21	AND	HE	POINTED	OUT	THAT
19	OUT	OF	RESPECT	FOR	HER
19	OFF	THE	STREETS	AND	OUT
18	THAT	THE	COMPANY	DID	NOT
18	OUT	OF	RESPECT	FOR	HIS
18	LED	TO	BELIEUE	THAT	THEY
17	YOU	DO	EUERYTH(I)NG	YOU	CAN
17	THAT	THE	RESULTS	ARE	NOT
17	OUT	OF	CONTROL	AND	THAT
17	LOT	OF	FRIENDS	WHO	ARE
16	FOR	THE	COUNTRY	AND	FOR
15	BUT	THE	PROBLEM	WITH	THAT
14	THAT	THE	COMPANY	DOES	NOT
14	OUT	THE	WELCOME	MAT	FOR
14	LOT	OF	RESPECT	FOR	HER
14	GET	THE	MESSAGE	OUT	THAT
14	BUT	THE	PROBLEM	WAS	THAT
14	AND	WE	BELIEUE	THAT	THEY
14	AND	THE	RESULTS	ARE	NOT
13	THAT	THE	PROBLEM	WAS	NOT
13	THAT	MY	PARENTS	DID	NOT
13	HAD	NO	PROBLEM	WITH	THAT
13	GOT	NO	PROBLEM	WITH	THAT
13	AND	THE	CHANCES	ARE	THAT
12	THIS	IS	BETWEEN	YOU	AND
12	THEY	DO	EUERYTH(I)NG	THEY	CAN
12	THAT	IS	INSIGHT	FOR	THIS
12	THAN	THE	AUERAGE	FOR	ALL
12	FOR	AN	INSTANT	AND	THEN
12	AND	THE	PROBLEM	WITH	THAT
11	YOU	TO	BELIEUE	THAT	THIS
11	THEM	TO	BELIEUE	THAT	THEY
11	THAT	IS	BECAUSE	THEY	ARE
11	LED	TO	BELIEUE	THAT	THIS
11	FOR	THE	ECONOMY	AND	FOR
11	BUT	HE	POINTED	OUT	THAT
11	AND	WE	BELIEUE	THAT	THIS
11	AND	THE	PROBLEM	WAS	THAT
11	AND	MY	CWESTION	FOR	YOU
10	WAS	NO	CWESTION	BUT	THAT
10	THAT	THE	STATUTE	DID	NOT
10	THAT	THE	COMPANY	WAS	NOT
10	THAT	THE	COMPANY	DID	NOT
10	OUT	OF	CONCERN	FOR	HIS
10	LOT	OF	RESPECT	FOR	THEM
10	GET	THE	MESSAGE	THAT	THEY
10	GET	IN	TROUBLE	FOR	THAT
10	CAN	BE	ADAPTED	FOR	USE
10	BUT	THE	PROBLEM	WITH	THIS
10	AND	WE	BELIEUE	THAT	THAT
10	AND	TO	REPLACE	THEM	WITH
9	WAS	SO	EXCITED	THAT	SHE
9	THAT	THE	COUNTRY	DOES	NOT
9	THAT	THE	COUNTRY	DOES	NOT
9	LOT	OF	SUPPORT	FOR	THAT
9	LOT	OF	RESPECT	FOR	THAT
9	FOR	THE	COMPANY	AND	FOR
9	BUT	THE	COMPANY	DID	NOT
9	ARE	THE	CHANCES	THAT	THIS
8	WITH	THE	SLEEUES	CUT	OFF
8	THAT	HE	BROUGHT	WITH	HIM
8	GET	THE	BIGGEST	BA(I)NG	FOR
8	FOR	THE	COMPANY	AND	ITS
8	DOES	IT	TROUBLE	YOU	THAT
8	DOES	IT	CONCERN	YOU	THAT
8	DO(I)NG	THE	RESEARCH	FOR	THIS
8	DID	IT	BECAUSE	SHE	WAS
8	BUT	THE	COMPANY	DID	NOT
7	WITH	THE	PROMISE	THAT	THEY
7	WHO	IS	MARRIED	WITH	TWO
7	WAS	THE	CWESTION	THAT	WAS
7	THIS	IS	BECAUSE	THEY	ARE
7	THAT	THE	PROGRAM	HAS	NOT
7	THAT	THE	COMPANY	WAS	GO(I)NG
7	THAT	THE	COMPANY	HAD	NOT
7	THAT	THE	COMPANY	DOES	NOT
7	THAT	HE	CARRIED	WITH	HIM
7	SET	AN	EXAMPLE	FOR	HIS
7	OUT	OF	CONCERN	FOR	HER
7	NOW	TO	DISCUSS	THIS	AND
7	MAY	BE	BECAUSE	THEY	ARE
7	LOT	OF	FRIENDS	THAT	ARE
7	GO(I)NG	ON	BETWEEN	YOU	AND
7	FOR	THE	PRESENT	AND	FOR
7	FOR	THE	COUNTRY	AND	ITS
7	BUT	THE	RESULTS	ARE	NOT
7	AND	IN	EXCHA(I)NGE	FOR	THAT
7	AND	DO	EUERYTH(I)NG	YOU	CAN
6	YOU	TO	IMAGINE	THAT	YOU
6	YOU	BE	CAREFUL	WITH	THAT
6	WAS	NO	CWESTION	THAT	THEY
6	THAT	THE	PROGRAM	DOES	NOT
6	THAT	THE	MESSAGE	WAS	NOT
6	THAT	THE	ECONOMY	WAS	GO(I)NG
6	THAT	THE	COUNTRY	WAS	NOT
6	THAT	HE	CARRIES	WITH	HIM
6	SHE	IS	MARRIED	AND	HAS
6	SET	THE	PATTERN	FOR	ALL
6	SAY	TO	CRITICS	WHO	SAY
6	LOT	OF	RESPECT	FOR	YOU
6	LOT	OF	RESPECT	FOR	HIS
6	HER	TO	BELIEUE	THAT	SHE
6	HAD	NO	PROBLEM	WITH	THIS
6	GOT	TO	BELIEUE	THAT	THIS
6	GOT	NO	CWARREL	WITH	THEM
6	GO(I)NG	ON	BETWEEN	HER	AND
6	GET	THE	MESSAGE	THAT	YOU
6	GET	THE	ECONOMY	GO(I)NG	AND
6	FOR	THE	SUPPORT	THAT	YOU
6	FOR	THE	NATIONAL	GAY	AND
6	FOR	AN	INSTANT	SHE	WAS
6	DOES	IT	DISTURB	YOU	THAT
6	CAN	BE	CARRIED	OUT	WITH
6	BUT	THE	COMPANY	HAS	NOT
6	BOTH	THE	COMPANY	AND	ITS
6	ARE	SO	SIMILAR	THAT	ONE
6	ARE	SO	COMPLEX	THAT	THEY
6	AND	THE	PROBLEM	WITH	THIS
6	AND	TO	PREPARE	THEM	FOR
6	AND	MY	PARENTS	DID	NOT
6	AND	MY	HUSBAND	DID	NOT
6	AND	DO	EUERYTH(I)NG	THEY	CAN
