Count from total of 16451820 word 5-grams
76	ALL	BUT	A	HANDFUL	OF
38	WAS	NOT	A	CWESTION	OF
37	AND	THEN	I	STARTED	TO
36	WHO	HAD	A	HISTORY	OF
32	WHO	HAS	A	HISTORY	OF
29	WAS	NOT	A	CWESTION	OF
29	MAN	WITH	A	HISTORY	OF
28	HOW	BIG	A	PROBLEM	IS
27	SHE	HAD	A	HISTORY	OF
26	SHE	WAS	A	STUDENT	AT
17	BUT	FOR	A	UARIETY	OF
16	HIM	WITH	A	MIXTURE	OF
16	CAN	USE	A	UARIETY	OF
16	AND	WITH	A	MINIMUM	OF
15	THAT	HAS	A	HISTORY	OF
15	SHE	HAS	A	HISTORY	OF
14	AND	FOR	A	UARIETY	OF
13	SHE	WAS	A	CREATURE	OF
13	AND	HAD	A	HISTORY	OF
12	THAT	FOR	A	UARIETY	OF
12	HAS	HAD	A	HISTORY	OF
12	BUT	THEN	I	STARTED	TO
12	AND	WITH	A	UARIETY	OF
11	YOU	SEE	A	PICTURE	OF
11	WAS	NOT	A	UIOLATION	OF
11	THEY	HAD	A	HISTORY	OF
11	THAT	PUT	A	PREMIUM	ON
11	MEN	WITH	A	HISTORY	OF
11	ITS	NOT	A	CWESTION	OF
11	ASC	YOU	A	CWESTION	ON
11	AND	HAS	A	HISTORY	OF
10	THIS	WAS	A	UIOLATION	OF
10	THEM	WITH	A	UARIETY	OF
10	BUT	THEN	I	DECIDED	TO
10	AND	THEN	I	DECIDED	TO
9	WHO	WAS	A	STUDENT	AT
9	THEM	WITH	A	MIXTURE	OF
9	THEM	FOR	A	UARIETY	OF
9	THAT	HAD	A	PICTURE	OF
9	NOW	HAS	A	DECISION	TO
9	BUT	THEN	I	REALISED	HE
9	AND	THEN	I	REALISED	IT
9	AND	NOW	A	PARTNER	AT
8	THIS	WAS	A	CWESTION	OF
8	THAT	WAS	A	UIOLATION	OF
8	SET	OFF	A	CASCADE	OF
8	SAY	THAT	I	BELIEUE	IN
8	PUT	OFF	A	DECISION	ON
8	ONE	WITH	A	HISTORY	OF
8	NOW	WITH	A	PREUIEW	OF
8	DEAL	WITH	A	UARIETY	OF
8	AND	FOR	A	FRACTION	OF
7	WHO	WAS	A	PARTNER	IN
7	WAS	NOT	A	SUSPECT	IN
7	WAS	NOT	A	PROBLEM	IN
7	WAS	NOT	A	SCRATCH	ON
7	THEY	HAD	A	PICTURE	OF
7	SHE	WAS	A	STUDENT	OF
7	SHE	HAD	A	PICTURE	OF
7	ONE	DAY	I	DECIDED	TO
7	NOW	HAS	A	PREUIEW	OF
7	MEN	AND	A	HANDFUL	OF
7	HER	WITH	A	MIXTURE	OF
7	CAN	GET	A	GLIMPSE	OF
7	BUT	THEN	I	REALISED	THE
7	ARE	NOT	A	FUNCTION	OF
7	AND	US(I)NG	A	UARIETY	OF
7	AND	USE	A	UARIETY	OF
6	YOU	GET	A	PICTURE	OF
6	YOU	ARE	A	CITISEN	OF
6	WHO	WAS	A	WITNESS	TO
6	WHO	WAS	A	STUDENT	OF
6	WAS	NOT	A	FUNCTION	OF
6	WAS	NOT	A	FAILURE	OF
6	WAS	ALL	A	CWESTION	OF
6	THEY	HAD	A	PROBLEM	IN
6	SHE	WAS	A	STUDENT	IN
6	SHE	WAS	A	PRODUCT	OF
6	SHE	WAS	A	PARTNER	IN
6	SHE	SAW	A	PICTURE	OF
6	SHE	SAW	A	GLIMMER	OF
6	PAY	FOR	A	UARIETY	OF
6	MAY	USE	A	UARIETY	OF
6	HOW	CAN	I	EXPLAIN	IT
6	CAN	GET	A	PICTURE	OF
6	ARE	US(I)NG	A	UARIETY	OF
6	NOT	HAD	A	UACATION	IN
