Count from total of 16451820 word 5-grams
248	WITH	ALL	DUE	RESPECT	TO
95	BUT	ARE	NOT	LIMITED	TO
80	THEY	ARE	NOT	ALLOWED	TO
55	YOU	ARE	NOT	ALLOWED	TO
49	THAT	DOES	NOT	INCLUDE	THE
44	SHE	DID	NOT	BELIEUE	IN
42	THAT	THEY	ARE	CAPABLE	OF
39	WHO	DID	NOT	RESPOND	TO
38	SHE	DID	NOT	BELIEUE	ME
36	WHO	ARE	NOT	MEMBERS	OF
35	SHE	DOES	NOT	BELIEUE	IN
34	TH(I)NGS	THAT	ARE	HAPPEN(I)NG	IN
33	THEY	DID	NOT	BELIEUE	IN
30	THAT	HAS	NOT	STOPPED	THE
29	THAT	DOES	NOT	INCLUDE	THE
29	SHE	WAS	NOT	ALLOWED	TO
29	SHE	WAS	NOT	ALLOWED	TO
29	SHE	DID	NOT	BELIEUE	IT
27	THEY	DID	NOT	BELIEUE	ME
26	THEY	ARE	NOT	SUBJECT	TO
26	THAT	THEY	ARE	ENDOWED	BY
25	YOU	CAN	HEAR	DETAILS	ON
22	CAN	NOT	BR(I)NG	HIMSELF	TO
21	WHO	DOES	NOT	BELIEUE	IN
21	WHO	DOES	NOT	BELIEUE	IN
21	WHO	DID	NOT	BELIEUE	IN
21	THAT	THEY	HAD	DECIDED	TO
21	SHE	HAD	NOT	BOTHERED	TO
21	SHE	DID	NOT	BELIEUE	IN
21	GAY	MEN	AND	LESBIONS	IN
20	YOU	DID	NOT	BELIEUE	IN
20	THAT	ARE	NOT	SUBJECT	TO
20	THAT	ARE	NOT	COUERED	BY
20	SHE	DID	NOT	APPROUE	OF
19	THAT	SHE	WAS	CAPABLE	OF
19	THAT	ARE	NOT	RELATED	TO
18	SHE	HAD	NOT	NOTICED	THE
18	HOW	DOES	THAT	COMPARE	TO
18	AND	HOW	THEY	RESPOND	TO
17	THEY	ARE	NOT	ALLOWED	TO
17	THAT	DID	NOT	CONFORM	TO
17	DOES	NOT	SEE	HIMSELF	AS
17	AND	ARE	NOT	SUBJECT	TO
16	YOU	MAY	NOT	BELIEUE	IT
16	THEY	DID	NOT	BELIEUE	IT
16	BOTH	FOR	AND	AGAINST	THE
16	AND	YOU	ARE	LISTEN(I)NG	TO
15	WHO	DID	NOT	BELIEUE	IN
15	AND	WAS	NOT	ALLOWED	TO
15	AND	THEY	ARE	BEGINN(I)NG	TO
14	TH(I)NGS	THAT	ARE	HAPPEN(I)NG	TO
14	THAT	THEY	ARE	SUBJECT	TO
14	SHE	HAD	NOT	COUNTED	ON
