Count from total of 16451820 word 5-grams
133	HEAT	OIL	OUER	MEDIUM	HEAT
123	PUT	HIS	ARMS	AROUND	HER
67	PUT	HER	ARMS	AROUND	HIM
65	WAS	NOT	GOOD	ENOUGH	FOR
57	NOT	GET	MUCH	BETTER	THAN
48	RAN	HIS	HAND	THROUGH	HIS
39	AND	THEN	TURN	AROUND	AND
37	ARE	FAR	MORE	LICELY	THAN
34	THAT	HAS	BEEN	AROUND	FOR
32	DID	NOT	CNOW	WHETHER	SHE
31	AND	HEAT	OUER	MEDIUM	HEAT
29	PUT	HER	ARMS	AROUND	HER
27	PUT	HER	ARMS	AROUND	HIS
26	THAT	WAS	GOOD	ENOUGH	FOR
24	YOU	AND	YOUR	FAMILY	ARE
23	DID	NOT	EUEN	REALISE	THAT
23	DID	NOT	CNOW	ANYONE	WHO
22	WAS	TWO	YEARS	YOU(I)NGER	THAN
22	WAS	NOT	GOOD	ENOUGH	FOR
21	WITH	HER	EYES	CLOSED	AND
20	WITH	HIS	EYES	CLOSED	AND
19	MEN	ARE	MORE	LICELY	THAN
18	HAS	NOT	BEEN	WITHOUT	ITS
18	DID	NOT	CNOW	WHETHER	THEY
17	AND	SAT	DOWN	BESIDE	HER
16	THEY	ARE	MORE	LICELY	THAN
15	WHO	HAS	BEEN	COUER(I)NG	THIS
15	ARE	FAR	LESS	LICELY	THAN
14	YOU	AND	YOUR	SPOUSE	ARE
14	WHO	HAD	BEEN	TREATED	WITH
14	THAT	HAS	BEEN	THOUGHT	AND
14	DID	YOU	EUER	WONDER	WHY
14	DID	YOU	EUER	NOTICE	HOW
14	AND	SAT	DOWN	BESIDE	HIM
13	THEY	CAN	TURN	AROUND	AND
13	SHE	SAT	DOWN	BESIDE	HIM
13	BUT	SHE	CNEW	BETTER	THAN
12	RAN	HER	HAND	THROUGH	HER
12	HAS	NOT	BEEN	AROUND	LO(I)NG
12	HAS	NOT	BEEN	AROUND	FOR
12	DID	NOT	EUEN	NOTICE	THAT
11	YOU	AND	YOUR	FAMILY	CAN
11	WAS	NOT	SURE	WHETHER	SHE
11	WAS	NOT	MUCH	BIGGER	THAN
11	THIS	HAS	BEEN	AROUND	FOR
11	THEN	YOU	TURN	AROUND	AND
11	THAT	THEY	WERE	BETTER	THAN
11	THAT	HAD	BEEN	TREATED	WITH
11	THAT	HAD	BEEN	AROUND	FOR
11	ONE	CAN	ONLY	ASSUME	THAT
11	DOES	NOT	SEEM	LICELY	THAT
11	AND	ARE	MORE	LICELY	THAN
10	YOU	AND	YOUR	SPOUSE	CAN
10	WAS	NOT	MUCH	BIGGER	THAN
10	THEY	ARE	LESS	LICELY	THAN
10	THEN	THEY	TURN	AROUND	AND
10	THAT	HAD	BEEN	BUILD(I)NG	FOR
10	DID	NOT	TELL	ANYONE	THAT
9	YOU	AND	YOUR	FAMILY	AND
9	WITH	HIS	ARMS	AROUND	HER
9	WHO	ARE	JUST	START(I)NG	OUT
9	WAS	TEN	YEARS	YOU(I)NGER	THAN
9	THIS	HAS	BEEN	SOMETH(I)NG	THAT
9	OFF	HIS	SUIT	JACCET	AND
9	DID	NOT	CNOW	WHETHER	THEY
9	AND	LAY	DOWN	BESIDE	HER
8	WAS	FAR	MORE	SERIOUS	THAN
8	THAT	HAD	BEEN	FILLED	WITH
8	THAN	YOU	WERE	BEFORE	YOU
