Count from total of 16451820 word 5-grams
47	AND	OUR	POWER	PLAYER	OF
39	WAS	NOT	STRO(I)NG	ENOUGH	TO
33	DOES	NOT	REALLY	MATTER	IF
32	YOU	ARE	LUCCY	ENOUGH	TO
32	NOT	LET	ANYTH(I)NG	HAPPEN	TO
23	WAS	NOT	STRO(I)NG	ENOUGH	TO
22	WHO	ARE	LUCCY	ENOUGH	TO
21	WAS	NOT	SMART	ENOUGH	TO
21	TH(I)NGS	THAT	COULD	HAPPEN	TO
21	SHE	WAS	SMART	ENOUGH	TO
21	ARE	NOT	STRO(I)NG	ENOUGH	TO
18	SHE	HAD	NEUER	THOUGHT	OF
18	NOT	GET	CLOSE	ENOUGH	TO
17	THAT	SHE	REALLY	WANTED	TO
17	DOES	NOT	REALLY	MATTER	TO
17	ARE	NOT	STRO(I)NG	ENOUGH	TO
16	THAT	YOU	WOULD	EXPECT	TO
16	SHE	WAS	CLOSE	ENOUGH	TO
15	THAT	THIS	COULD	HAPPEN	TO
15	THAT	ARE	LARGE	ENOUGH	TO
14	WITH	HER	HANDS	FOLDED	IN
14	WHO	HAD	LIUED	THROUGH	THE
13	THAN	TWO	WEECS	BEFORE	THE
13	MEN	AND	WOMEN	AROUND	THE
12	WAS	NOT	LARGE	ENOUGH	TO
12	WAS	NOT	CLOSE	ENOUGH	TO
12	THEY	ARE	OFTEN	UNABLE	TO
12	THEY	ARE	LARGE	ENOUGH	TO
12	THAT	YOU	REALLY	WANTED	TO
12	THAN	TWO	MONTHS	BEFORE	THE
12	MEN	AND	WOMEN	DIFFER	IN
12	EACH	AND	EUERY	MEMBER	OF
12	DID	NOT	REALLY	EXPECT	TO
11	WHO	HAD	TACEN	REFUGE	IN
11	THAT	THEY	COULD	AFFORD	TO
11	MEN	AND	WOMEN	SHOULD	BE
11	CAN	NOT	EXIST	WITHOUT	THE
11	ARE	NOT	LARGE	ENOUGH	TO
11	ARE	NOT	SMART	ENOUGH	TO
10	THAT	WAS	REASON	ENOUGH	TO
10	THAT	THIS	WOULD	HAPPEN	TO
10	THAT	THIS	COULD	HAPPEN	IN
10	DID	NOT	STICC	AROUND	TO
10	DID	NOT	REALLY	EXPECT	IT
10	CAN	GET	CLOSE	ENOUGH	TO
10	BUT	NOT	NEARLY	ENOUGH	TO
9	WITH	HIS	HANDS	FOLDED	IN
9	WHO	WAS	SMART	ENOUGH	TO
9	TH(I)NGS	THAT	REALLY	MATTER	TO
9	THEY	ARE	SMART	ENOUGH	TO
9	THAT	WAS	STRO(I)NG	ENOUGH	TO
9	THAT	THEY	WOULD	PREFER	TO
9	THAT	SHE	NEUER	WANTED	TO
9	SAY	THEY	WOULD	PREFER	TO
9	RAN	HER	F(I)NGERS	THROUGH	THE
9	CAN	SEE	RIGHT	THROUGH	IT
9	AND	FOR	LO(I)NGER	PERIODS	OF
9	AIR	AND	SPACE	MUSEUM	IN
8	WAS	NOT	NAIUE	ENOUGH	TO
8	THEY	GET	CLOSE	ENOUGH	TO
8	THEY	ARE	OFTEN	FORCED	TO
8	THAT	WAS	LARGE	ENOUGH	TO
8	THAT	THEY	WOULD	REFUSE	TO
8	THAT	ONE	WOULD	EXPECT	TO
8	THAN	SIX	MONTHS	BEFORE	THE
8	SHE	HAD	NEUER	SPOCEN	TO
8	ONE	WHO	REALLY	NEEDED	ME
8	MEN	AND	WOMEN	ACROSS	THE
8	HAD	NOT	REALLY	THOUGHT	OF
8	DID	NOT	TRUST	MYSELF	TO
8	DID	NOT	REALLY	MATTER	TO
8	BUT	NOT	STRO(I)NG	ENOUGH	TO
8	AND	WAS	NAMED	ROOCIE	OF
7	YOU	CAN	ARGUE	WHETHER	IT
7	WHO	WAS	LUCCY	ENOUGH	TO
7	THEY	ARE	STRO(I)NG	ENOUGH	TO
7	THEY	ARE	CLOSE	ENOUGH	TO
7	THAT	THEY	COULD	RELATE	TO
7	THAT	FOR	EUERY	DOLLAR	OF
7	THAT	ARE	SMALL	ENOUGH	TO
7	SHE	WAS	STRO(I)NG	ENOUGH	TO
7	SHE	WAS	FOUND	GUILTY	OF
7	SHE	HAD	NEUER	THOUGHT	TO
7	MAN	WHO	WOULD	BECOME	MY
7	DOES	NOT	LIMIT	ITSELF	TO
7	DID	NOT	ALLOW	MYSELF	TO
7	CAN	NOT	OCCUR	WITHOUT	THE
7	BAD	TH(I)NGS	WOULD	HAPPEN	TO
7	ARE	NOT	SMART	ENOUGH	TO
7	NOT	THAT	REASON	ENOUGH	TO
6	YOU	ARE	STRO(I)NG	ENOUGH	TO
6	WITH	LOW	UISION	SHOULD	BE
6	WHO	WAS	SITT(I)NG	ACROSS	THE
6	WHO	ARE	SMART	ENOUGH	TO
6	WHO	ARE	BRAUE	ENOUGH	TO
6	USE	HIS	BULLY	PULPIT	TO
6	THAT	THEY	REALLY	WANTED	TO
6	THAT	SHE	WOULD	RETURN	TO
6	THAT	ARE	STRO(I)NG	ENOUGH	TO
6	SHE	WAS	WALC(I)NG	THROUGH	THE
6	SHE	WAS	STAR(I)NG	ACROSS	AT
6	SHE	WAS	LUCCY	ENOUGH	TO
6	SHE	HAD	NEUER	WANTED	TO
6	RAN	HER	F(I)NGERS	THROUGH	MY
6	NOT	YET	STRO(I)NG	ENOUGH	TO
6	NOT	BE(I)NG	TOUGH	ENOUGH	ON
6	MEN	AND	WOMEN	E(I)NGAGED	IN
6	MAN	WHO	WOULD	BECOME	THE
6	HAD	NOT	REALLY	WANTED	TO
6	HAD	NOT	REALLY	LOOCED	AT
6	FOR	TWO	WEECS	BEFORE	THE
6	DID	NOT	EXIST	BEFORE	THE
6	DID	NOT	CWITE	MEASURE	UP
6	BUT	SHE	NEUER	SEEMED	TO
6	BUT	NOT	CLOSE	ENOUGH	TO
6	ARE	YOU	STRO(I)NG	ENOUGH	TO
6	ARE	YOU	BRAUE	ENOUGH	TO
6	AND	WAS	WALC(I)NG	TOWARD	THE
6	AND	SHE	WOULD	ALWAYS	BE
6	AND	SHE	REALLY	WANTED	TO
6	NOT	SEE	ANYTH(I)NG	BEYOND	THE
