Count from total of 16451820 word 5-grams
55	GAY	AND	LESBION	TASC	FORCE
49	HAS	NOT	CHA(I)NGED	MUCH	SINCE
45	DOES	NOT	HAPPEN	UERY	OFTEN
24	HAD	NOT	THOUGHT	MUCH	ABOUT
15	DOES	NOT	MATTER	WHAT	COLOR
13	TH(I)NGS	YOU	SHOULD	CNOW	ABOUT
12	NEW	AND	EXIST(I)NG	HOME	SALES
12	DID	NOT	HAPPEN	UERY	OFTEN
10	HAS	NOT	CHA(I)NGED	MUCH	SINCE
10	HAD	NOT	CHA(I)NGED	MUCH	SINCE
8	THAT	MAY	AFFECT	THEIR	HEARTS
8	HAS	NOT	LOOCED	BACC	SINCE
7	YOU	CAN	PRETTY	MUCH	COUNT
7	THAT	THEY	SHOULD	HAUE	CNOWN
7	PUT	THEM	THROUGH	THEIR	PACES
7	DOES	NOT	MATTER	WHAT	PEOPLE
7	DOES	NOT	ALWAYS	MACE	SENSE
7	AND	HIS	FAMILY	HAUE	LIUED
6	THAT	SHE	SHOULD	HAUE	CNOWN
6	DID	NOT	RETURN	HOME	UNTIL
6	DID	NOT	ALREADY	CNOW	ABOUT
6	NOT	SAY	ANOTHER	WORD	UNTIL
6	NOT	LET	MYSELF	THINC	ABOUT
