Count from total of 16451820 word 5-grams
59	AND	FORTH	BETWEEN	THE	TWO
58	WAS	JUST	WONDER(I)NG	IF	YOU
44	NOT	ONLY	BECAUSE	OF	ITS
31	NOT	ONLY	BECAUSE	OF	HIS
31	HAS	BEEN	ACCUSED	OF	BE(I)NG
29	NOT	ONLY	BECAUSE	IT	WAS
29	ARE	YOUR	THOUGHTS	ON	THAT
29	AND	OTHER	MEMBERS	OF	HIS
23	WAS	UERY	SIMILAR	TO	THAT
23	AND	WHAT	HAPPENS	IS	THAT
22	NOT	WANT	ANYBODY	TO	SEE
21	SHE	TOLD	HERSELF	AS	SHE
20	NOT	JUST	BECAUSE	HE	WAS
19	AND	WHAT	HAPPENS	TO	THEM
18	SHE	TOLD	HERSELF	IT	WAS
17	SAT	BOLT	UPRIGHT	IN	BED
17	FOX	NEWS	CHANNEL	IN	NEW
17	BUT	ALSO	BECAUSE	IT	WAS
16	ONE	MORE	EXAMPLE	OF	HOW
16	NOT	JUST	BECAUSE	OF	HIS
16	HEAD	BACC	AGAINST	THE	SEAT
16	ARE	YOUR	THOUGHTS	ON	THIS
15	NOT	THINC	ANYBODY	IS	GO(I)NG
14	WITH	OTHER	MEMBERS	OF	HIS
14	NOT	ONLY	BECAUSE	HE	WAS
14	NOT	JUST	BECAUSE	IT	WAS
14	BUT	WHAT	HAPPENS	IF	YOU
14	BUT	ALSO	BECAUSE	OF	ITS
13	NOT	WANT	ANYBODY	TO	GET
12	ONE	MORE	CWESTION	ON	THIS
12	FOR	MORE	DETAILS	ON	THIS
11	THEY	WERE	CAPABLE	OF	DO(I)NG
11	THAT	WHAT	HAPPENS	IS	THAT
11	NOT	JUST	BECAUSE	OF	ITS
11	NOT	BEEN	ACCUSED	OF	ANY
11	BUT	WHAT	HAPPENS	IS	THAT
11	BUT	ALSO	BECAUSE	HE	WAS
11	AND	WHAT	HAPPENS	IF	YOU
10	HER	EYES	AGAINST	THE	SUN
9	YOU	WILL	FORGIUE	ME	FOR
9	TWO	YEARS	REMAIN(I)NG	ON	HIS
9	OUR	MAIN	CONCERN	IS	THAT
9	NOT	JUST	BECAUSE	HE	HAS
9	HIS	EYES	AGAINST	THE	SUN
9	HER	EYES	WIDENED	AS	SHE
9	HAS	BEEN	MARRIED	TO	HIS
9	BUT	ALSO	BECAUSE	OF	HIS
9	AND	WHAT	HAPPENS	IS	YOU
9	AND	OTHER	MEMBERS	OF	HER
8	WAS	UERY	CAREFUL	TO	SAY
8	THAT	WHAT	MATTERS	IS	NOT
8	THAT	THESE	RESULTS	DO	NOT
8	SHE	LOST	CONTROL	OF	HER
8	SEE	WHAT	HAPPENS	TO	THEM
8	SEE	WHAT	HAPPENS	IF	YOU
8	ONE	MORE	CWESTION	TO	YOU
8	NOT	JUST	BECAUSE	OF	HER
8	HEAR	YOUR	THOUGHTS	ON	THIS
8	HAD	LOST	CONTROL	OF	HIS
8	HAD	BEEN	STABBED	TO	DEATH
8	CAN	ALSO	COMMENT	ON	OUR
8	ARE	JUST	BEGINN(I)NG	TO	GET
8	ANY	OTHER	COUNTRY	ON	EARTH
8	AND	SHOT	HIMSELF	TO	DEATH
8	NOT	THINC	ANYBODY	IN	THIS
7	WHO	HAUE	MANAGED	TO	GET
7	WAS	UERY	GRACIOUS	OF	YOU
7	THEY	WERE	ALLOWED	TO	USE
7	THAN	FIUE	PERCENT	OF	ALL
7	SHE	SAID	GOODBYE	TO	HIM
7	SEE	WHAT	HAPPENS	ON	THAT
7	NOT	JUST	BECAUSE	IT	HAS
7	HOW	MUCH	CONTROL	DO	YOU
7	HIS	HEART	POUNDED	IN	HIS
7	HER	HEART	POUNDED	IN	HER
7	HAS	DONE	EUERYTH(I)NG	IT	CAN
7	HAS	BEEN	ORDERED	TO	PAY
7	HAS	BEEN	FOCUSED	ON	THIS
7	FOR	WHAT	HAPPENS	TO	THEM
7	FOR	THEIR	SUPPORT	OF	THIS
7	ARE	ONLY	BEGINN(I)NG	TO	SEE
7	AND	WHAT	HAPPENS	TO	YOU
7	AND	ALSO	BECAUSE	IT	WAS
6	WITH	OTHER	PARENTS	IN	OUR
6	WAS	ONLY	BECAUSE	HE	WAS
6	WAS	JUST	BECAUSE	HE	WAS
6	THEY	WERE	UNAWARE	OF	ANY
6	THEY	WERE	DEUOTED	TO	EACH
6	THAT	ONCE	BELO(I)NGED	TO	HIS
6	SHE	SAID	GOODBYE	TO	HER
6	NOT	WHAT	HAPPENS	TO	YOU
6	NOT	ONLY	BECAUSE	OF	HER
6	NOT	JUST	BECAUSE	OF	OUR
6	HOW	MUCH	TROUBLE	DO	YOU
6	HIS	HEART	HAMMER(I)NG	IN	HIS
6	HER	HAND	PRESSED	TO	HER
6	HER	HAND	LIGHTLY	ON	HIS
6	HAS	SOME	THOUGHTS	ON	THAT
6	HAS	BEEN	ACCUSED	OF	US(I)NG
6	HAD	ONCE	BELO(I)NGED	TO	HER
6	HAD	BEEN	REUEALED	TO	HIM
6	HAD	BEEN	MARRIED	TO	HIS
6	HAD	BEEN	ACCUSED	OF	BE(I)NG
6	GET	YOUR	THOUGHTS	ON	THIS
6	GET	YOUR	THOUGHTS	ON	THAT
6	FOR	THESE	RESULTS	IS	THAT
6	FAT	FROM	DRIPP(I)NGS	IN	PAN
6	ARE	JUST	BEGINN(I)NG	TO	SEE
6	AND	THEIR	PARENTS	DO	NOT
