Count from total of 16451820 word 5-grams
14	NOT	MEET	ADECWATE	DID	NOT
13	FOR	THOSE	STUDENTS	WHO	ARE
12	THAT	WHAT	HAPPENED	WAS	THAT
12	BUT	WHAT	HAPPENED	WAS	THAT
12	AND	WHAT	HAPPENED	WAS	THAT
11	HAS	BEEN	DESIGNED	FOR	USE
9	THEY	WERE	INFORMED	THAT	THEY
8	THAT	THEIR	CHILDREN	ARE	NOT
8	GOT	SOME	CWESTIONS	FOR	YOU
8	EAT(I)NG	MORE	CALORIES	THAN	YOU
8	BUT	SOME	ANALYSTS	SAY	THAT
8	AND	THEIR	FAMILIES	AND	ALL
7	HOW	MANY	CALORIES	YOU	ARE
7	AND	THEIR	FAMILIES	WHO	ARE
6	YOU	HAUE	CHILDREN	WHO	ARE
6	WITH	YOU(I)NG	CHILDREN	WHO	ARE
6	THAT	THOSE	STUDENTS	WHO	ARE
6	HAS	BEEN	REUNITED	WITH	HER
6	FOR	THEIR	CHILDREN	AND	THAT
6	FOR	THEIR	CHILDREN	AND	FOR
6	FAR	MORE	POWERFUL	THAN	ANY
6	AND	THEIR	FAMILIES	ARE	NOT
