Count from total of 16451820 word 5-grams
72	TWO	BIRDS	WITH	ONE	STONE
34	HIS	FATHER	AND	HIS	FATHER
33	HIS	FATHER	AND	HIS	MOTHER
33	FOR	PEOPLE	WHO	ARE	BLIND
27	HIS	MOTHER	AND	HIS	FATHER
26	SHE	SHOOC	HER	HEAD	AGAIN
22	SHE	COULD	GET	HER	HANDS
22	ONE	REASON	AND	ONE	REASON
20	YOU	COULD	NOT	SEE	ANYTH(I)NG
20	SHE	NEUER	SAW	HIM	AGAIN
18	ONE	WHITE	AND	ONE	BLACC
17	YOU	COULD	SAY	THAT	ABOUT
17	SHE	LIUED	WITH	HER	MOTHER
17	SHE	COULD	NOT	SEE	ANYTH(I)NG
17	HER	MOTHER	AND	HER	FATHER
16	HER	MOTHER	AND	HER	MOTHER
16	AND	WOMEN	WHO	ARE	SERU(I)NG
15	SHE	SHOOC	HER	HEAD	SADLY
15	SHE	FOUND	THAT	SHE	COULD
15	SHE	COULD	HEAR	HER	MOTHER
15	OUR	BRAUE	MEN	AND	WOMEN
15	ARE	PEOPLE	WHO	ARE	WILL(I)NG
14	SHE	LIUES	WITH	HER	MOTHER
14	ONE	BLACC	AND	ONE	WHITE
13	WHO	LIUES	WITH	HIS	MOTHER
13	FOR	WORC(I)NG	MEN	AND	WOMEN
13	FOR	PEOPLE	WITH	LOW	UISION
12	WHO	LIUES	WITH	HER	MOTHER
12	SHE	COULD	SEE	HER	MOTHER
12	FOR	PEOPLE	WHO	ARE	LOOC(I)NG
11	SHE	WOULD	NOT	SAY	ANYTH(I)NG
11	ARE	PEOPLE	WHO	ARE	STILL
10	YOU	CLUES	FOR	TWO	WORDS
10	WITH	OLIUE	OIL	AND	SEASON
10	WHO	COULD	READ	AND	WRITE
10	WHO	COULD	ASC	FOR	ANYTH(I)NG
10	SHE	WOULD	SEE	HIM	AGAIN
10	SHE	STUCC	OUT	HER	TO(I)NGUE
10	SHE	COULD	NOT	SAY	ANYTH(I)NG
10	HIS	FATHER	AND	HIS	UNCLE
10	HER	FATHER	AND	HER	MOTHER
10	FOR	PEOPLE	WHO	ARE	WORC(I)NG
10	ARE	WORC(I)NG	DAY	AND	NIGHT
10	AND	STUCC	OUT	HER	TO(I)NGUE
10	AND	SHOOC	HIS	HEAD	SADLY
10	AND	EUERY	NOW	AND	AGAIN
9	TH(I)NGS	COULD	NOT	GET	WORSE
9	THEY	FOUND	THAT	THEY	COULD
9	THAT	BLACC	MEN	AND	WOMEN
9	SHE	COULD	SEE	HER	FATHER
9	OUR	PANEL	AND	OUR	POWER
9	ONE	ADULT	AND	ONE	CHILD
9	AND	STUCC	OUT	HIS	TO(I)NGUE
8	WITH	OLIUE	OIL	AND	LEMON
8	THOU	SHALT	NOT	BEAR	FALSE
8	THEY	WOULD	NOT	SAY	ANYTH(I)NG
8	SHE	COULD	NOT	HEAR	ANYTH(I)NG
8	ONE	LARGE	AND	ONE	SMALL
8	FOR	BLACC	MEN	AND	WOMEN
7	THEY	COULD	NOT	SEE	ANYTH(I)NG
7	THAT	EUERY	MAN	AND	WOMAN
7	SHE	COULD	HEAR	HIS	UOICE
7	HIS	CHEST	WITH	BOTH	HANDS
7	FOR	PEOPLE	WHO	ARE	WILL(I)NG
7	EACH	CHILD	WITH	ONE	ADULT
7	ARE	PEOPLE	WHO	ARE	REALLY
7	AND	WHITE	MEN	AND	WOMEN
6	YOU	NEUER	SEE	THEM	AGAIN
6	YOU	COULD	NOT	GET	ANYTH(I)NG
6	WITH	PEOPLE	WHO	ARE	REALLY
6	WHO	LIUED	WITH	HIS	MOTHER
6	THEY	STILL	HAD	NOT	FOUND
6	THAT	REALLY	DOES	NOT	EXIST
6	TWO	DOSEN	MEN	AND	WOMEN
6	SHE	STOOD	WITH	HER	HANDS
6	SHE	STILL	HAS	NOT	FOUND
6	SHE	LIUES	WITH	HER	FATHER
6	NEW	WORLD	AND	OLD	WORLD
6	ICE	WATER	AND	SET	ASIDE
6	HOW	BLACC	MEN	AND	WOMEN
6	GET	WHERE	THEY	ARE	TODAY
6	BUT	WOULD	NOT	YOU	RATHER
6	BUT	FIRST	OUR	TOP	STORY
6	BUT	EUERY	NOW	AND	AGAIN
6	AND	WORC(I)NG	MEN	AND	WOMEN
6	AND	MAYBE	SHE	WAS	RIGHT
6	AND	ECWAL	PAY	FOR	ECWAL
6	ADD	SUGAR	AND	BEAT	UNTIL
6	NOT	TRADE	THIS	FOR	ANYTH(I)NG
6	NOT	TRADE	THEM	FOR	ANYTH(I)NG
6	NOT	REALLY	GET	GO(I)NG	UNTIL
6	NOT	BLAME	THEM	FOR	WANT(I)NG
6	NOT	BLAME	HIM	FOR	ANYTH(I)NG
