Count from total of 16451820 word 5-grams
28	SHE	COULD	THINC	ABOUT	WAS
22	FOR	SHAR(I)NG	YOUR	STORY	WITH
18	YOU	NEUER	CNOW	WHERE	YOU
15	HAS	NEUER	BEEN	CNOWN	FOR
14	THIS	STUDY	ALSO	FOUND	THAT
13	AND	OTHERS	HAUE	FOUND	THAT
13	NOT	UNTIL	MUCH	LATER	THAT
12	THAT	WOULD	HAUE	GIUEN	HIM
12	NOT	UNTIL	YEARS	LATER	THAT
11	WHO	COULD	HAUE	CNOWN	THAT
11	THEY	WOULD	HAUE	UOTED	FOR
11	THAN	ANYTH(I)NG	ELSE	RIGHT	NOW
10	ONE	COULD	ALSO	ARGUE	THAT
10	AND	OTHERS	HAUE	SHOWN	THAT
9	YOU	FIRST	HEARD	ABOUT	THIS
9	THEY	WOULD	HAUE	FOUND	THAT
9	HER	HANDS	WERE	SHAC(I)NG	AND
9	HAD	NEUER	BEEN	ANYTH(I)NG	BUT
9	CUP	FRESH	LIME	JUICE	CUP
9	ARE	RISC(I)NG	THEIR	LIUES	FOR
9	AND	SHAR(I)NG	YOUR	STORY	WITH
8	THIS	ESSAY	WILL	ARGUE	THAT
8	ONE	MIGHT	EUEN	ARGUE	THAT
8	HAD	NEUER	BEEN	CNOWN	FOR
8	NOT	REALLY	CARE	ABOUT	THAT
7	THAT	COMES	FROM	CNOW(I)NG	YOU
7	SHE	WOULD	HAUE	CNOWN	THAT
6	YOU	WOULD	HAUE	LICED	HIM
6	YOU	NEUER	CNOW	WHERE	THEY
6	YOU	NEUER	CNOW	WHERE	THAT
6	WAS	SEUEN	YEARS	OLDER	THAN
6	WAS	EIGHT	YEARS	OLDER	THAN
6	THEY	WOULD	HAUE	CNOWN	THAT
6	THEY	WOULD	HAUE	ASCED	FOR
6	THAT	COULD	HAUE	SAUED	HIS
6	SHE	WOULD	HAUE	LICED	THAT
6	NOT	REALLY	SURE	ABOUT	THAT
6	NOT	CWITE	SURE	ABOUT	THAT
6	HIS	HANDS	WERE	LARGE	AND
6	HIS	FIRST	FULL	SEASON	WITH
6	HAS	GROWN	FROM	FEWER	THAN
6	GET	CALLS	FROM	PEOPLE	WHO
6	FOR	ABOUT	THREE	MONTHS	AND
6	EACH	FRESH	LIME	JUICE	AND
6	AIR	FORCE	LESS	OFTEN	THAN
