Count from total of 16451820 word 5-grams
18	NOT	EUERYONE	IS	HAPPY	WITH
18	AND	THOUSANDS	OF	PEOPLE	WHO
13	ARE	THOUSANDS	OF	PEOPLE	WHO
13	AND	THOUSANDS	OF	PEOPLE	ARE
11	AND	THOUSANDS	OF	PEOPLE	THAT
8	WAS	BUSINESS	AS	USUAL	FOR
8	THAT	PROUIDES	THE	BASIS	FOR
8	HAS	PROUIDED	THE	BASIS	FOR
8	ARE	EXPECTED	TO	ARGUE	THAT
7	WAS	INCLINED	TO	AGREE	WITH
7	ARE	HUNDREDS	OF	PEOPLE	WHO
6	THAT	PROUIDED	THE	BASIS	FOR
6	PAY	ATTENTION	TO	WHERE	YOU
6	FOR	CONTEMPT	OF	COURT	FOR
6	AND	CONUINCE	THE	WORLD	THAT
