Count from total of 16451820 word 5-grams
47	HAUE	NOT	DONE	ANYTH(I)NG	WRO(I)NG
40	WHEN	YOU	THINC	ABOUT	WHAT
32	WHAT	THEY	WERE	GETT(I)NG	INTO
31	WHEN	YOU	COME	RIGHT	DOWN
29	BREAC	AND	COME	RIGHT	BACC
29	BACC	WITH	YOUR	CNEES	BENT
26	HAUE	NOT	SEEN	ANYTH(I)NG	LICE
25	OUER	AND	OUER	AGAIN	FROM
25	MORE	AND	MORE	PEOPLE	HAUE
24	HAUE	NOT	HEARD	ANYTH(I)NG	FROM
21	THOSE	WHO	LOST	LOUED	ONES
20	MORE	AND	MORE	PEOPLE	WILL
19	WHAT	YOU	WERE	GETT(I)NG	INTO
19	THERE	ARE	ALSO	TIMES	WHEN
19	STOP	AND	THINC	ABOUT	WHAT
18	CNOW	HOW	MANY	PEOPLE	HAUE
17	WHEN	YOU	THINC	ABOUT	YOUR
16	THERE	HAD	BEEN	TIMES	WHEN
16	THERE	ARE	OTHER	TIMES	WHEN
16	MORE	AND	MORE	PEOPLE	WERE
16	FIND	OUT	MORE	ABOUT	WHAT
15	THERE	ARE	SOME	PEOPLE	HERE
15	THERE	ARE	MANY	TIMES	WHEN
14	LESS	THAN	THREE	MILES	FROM
14	CNOW	HOW	MANY	PEOPLE	WERE
13	WHEN	YOU	TALC	ABOUT	WHAT
13	ONION	AND	COOC	UNTIL	SOFT
13	LESS	THAN	THREE	WEECS	AWAY
13	LESS	THAN	FIUE	MILES	FROM
13	HAUE	YOU	HEARD	ANYTH(I)NG	FROM
12	THOSE	WHO	HAUE	NEUER	BEEN
12	MORE	AND	MORE	PEOPLE	WANT
12	MORE	AND	MORE	PEOPLE	FROM
11	THINC	TOO	MUCH	ABOUT	WHAT
11	MORE	YOU	CNOW	ABOUT	YOUR
11	BACC	AND	TALC	ABOUT	SOME
10	WHAT	YOU	THINC	ABOUT	WHAT
10	THERE	ARE	MANY	PEOPLE	HERE
10	OUER	AND	OUER	AGAIN	DUR(I)NG
10	MORE	AND	MORE	ABOUT	LESS
10	GREAT	DEAL	MORE	STILL	AHEAD
10	FIND	OUT	MORE	ABOUT	YOUR
10	FIND	OUT	MORE	ABOUT	THESE
9	WHEN	YOU	TALC	ABOUT	THESE
9	OUER	AND	OUER	AGAIN	INTO
9	MORE	AND	MORE	PEOPLE	INTO
9	LICE	YOU	HAUE	NEUER	SEEN
8	WHEN	THEY	TALC	ABOUT	THEIR
8	THERE	ARE	SOME	REALLY	GREAT
8	THERE	ARE	SOME	REALLY	GOOD
8	THEIR	OWN	IDEAS	ABOUT	WHAT
8	OUER	AND	OUER	AGAIN	LICE
8	MUCH	FOR	YOUR	PHONE	CALL
8	MORE	THAN	THREE	TIMES	WHAT
8	MORE	AND	MORE	MONEY	INTO
8	LESS	THAN	FIUE	MILES	AWAY
8	HAIR	HAD	COME	LOOSE	FROM
8	FIND	OUT	MORE	ABOUT	THEIR
8	FACT	THAT	SOME	PEOPLE	HAUE
8	DOWN	AND	THINC	ABOUT	WHAT
7	WHEN	YOU	CAME	RIGHT	DOWN
7	WHAT	YOU	CNOW	ABOUT	YOUR
7	WHAT	YOU	CNOW	ABOUT	WHAT
7	THERE	ARE	EUEN	TIMES	WHEN
7	HAIR	AND	DARC	BROWN	EYES
7	GIUE	YOU	YOUR	MONEY	BACC
7	DOWN	AND	TALC	ABOUT	WHAT
7	CNOW	THAT	OTHER	PEOPLE	HAUE
7	BACC	AND	FORTH	ABOUT	WHAT
6	WHEN	YOU	TALC	ABOUT	YOUR
6	WHEN	YOU	TALC	ABOUT	THOSE
6	WHAT	YOU	SAID	ABOUT	YOUR
6	WHAT	WAS	YOUR	FIRST	CLUE
6	WHAT	DOES	YOUR	MOTHER	THINC
6	THOSE	WHO	HAUE	NEUER	SEEN
6	THINC	THAT	THERE	WOULD	HAUE
6	THERE	ARE	THOSE	TIMES	WHEN
6	THERE	ARE	OTHER	PEOPLE	LICE
6	OUER	AND	OUER	AGAIN	WHAT
6	OUER	AND	OUER	AGAIN	OUER
6	MORE	THAN	FOUR	TIMES	WHAT
6	MORE	AND	MORE	WOMEN	HAUE
6	MORE	AND	MORE	PEOPLE	COME
6	MORE	AND	MORE	PEOPLE	CAME
6	MORE	AND	MORE	OFTEN	THESE
6	MORE	AND	MORE	ABOUT	WHAT
6	LIFE	HAS	BEEN	TACEN	AWAY
6	LESS	THAN	THREE	HOURS	FROM
6	HAUE	ANY	IDEAS	ABOUT	WHAT
6	FIND	OUT	WHAT	WORCS	BEST
6	FACT	THAT	THESE	PEOPLE	WERE
6	CNOW	HOW	MANY	PEOPLE	WILL
6	BACC	AND	THINC	ABOUT	WHAT
6	ARMS	AND	LEGS	SPREAD	WIDE
