Count from total of 16451820 word 5-grams
96	FRY(I)NG	PAN	OUER	MEDIUM	HEAT
78	THERE	ARE	MANY	REASONS	FOR
67	THERE	ARE	MANY	REASONS	WHY
61	THERE	ARE	GOOD	REASONS	FOR
32	PUTS	HIS	ARMS	AROUND	HER
27	THREW	HER	ARMS	AROUND	HIM
27	THREW	HER	ARMS	AROUND	HER
24	FROM	HIS	COAT	POCCET	AND
22	PUTS	HER	ARMS	AROUND	HIM
21	FROM	HIS	BACC	POCCET	AND
20	THERE	ARE	OTHER	REASONS	FOR
19	THERE	ARE	GOOD	REASONS	WHY
19	INTO	HIS	BACC	POCCET	AND
18	THREW	HER	ARMS	AROUND	HIS
17	THERE	ARE	OTHER	REASONS	WHY
17	INTO	HIS	COAT	POCCET	AND
16	THOSE	WHO	HAUE	WORCED	WITH
15	THERE	ARE	OTHER	ISSUES	THAT
14	THERE	ARE	SOME	ISSUES	THAT
14	RUNS	HIS	HAND	THROUGH	HIS
13	WERE	FAR	MORE	LICELY	THAN
12	HAUE	NOT	BEEN	AROUND	LO(I)NG
11	WHEN	THEY	WERE	YOU(I)NGER	AND
11	WENT	ONE	STEP	FURTHER	AND
11	THERE	ARE	THREE	REASONS	FOR
11	TACE	OFF	YOUR	CLOTHES	AND
11	LEAST	TEN	YEARS	YOU(I)NGER	THAN
11	BODY	ART	THEIR	BODIES	BEAR
11	BACC	AND	FORTH	ACROSS	HIS
10	WHAT	THEY	HAUE	LEARNED	AND
10	THREW	HIS	ARMS	AROUND	HIS
10	THERE	ARE	THREE	REASONS	WHY
10	RISC	FOR	HEART	DISEASE	AND
10	RISC	FOR	HEART	ATTACC	AND
10	HELP	YOU	LOSE	WEIGHT	AND
10	HAUE	YOU	EUER	THOUGHT	THAT
9	THERE	HAD	BEEN	RUMORS	THAT
9	SAID	THEY	WERE	PLEASED	WITH
9	ROOM	WAS	DARC	EXCEPT	FOR
9	MORE	AND	MORE	STATES	ARE
9	LIFE	HAS	BEEN	FILLED	WITH
8	WHEN	YOU	WERE	LITTLE	AND
8	WHEN	YOU	HAUE	SOMEONE	WHO
8	WHAT	YOU	HAUE	BEFORE	YOU
8	WHAT	THEY	WERE	FIGHT(I)NG	FOR
8	THOSE	WHO	CAME	BEFORE	THEM
8	THERE	WAS	SOME	THOUGHT	THAT
8	THERE	ARE	SOME	STATES	THAT
8	THERE	ARE	SOME	PLACES	THAT
8	THERE	ARE	OTHER	STATES	THAT
8	THERE	ARE	MANY	CAUSES	FOR
8	TACE	OFF	THEIR	CLOTHES	AND
8	SOUP	POT	OUER	MEDIUM	HEAT
8	MORE	AND	MORE	LICELY	THAT
8	MALE	ALL	MALE	FEMALE	ALL
8	LINE	TWO	BAC(I)NG	SHEETS	WITH
7	WHAT	YOU	WANT	BEFORE	YOU
7	WHAT	WAS	GOOD	ENOUGH	FOR
7	THREW	HIS	ARMS	AROUND	HER
7	THERE	ARE	OTHER	REASONS	THAT
7	SLID	HIS	ARMS	AROUND	HER
7	ONLY	TWO	YEARS	YOU(I)NGER	THAN
7	LESS	AND	LESS	LICELY	THAT
7	GIUE	HIM	SOME	CREDIT	FOR
7	CNOW	EACH	OTHER	BETTER	AND
6	WHEN	YOU	MEET	SOMEONE	AND
6	WHEN	YOU	LEAST	EXPECT	THEM
6	WHAT	HAS	BEEN	LEARNED	AND
6	WERE	NOT	GOOD	ENOUGH	FOR
6	THESE	AND	OTHER	ISSUES	ARE
6	THERE	ARE	MANY	REASONS	THAT
6	THERE	ARE	MANY	GROUPS	THAT
6	PUTS	HER	ARMS	AROUND	HER
6	MACE	YOU	FEEL	BETTER	THAN
6	LEAST	ONE	RISC	FACTOR	FOR
6	HEART	HAD	BEEN	RIPPED	OUT
6	HAUE	NOT	SAID	WHETHER	THEY
6	HAUE	NOT	BEEN	WORCED	OUT
6	HAUE	NOT	BEEN	TESTED	FOR
6	HAUE	NOT	SAID	WHETHER	THEY
6	BOYS	ARE	MORE	LICELY	THAN
6	BACC	AND	FORTH	ACROSS	THIS
6	BACC	AND	FORTH	ACROSS	HER
