Count from total of 16451820 word 5-grams
66	HOLD	YOUR	HAND	AT	GRILL
58	WENT	BACC	INTO	THE	HOUSE
47	WHEN	PUSH	CAME	TO	SHOUE
30	WILL	COME	BACC	TO	HAUNT
30	THERE	WERE	LOTS	OF	PEOPLE
22	HAUE	BEEN	ABLE	TO	AUOID
19	HAUE	BEEN	AMO(I)NG	THE	FIRST
17	HAUE	BEEN	ABLE	TO	BUILD
16	THERE	HAUE	BEEN	NO	MAJOR
16	HAUE	MORE	TIME	TO	SPEND
16	HAUE	BEEN	USED	TO	STUDY
15	HAUE	BEEN	ABLE	TO	RAISE
13	HAUE	BEEN	ABLE	TO	WRITE
12	TACE	SOME	CIND	OF	ACTION
12	PUSH	AWAY	FROM	THE	TABLE
12	MUST	HAUE	BEEN	THE	FIRST
12	MOU(I)NG	FROM	LEFT	TO	RIGHT
12	GREAT	CARE	MUST	BE	TACEN
12	COME	BACC	FROM	THE	GRAUE
11	YEARS	HAUE	GONE	BY	SINCE
11	WORC	LATE	INTO	THE	NIGHT
11	HAUE	COME	HOME	TO	ROOST
11	HAUE	COME	BACC	TO	HAUNT
11	HAUE	BEEN	ABLE	TO	DRIUE
11	HAUE	BEEN	ABLE	TO	CREATE
11	EYES	HAUE	SEEN	THE	GLORY
10	MUST	HAUE	BEEN	AN	AMAS(I)NG
10	HAUE	BEEN	ABLE	TO	CARRY
9	UERY	MUCH	ALO(I)NG	THE	LINES
9	STEP	BACC	FROM	THE	BRINC
9	ONCE	MORE	INTO	THE	BREACH
9	MACE	SOME	CIND	OF	SENSE
9	HAUE	BEEN	ABLE	TO	STUDY
8	WILL	TACE	TIME	TO	BUILD
8	SAID	THERE	WERE	NO	PLANS
8	PULL	BACC	FROM	THE	BRINC
8	HAUE	BEEN	JUST	AS	HAPPY
8	HAUE	BEEN	ABLE	TO	SLEEP
8	HARD	TIME	COM(I)NG	TO	GRIPS
8	CNOW	WHAT	CIND	OF	PEOPLE
8	CNOW	WHAT	CIND	OF	MOTHER
8	CAME	DOWN	FROM	THE	HILLS
8	CAME	BACC	INTO	THE	HOUSE
7	WORC	FROM	DARC	TO	LIGHT
7	WILL	ALSO	MACE	IT	EASIER
7	WILL	ALSO	HAUE	TO	CHA(I)NGE
7	WELL	HAUE	BEEN	THE	FIRST
7	WALC	AWAY	FROM	THE	TABLE
7	STAY	AWAY	FROM	THE	POLLS
7	SAME	PAGE	WHEN	IT	COMES
7	HAUE	LESS	TIME	TO	SPEND
7	HAUE	BEEN	USED	TO	BUILD
7	HAUE	BEEN	SLOW	TO	ADOPT
7	HAUE	BEEN	ABLE	TO	STAND
7	HAUE	BEEN	ABLE	TO	SHOOT
7	HAUE	BEEN	ABLE	TO	PIECE
7	HAUE	BEEN	ABLE	TO	FOCUS
7	HAUE	BEEN	ABLE	TO	CHA(I)NGE
7	COME	DOWN	FROM	THE	HILLS
7	BULB	HA(I)NG(I)NG	FROM	THE	CEIL(I)NG
6	WILL	ONLY	MACE	IT	WORSE
6	WENT	BACC	INTO	THE	STUDIO
6	TACE	SOME	SORT	OF	ACTION
6	STAY	AWAY	FROM	THE	HOUSE
6	PULL	AWAY	FROM	THE	SIDES
6	ONCE	MORE	UNTO	THE	BREACH
6	MUST	HAUE	BEEN	THE	RIGHT
6	MUST	HAUE	BEEN	THE	REASON
6	MOUE	BACC	INTO	THE	HOUSE
6	HAUE	MORE	TIME	TO	ENJOY
6	HAUE	COME	HERE	IN	SEARCH
6	HAUE	BEEN	TRY(I)NG	TO	CREATE
6	HAUE	BEEN	SLOW	TO	CHA(I)NGE
6	HAUE	BEEN	ABLE	TO	SPEND
6	HAUE	BEEN	ABLE	TO	SERUE
6	HAUE	BEEN	ABLE	TO	OFFER
6	HAUE	BEEN	ABLE	TO	GUESS
6	HAUE	BEEN	ABLE	TO	ENJOY
6	HAUE	BEEN	ABLE	TO	APPLY
6	HARD	TIME	COM(I)NG	TO	TERMS
6	FEET	AWAY	FROM	THE	HOUSE
6	EUEN	CNOW	WHAT	HE	LOOCS
6	DOOR	SWU(I)NG	OPEN	TO	REUEAL
6	BEEN	THERE	FROM	THE	START
6	BACC	DOWN	INTO	THE	WATER
