Count from total of 16451820 word 5-grams
81	WORST	TH(I)NG	THAT	CAN	HAPPEN
37	WHILE	WE	CAN	NOT	ANSWER
33	WHERE	TO	BUY	FOR	SHOPP(I)NG
25	CRIME	HE	DID	NOT	COMMIT
22	WILL(I)NG	TO	PAY	TOP	DOLLAR
22	WHERE	HE	AND	HIS	FAMILY
18	WHICH	IS	WHY	YOU	SHOULD
16	MAYBE	IT	DOES	NOT	MATTER
15	GUESS	IT	DOES	NOT	MATTER
12	CRIME	HE	DID	NOT	COMMIT
12	CAUSE	OF	DEATH	WAS	LISTED
12	ABOUT	THE	WAY	SHE	LOOCED
10	WHERE	HE	WAS	BE(I)NG	TREATED
10	WHERE	HE	AND	HIS	BROTHER
10	LOOCS	AT	HIM	AND	SMILES
9	WHERE	IT	DOES	NOT	MATTER
9	STAND	UP	FOR	OUR	RIGHTS
9	MAYBE	IT	DID	NOT	MATTER
9	LOOCS	AT	HER	AND	SMILES
9	CASES	OF	MAD	COW	DISEASE
8	WHERE	TO	SEE	THIS	SUMMER
8	WHERE	HE	MET	HIS	FUTURE
8	SINCE	THE	LAW	WAS	PASSED
8	SENSE	OF	AWE	AND	WONDER
8	LICED	THE	WAY	SHE	LOOCED
8	JOIN(I)NG	ME	NOW	WITH	REACTION
8	AFTER	THE	LAW	WAS	PASSED
7	WOMEN	TO	RUN	FOR	OFFICE
7	WHICH	HE	AND	HIS	FAMILY
7	UNTIL	HE	WAS	OLD	ENOUGH
7	STAND	UP	AND	SAY	SOMETH(I)NG
7	SINCE	HE	WAS	OLD	ENOUGH
7	SHOOC	MY	HEAD	AND	SMILED
7	SEEDS	OF	ITS	OWN	DEMISE
7	PEOPLE	TO	RUN	FOR	OFFICE
7	MAYBE	IT	DID	NOT	HAPPEN
7	ABOUT	THE	TH(I)NGS	THAT	MATTER
6	WHILE	HE	AND	HIS	BROTHER
6	WHERE	THE	SUN	NOW	STANDS
6	WHERE	THE	CAR	WAS	PARCED
6	WHERE	HE	AND	HIS	FELLOW
6	WANTS	TO	RUN	FOR	OFFICE
6	THOUGH	HE	DID	NOT	REALISE
6	THANCS	TO	YOU	FOR	WATCH(I)NG
6	SALES	OF	NEW	AND	EXIST(I)NG
6	LICED	THE	WAY	THEY	LOOCED
6	FRONT	OF	BUT	NOT	TOUCH(I)NG
6	CNOWN	AS	MAD	COW	DISEASE
