Count from total of 16451820 word 5-grams
82	DOUBT	IN	YOUR	MIND	THAT
81	WANTS	TO	MACE	SURE	THAT
81	ABOUT	THE	SAME	TIME	THAT
46	WIPED	THE	SWEAT	FROM	HIS
45	ORDER	TO	MACE	SURE	THAT
40	WHERE	THE	HELL	HAUE	YOU
38	EIGHT	OR	NINE	YEARS	OLD
37	ASCED	IF	THERE	WERE	ANY
36	SPEND	AS	MUCH	TIME	WITH
27	WIPES	THE	SWEAT	FROM	HIS
27	WHICH	IS	GOOD	NEWS	FOR
25	ORDER	TO	MACE	ROOM	FOR
24	WRITE	IN	YOUR	BOOC	THAT
24	STEPS	TO	MACE	SURE	THAT
23	UNDER	THE	SAME	ROOF	WITH
23	SPENT	SO	MUCH	TIME	WITH
23	RIGHT	TO	MACE	THEIR	OWN
23	CHECC	TO	MACE	SURE	THAT
23	ABOUT	AN	HOUR	FROM	NOW
22	COMES	TO	MIND	WHEN	YOU
20	TRIED	TO	MACE	SURE	THAT
20	SPEND	SO	MUCH	TIME	WITH
20	MACES	IT	UERY	CLEAR	THAT
19	WOULD	BE	NOTH(I)NG	MORE	THAN
19	WIPED	THE	TEARS	FROM	HER
19	ASIDE	TO	MACE	ROOM	FOR
18	WOULD	BE	UERY	GOOD	FOR
18	EIGHT	OR	NINE	YEARS	AGO
18	ABOUT	THE	LAST	TIME	YOU
17	WOULD	DO	MORE	HARM	THAN
17	WHICH	IS	NOTH(I)NG	MORE	THAN
17	SPENT	SO	MUCH	TIME	AND
17	PLACE	TO	MACE	SURE	THAT
17	HOLD(I)NG	THE	DOOR	OPEN	FOR
16	WHERE	IT	CAME	FROM	AND
16	SEEMS	TO	HAUE	LOST	ITS
16	MIGHT	AS	WELL	TELL	YOU
16	JOINS	US	LIUE	FROM	NEW
15	WOULD	BE	WORTH	MORE	THAN
15	WOULD	BE	UERY	HARD	FOR
15	WOULD	BE	NOTH(I)NG	LESS	THAN
15	WOULD	BE	GOOD	NEWS	FOR
15	SPEND	SO	MUCH	TIME	AND
15	SEEMS	TO	HAUE	PAID	OFF
15	PEOPLE	TO	MACE	THEIR	OWN
15	NEEDS	TO	MACE	SURE	THAT
15	HOLDS	THE	DOOR	OPEN	FOR
15	FIGHT	TO	MACE	SURE	THAT
15	COULD	DO	MORE	HARM	THAN
15	ABOUT	THE	SAME	SISE	AND
15	ABOUT	SO	MUCH	MORE	THAN
14	WOMEN	AT	HIGH	RISC	FOR
14	WHERE	HE	CAME	FROM	AND
14	SINCE	THE	LAST	TIME	SHE
14	OPENS	THE	BACC	DOOR	AND
14	MIGHT	DO	MORE	HARM	THAN
14	LEAUES	THE	DOOR	OPEN	FOR
14	COLOR	OF	THEIR	SCIN	BUT
13	WHICH	IS	JUST	FINE	WITH
13	WANTS	TO	CNOW	WHAT	YOU
13	SEEMS	TO	HAUE	LOST	HIS
13	SEEMS	TO	HAUE	BEEN	ONE
13	POWER	TO	MACE	SURE	THAT
13	OFFER	THE	BEST	HOPE	FOR
13	MACES	ME	FEEL	GOOD	THAT
13	BASED	ON	NOTH(I)NG	MORE	THAN
13	AFTER	THE	BOOC	CAME	OUT
12	WHERE	THE	HELL	WERE	YOU
12	WANTS	TO	MACE	SURE	YOU
12	TERMS	OF	MAC(I)NG	SURE	THAT
12	SMILE	ON	YOUR	FACE	AND
12	SEEMS	TO	HAUE	BEEN	THAT
12	MIGHT	AS	WELL	HAUE	HAD
12	MACES	IT	UERY	HARD	FOR
11	WHICH	IS	MUCH	MORE	THAN
11	WHERE	WE	WERE	LAST	YEAR
11	SINCE	THE	LAST	TIME	YOU
11	PEOPLE	TO	MACE	SURE	THAT
11	PERIOD	OF	TIME	WHEN	THEY
11	COULD	TO	MACE	SURE	THAT
11	COULD	BE	NOTH(I)NG	MORE	THAN
11	ABOUT	THE	SAME	TIME	AND
10	WORC(I)NG	TO	MACE	SURE	THAT
10	WHICH	IS	UERY	GOOD	FOR
10	WHERE	WE	COME	FROM	AND
10	WHERE	THE	BOMB	WENT	OFF
10	WANTS	TO	MACE	SURE	THEY
10	SPENT	AS	MUCH	TIME	WITH
10	PEOPLE	AT	HIGH	RISC	FOR
10	PARTS	OF	YOUR	BODY	THAT
10	OUGHT	TO	MACE	SURE	THAT
10	COULD	IT	HAUE	BEEN	THAT
10	COULD	BE	WORTH	MORE	THAN
10	COULD	BE	GOOD	NEWS	FOR
10	CNOCC	ON	YOUR	DOOR	AND
