Count from total of 16451820 word 5-grams
27	COULD	HAUE	GONE	EITHER	WAY
25	WOULD	HAUE	DONE	ANYTH(I)NG	FOR
18	WOULD	HAUE	BEEN	EASIER	FOR
17	WOULD	HAUE	BEEN	HAPPY	WITH
17	PEOPLE	HAUE	BEEN	WAIT(I)NG	FOR
12	LADLE	SOUP	INTO	BOWLS	AND
11	WOULD	HAUE	BEEN	THROWN	OUT
8	WOULD	MACE	LIFE	EASIER	FOR
8	WOULD	HAUE	BEEN	WORSE	HAD
8	WOULD	GIUE	THEIR	RIGHT	ARM
8	MIGHT	HAUE	BEEN	LOOC(I)NG	FOR
7	WOULD	HAUE	BEEN	WIPED	OUT
7	COULD	HAUE	EUER	HOPED	FOR
6	WOULD	HAUE	BEEN	WAIT(I)NG	FOR
6	WOULD	HAUE	BEEN	LOOC(I)NG	FOR
6	UNTIL	MANY	YEARS	LATER	THAT
6	TACEN	FROM	THEIR	HOMES	AND
6	STILL	UERY	MUCH	ALIUE	AND
6	PEOPLE	HAUE	BEEN	LOOC(I)NG	FOR
6	MIGHT	HAUE	BEEN	WAIT(I)NG	FOR
6	HANDS	OUER	THEIR	MOUTHS	AND
6	COULD	HAUE	BEEN	SPEAC(I)NG	FOR
6	ABOUT	WHAT	OTHER	PEOPLE	ARE
6	ABOUT	FIUE	YEARS	OLDER	THAN
