Count from total of 16451820 word 5-grams
34	MATTER	HOW	YOU	SLICE	IT
20	FISCAL	YEAR	THAT	ENDED	IN
18	THOUGHT	THAT	THEY	WOULD	BE
18	THOUGHT	SHE	WAS	ABOUT	TO
17	THOUGHT	THAT	THIS	WOULD	BE
16	CAREER	WAS	CUT	SHORT	BY
16	ANYONE	WHO	HAS	TRIED	TO
14	THOUGHT	THAT	THAT	WOULD	BE
13	FILLED	WITH	ALL	SORTS	OF
13	FILLED	WITH	ALL	CINDS	OF
12	WHETHER	THEY	ARE	WILL(I)NG	TO
12	WAITED	FOR	HER	MOTHER	TO
12	REASONS	FOR	NOT	WANT(I)NG	TO
12	ANYONE	WHO	HAS	LIUED	IN
11	WORCED	DAY	AND	NIGHT	TO
11	UOTERS	ARE	BE(I)NG	ASCED	TO
11	UNLESS	YOU	ARE	WILL(I)NG	TO
11	THOUGHT	THAT	SHE	WOULD	BE
11	SAMPLE	WAS	TOO	SMALL	TO
10	THOUGHT	THAT	SHE	MIGHT	BE
10	CANCER	THAT	HAS	SPREAD	TO
9	REACHES	OUT	AND	GRABS	THE
9	LICELY	THAT	THEY	WOULD	BE
9	ENOUGH	FOR	TWO	PEOPLE	TO
8	WHETHER	YOU	ARE	WILL(I)NG	TO
8	POINTS	OUT	THAT	WHILE	THE
8	CANCER	THAT	HAD	SPREAD	TO
8	ADULTS	WHO	ARE	BLIND	OR
7	SPEND(I)NG	ALL	THIS	MONEY	ON
7	SOMETH(I)NG	THAT	CAN	NEUER	BE
7	PERSON	YOU	ARE	TALC(I)NG	TO
7	MILLION	MEN	AND	WOMEN	IN
7	LEADERS	WHO	ARE	WILL(I)NG	TO
7	HIGHER	THAN	THAT	FOUND	IN
7	EARLIER	THIS	YEAR	AFTER	THE
7	CHANCE	THAT	SHE	WOULD	BE
7	AGREED	THAT	THIS	WOULD	BE
6	WONDER	WHO	THAT	COULD	BE
6	WHETHER	SHE	WAS	TELL(I)NG	THE
6	WAITED	FOR	HIS	FATHER	TO
6	UNLESS	THEY	ARE	WILL(I)NG	TO
6	STAND(I)NG	WITH	HIS	HANDS	ON
6	STAND(I)NG	WITH	HER	HANDS	ON
6	REACHED	OUT	AND	TRIED	TO
6	RESENT	YOU	FOR	TALC(I)NG	TO
6	RECENT	YEAR	FOR	WHICH	THE
6	NATIUE	WHO	HAS	LIUED	IN
6	LETTER	THAT	YOU	WROTE	TO
6	FASTER	THAN	THEY	COULD	BE
6	CALLED	HIM	AND	ASCED	IF
6	BEHIND	HIM	AND	TURNS	TO
6	BEFORE	YOU	CAN	BEGIN	TO
6	BEFORE	THEY	ARE	WILL(I)NG	TO
6	BEFORE	SHE	WAS	ABOUT	TO
6	ANYONE	WHO	WAS	WILL(I)NG	TO
6	AFRAID	THAT	SHE	WOULD	BE
