Count from total of 16451820 word 5-grams
28	SOMEONE	WHO	CNOWS	HOW	TO
27	TURNED	AND	HEADED	FOR	THE
12	SCILLS	THAT	ALLOW	THEM	TO
12	COUER(I)NG	THIS	STORY	FOR	THE
11	SOMETH(I)NG	THAT	COULD	NOT	BE
11	PRIMER	FOR	WORC(I)NG	WITH	THE
11	POCCET	AND	PULLS	OUT	THE
11	INLAID	MAP	SHOWS	AREA	OF
10	SOMETH(I)NG	THAT	COULD	NOT	BE
10	FIGURE	OUT	WHICH	WAY	TO
9	SOMETH(I)NG	THAT	COMES	OUT	OF
9	INLAID	MAP	SHOWS	AREA	IN
8	THOUGHT	SHE	WOULD	NOT	BE
8	STICCS	HER	TO(I)NGUE	OUT	AT
8	HIGHER	MEAN	SCORE	THAN	THE
8	EUENTS	THAT	WOULD	LEAD	TO
7	WINDOW	AND	LOOCS	OUT	AT
7	WATCH(I)NG	AND	WAIT(I)NG	FOR	THE
7	SOMETH(I)NG	THAT	MIGHT	NOT	BE
7	RETURN	YEAR	AFTER	YEAR	TO
7	EFFECT	WAS	FOUND	FOR	THE
7	CHURCH	AND	STATE	AND	THE
7	BEFORE	SHE	COULD	GET	TO
6	WINDOW	SHE	COULD	SEE	THE
6	WHETHER	YOU	UOTED	FOR	ME
6	WHETHER	YOU	AGREE	WITH	IT
6	THOUGHT	THEY	WOULD	NOT	BE
6	SOMETH(I)NG	THAT	WOULD	NOT	BE
6	SOMETH(I)NG	THAT	WOULD	NOT	BE
6	SECOND	SET	PIECE	FOR	THE
6	FIGURE	OUT	WHICH	ONE	OF
6	FIGURE	OUT	WHICH	ONE	IS
6	BUTTER	AND	OLIUE	OIL	IN
6	BEYOND	ANY	DOUBT	THAT	THE
