Count from total of 16451820 word 5-grams
32	PIERCED	WITH	TIP	OF	CNIFE
22	WONDER(I)NG	HOW	LO(I)NG	IT	WOULD
15	BECAUSE	THAT	WAS	THE	FIRST
14	BECAUSE	THEY	ARE	NO	LO(I)NGER
13	BECAUSE	SHE	WAS	THE	FIRST
11	PROBLEM	WAS	THAT	HE	COULD
11	BECAUSE	THIS	WAS	THE	FIRST
10	REALISED	THAT	FOR	THE	FIRST
10	PROUIDE	THEM	WITH	THE	TOOLS
10	BECAUSE	THEY	CAN	NO	LO(I)NGER
9	MEASURES	THAT	CAN	BE	TACEN
8	PERHAPS	THAT	WAS	THE	REASON
8	BETWEEN	HIM	AND	THE	WORLD
7	PROBLEM	THAT	CAN	BE	FIXED
7	PRAYERS	ARE	WITH	THE	PEOPLE
7	POINTED	OUT	THAT	IT	WOULD
7	FIGURED	OUT	HOW	TO	BUILD
7	ASSURED	HIM	THAT	HE	WOULD
6	TEMPERA	AND	OIL	ON	PANEL
6	FAILURE	WAS	NOT	AN	OPTION
6	COUNTRY	AND	FOR	THE	WORLD
6	BECAUSE	THEY	ARE	THE	PEOPLE
6	ASSURED	HIM	THAT	IT	WOULD
