Count from total of 16451820 word 5-grams
30	BETWEEN	ONE	MAN	AND	ONE
30	BECAUSE	THEY	DID	NOT	GET
21	REALISED	THAT	SHE	DID	NOT
19	REALISED	THAT	SHE	HAD	NOT
17	REALISED	THAT	THIS	WAS	NOT
15	LESBIONS	AND	GAY	MEN	ARE
15	DECIDED	THAT	THEY	DID	NOT
14	REALISED	THAT	SHE	WAS	NOT
13	PROBLEM	WAS	THAT	SHE	WAS
13	DECIDED	THAT	SHE	WAS	GO(I)NG
13	CHICCEN	WITH	ITS	HEAD	CUT
13	BECAUSE	YOU	DID	NOT	GET
12	POINTED	OUT	THAT	THIS	WAS
12	HERSELF	THAT	SHE	DID	NOT
12	BECAUSE	SHE	DID	NOT	GET
11	REALISED	THAT	SHE	WAS	NOT
11	POINTED	OUT	THAT	THEY	HAD
11	HERSELF	THAT	SHE	WAS	NOT
11	CWICCER	THAN	YOU	CAN	SAY
10	REALISED	THAT	SHE	HAD	NOT
10	BELIEUE	THAT	THEY	CAN	NOT
10	BELIEUE	THAT	THEY	ARE	GO(I)NG
10	BECAUSE	THEY	CAN	NOT	GET
9	BECAUSE	THEY	HAD	NOT	YET
9	BECAUSE	THEY	ARE	NOT	GO(I)NG
8	PERHAPS	THAT	WAS	WHY	SHE
8	NOTICED	THAT	SHE	WAS	NOT
8	DECIDED	THAT	SHE	DID	NOT
8	COUERED	HIS	HEAD	WITH	HIS
7	TEACHERS	WHO	HAD	AND	HAD
7	REALISED	THAT	SHE	DID	NOT
7	POINTED	OUT	THAT	SHE	WAS
7	BETWEEN	NEW	AND	OLD	LAW
7	BELIEUE	THAT	YOU	CAN	GET
7	BELIEUE	THAT	THEY	ARE	BE(I)NG
7	BECAUSE	THEY	DID	NOT	FIT
7	BECAUSE	THEY	DID	NOT	SEE
6	SUGGEST	THAT	THEY	ARE	NOT
6	REALISED	THAT	THEY	DID	NOT
6	REALISED	SHE	WAS	NOT	GO(I)NG
6	DECIDED	THAT	THEY	ARE	GO(I)NG
6	DECIDED	THAT	SHE	DID	NOT
6	CRITICS	WHO	SAY	THAT	YOU
6	BORDERS	AND	HOW	CAN	THAT
6	BELIEUE	THAT	THEY	MAY	NOT
6	BELIEUE	THAT	THEY	DID	NOT
6	BELIEUE	THAT	THEY	ARE	NOT
6	BECAUSE	YOU	CAN	SEE	THAT
6	BECAUSE	THEY	CAN	NOT	PAY
6	BECAUSE	THEY	ARE	NOT	BE(I)NG
6	BECAUSE	SHE	HAS	NOT	HAD
6	ASSURED	HER	THAT	SHE	WAS
