Count from total of 16451820 word 5-grams
58	IMPORTANT	TH(I)NG	YOU	CAN	DO
42	INTEREST(I)NG	TO	SEE	HOW	THE
37	PRESIDENT	IS	NOT	GO(I)NG	TO
25	SENTENCED	TO	DEATH	FOR	THE
23	ANNOUNCED	HE	WAS	GO(I)NG	TO
22	SURPRISED	TO	SEE	THAT	THE
22	DIFFICULT	TO	GET	RID	OF
21	DIFFICULT	TO	SEE	HOW	THE
21	CERTAINLY	IS	NOT	GO(I)NG	TO
18	INTEREST(I)NG	TO	SEE	HOW	HE
15	ANNOUNCED	IT	WAS	GO(I)NG	TO
14	REPUTATION	OF	BE(I)NG	ONE	OF
14	DIFFICULT	TO	DEAL	WITH	THE
13	SURPRISED	TO	SEE	THAT	IT
13	SENTENCED	TO	DIE	FOR	THE
13	NECESSARY	TO	DEAL	WITH	THE
13	INABILITY	TO	DEAL	WITH	THE
13	DIFFICULT	TO	GET	OUT	OF
13	DESPERATE	TO	GET	OUT	OF
12	SURPRISED	TO	HEAR	THAT	HE
12	SURPRISED	AT	HOW	EASY	IT
11	(I)NGREDIENTS	IN	HOT	OIL	IN
11	DIFFICULT	IT	WAS	GO(I)NG	TO
10	IMPORTANT	TO	THEM	THAN	THE
10	IMPORTANT	TO	HIM	THAT	HE
9	WILL(I)NGNESS	TO	PAY	FOR	THE
9	SUGGESTED	TO	HIM	THAT	HE
9	PRESIDENT	IS	NOT	GO(I)NG	TO
9	INTEREST(I)NG	TO	SEE	HOW	IT
9	ESPECIOLLY	IN	THIS	ERA	OF
9	CONNECTED	IN	ANY	WAY	TO
8	REASONABLE	TO	SAY	THAT	THE
8	INTEREST(I)NG	IS	THAT	THIS	IS
8	EXPLAINED	TO	HIM	THAT	THE
8	CONCEIUED	THE	IDEA	FOR	THE
8	CERTAINLY	DO	NOT	SEE	IT
7	SURPRISED	TO	HEAR	THAT	THE
7	SENTENCED	TO	ONE	YEAR	IN
7	RESOURCES	TO	DEAL	WITH	THE
7	IMPORTANT	TH(I)NG	WAS	THAT	THE
7	IMPORTANT	TH(I)NG	WAS	THAT	HE
7	IMPORTANT	TO	SAY	THAT	THE
7	EXPLAINED	TO	HIM	THAT	HE
7	EUERYBODY	IS	NOT	GO(I)NG	TO
7	DISMISSED	THE	IDEA	THAT	THE
7	DIFFICULT	TH(I)NG	FOR	YOU	TO
7	DIFFICULT	TO	SEE	HOW	IT
7	ATTEMPTED	TO	DEAL	WITH	THE
6	WILL(I)NGNESS	TO	DIE	FOR	THE
6	SURPRISED	TO	SEE	THAT	HE
6	STRUGGLED	TO	GET	OUT	OF
6	PRISONERS	ON	DEATH	ROW	IN
6	NECESSARY	TO	GET	RID	OF
6	INTEREST(I)NG	TO	SEE	THAT	THE
6	IMPORTANT	TO	DEAL	WITH	THE
6	EXPLAINED	TO	THEM	THAT	IT
6	DIFFICULT	TO	SEE	WHY	THE
6	DIFFICULT	TO	SEE	THAT	THE
6	DIFFICULT	TO	GET	THEM	TO
6	DIFFICULT	TO	DEAL	WITH	IN
6	COMMUNITY	IS	NOT	GO(I)NG	TO
6	COMMISSION	TO	DEAL	WITH	THE
6	CERTAINLY	IS	NOT	GO(I)NG	TO
6	CERTAINLY	AM	NOT	GO(I)NG	TO
6	ANNOUNCED	IN	MAY	THAT	HE
